"Plot Title: 31"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10378086, SEN S/N: 10378086)","Coupler Detached (LGR S/N: 10378086)","Coupler Attached (LGR S/N: 10378086)","Host Connected (LGR S/N: 10378086)","End Of File (LGR S/N: 10378086)"
1,07/08/16 09:31:47 AM,22.226,,,,
2,07/08/16 09:31:56 AM,,Logged,,,
3,07/08/16 10:31:52 AM,30.495,,,,
4,07/08/16 11:31:57 AM,24.339,,,,
5,07/08/16 12:32:02 PM,43.254,,,,
6,07/08/16 01:32:07 PM,24.267,,,,
7,07/08/16 02:32:12 PM,6.737,,,,
8,07/08/16 03:32:17 PM,6.737,,,,
9,07/08/16 04:32:22 PM,6.763,,,,
10,07/08/16 05:32:27 PM,6.737,,,,
11,07/08/16 06:32:32 PM,6.788,,,,
12,07/08/16 07:32:37 PM,6.737,,,,
13,07/08/16 08:32:42 PM,6.737,,,,
14,07/08/16 09:32:47 PM,6.737,,,,
15,07/08/16 10:32:52 PM,6.737,,,,
16,07/08/16 11:32:57 PM,6.788,,,,
17,07/09/16 12:33:02 AM,6.788,,,,
18,07/09/16 01:33:07 AM,6.737,,,,
19,07/09/16 02:33:12 AM,6.737,,,,
20,07/09/16 03:33:17 AM,6.737,,,,
21,07/09/16 04:33:22 AM,6.763,,,,
22,07/09/16 05:33:27 AM,6.763,,,,
23,07/09/16 06:33:32 AM,6.763,,,,
24,07/09/16 07:33:37 AM,6.763,,,,
25,07/09/16 08:33:42 AM,6.737,,,,
26,07/09/16 09:33:47 AM,15.485,,,,
27,07/09/16 10:33:52 AM,15.485,,,,
28,07/09/16 11:33:57 AM,14.864,,,,
29,07/09/16 12:34:02 PM,15.008,,,,
30,07/09/16 01:34:07 PM,16.225,,,,
31,07/09/16 02:34:12 PM,6.661,,,,
32,07/09/16 03:34:17 PM,6.661,,,,
33,07/09/16 04:34:22 PM,6.661,,,,
34,07/09/16 05:34:27 PM,6.636,,,,
35,07/09/16 06:34:32 PM,6.636,,,,
36,07/09/16 07:34:37 PM,6.636,,,,
37,07/09/16 08:34:42 PM,6.636,,,,
38,07/09/16 09:34:47 PM,6.661,,,,
39,07/09/16 10:34:52 PM,6.661,,,,
40,07/09/16 11:34:57 PM,6.661,,,,
41,07/10/16 12:35:02 AM,6.636,,,,
42,07/10/16 01:35:07 AM,6.636,,,,
43,07/10/16 02:35:12 AM,6.636,,,,
44,07/10/16 03:35:17 AM,6.661,,,,
45,07/10/16 04:35:22 AM,6.661,,,,
46,07/10/16 05:35:27 AM,6.661,,,,
47,07/10/16 06:35:32 AM,6.636,,,,
48,07/10/16 07:35:37 AM,6.636,,,,
49,07/10/16 08:35:42 AM,6.661,,,,
50,07/10/16 09:35:47 AM,13.401,,,,
51,07/10/16 10:35:52 AM,13.570,,,,
52,07/10/16 11:35:57 AM,14.050,,,,
53,07/10/16 12:36:02 PM,13.690,,,,
54,07/10/16 01:36:07 PM,13.161,,,,
55,07/10/16 02:36:12 PM,13.137,,,,
56,07/10/16 03:36:17 PM,13.594,,,,
57,07/10/16 04:36:22 PM,14.266,,,,
58,07/10/16 05:36:27 PM,14.170,,,,
59,07/10/16 06:36:32 PM,14.266,,,,
60,07/10/16 07:36:37 PM,14.721,,,,
61,07/10/16 08:36:42 PM,14.745,,,,
62,07/10/16 09:36:47 PM,14.697,,,,
63,07/10/16 10:36:52 PM,14.601,,,,
64,07/10/16 11:36:57 PM,14.337,,,,
65,07/11/16 12:37:02 AM,14.050,,,,
66,07/11/16 01:37:07 AM,13.738,,,,
67,07/11/16 02:37:12 AM,13.594,,,,
68,07/11/16 03:37:17 AM,13.449,,,,
69,07/11/16 04:37:22 AM,13.233,,,,
70,07/11/16 05:37:27 AM,13.185,,,,
71,07/11/16 06:37:32 AM,13.449,,,,
72,07/11/16 07:37:37 AM,13.882,,,,
73,07/11/16 08:37:42 AM,14.074,,,,
74,07/11/16 09:37:47 AM,14.074,,,,
75,07/11/16 10:37:52 AM,14.218,,,,
76,07/11/16 11:37:57 AM,14.385,,,,
77,07/11/16 12:38:02 PM,14.505,,,,
78,07/11/16 01:38:07 PM,15.867,,,,
79,07/11/16 02:38:12 PM,6.914,,,,
80,07/11/16 03:38:17 PM,6.484,,,,
81,07/11/16 04:38:22 PM,6.484,,,,
82,07/11/16 05:38:27 PM,6.408,,,,
83,07/11/16 06:38:32 PM,6.433,,,,
84,07/11/16 07:38:37 PM,6.484,,,,
85,07/11/16 08:38:42 PM,6.509,,,,
86,07/11/16 09:38:47 PM,6.509,,,,
87,07/11/16 10:38:52 PM,6.560,,,,
88,07/11/16 11:38:57 PM,6.585,,,,
89,07/12/16 12:39:02 AM,6.636,,,,
90,07/12/16 01:39:07 AM,6.737,,,,
91,07/12/16 02:39:12 AM,6.788,,,,
92,07/12/16 03:39:17 AM,6.763,,,,
93,07/12/16 04:39:22 AM,6.712,,,,
94,07/12/16 05:39:27 AM,6.712,,,,
95,07/12/16 06:39:32 AM,6.687,,,,
96,07/12/16 07:39:37 AM,6.560,,,,
97,07/12/16 08:39:42 AM,6.585,,,,
98,07/12/16 09:39:47 AM,14.361,,,,
99,07/12/16 10:39:52 AM,14.745,,,,
100,07/12/16 11:39:57 AM,14.385,,,,
101,07/12/16 12:40:02 PM,14.768,,,,
102,07/12/16 01:40:07 PM,15.127,,,,
103,07/12/16 02:40:12 PM,6.382,,,,
