"Plot Title: 18"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10325634, SEN S/N: 10325634)","Bad Battery (LGR S/N: 10325634)","Coupler Detached (LGR S/N: 10325634)","Good Battery (LGR S/N: 10325634)","Coupler Attached (LGR S/N: 10325634)","Host Connected (LGR S/N: 10325634)","Stopped (LGR S/N: 10325634)","End Of File (LGR S/N: 10325634)"
1,07/20/16 11:33:46 AM,71.447,Logged,,,,,,
2,07/20/16 11:33:49 AM,,,Logged,,,,,
3,07/20/16 12:33:46 PM,57.333,,,Logged,,,,
4,07/20/16 01:33:46 PM,62.276,,,,,,,
5,07/20/16 02:33:46 PM,60.346,,,,,,,
6,07/20/16 03:33:46 PM,63.990,,,,,,,
7,07/20/16 04:33:46 PM,43.808,,,,,,,
8,07/20/16 05:33:46 PM,43.808,,,,,,,
9,07/20/16 06:33:46 PM,43.763,,,,,,,
10,07/20/16 07:33:46 PM,43.763,,,,,,,
11,07/20/16 08:33:46 PM,43.763,,,,,,,
12,07/20/16 09:33:46 PM,43.808,,,,,,,
13,07/20/16 10:33:46 PM,43.763,,,,,,,
14,07/20/16 11:33:46 PM,43.808,,,,,,,
15,07/21/16 12:33:46 AM,43.900,,,,,,,
16,07/21/16 01:33:46 AM,43.853,,,,,,,
17,07/21/16 02:33:46 AM,43.853,,,,,,,
18,07/21/16 03:33:46 AM,43.853,,,,,,,
19,07/21/16 04:33:46 AM,43.853,,,,,,,
20,07/21/16 05:33:46 AM,43.716,,,,,,,
21,07/21/16 06:33:46 AM,43.763,,,,,,,
22,07/21/16 07:33:46 AM,43.763,,,,,,,
23,07/21/16 08:33:46 AM,43.763,,,,,,,
24,07/21/16 09:33:46 AM,43.716,,,,,,,
25,07/21/16 10:33:46 AM,43.763,,,,,,,
26,07/21/16 11:33:46 AM,57.420,,,,,,,
27,07/21/16 12:33:46 PM,60.948,,,,,,,
28,07/21/16 01:33:46 PM,45.354,,,,,,,
29,07/21/16 02:33:46 PM,45.217,,,,,,,
30,07/21/16 03:33:46 PM,45.354,,,,,,,
31,07/21/16 04:33:46 PM,45.579,,,,,,,
32,07/21/16 05:33:46 PM,45.714,,,,,,,
33,07/21/16 06:33:46 PM,45.761,,,,,,,
34,07/21/16 07:33:46 PM,46.346,,,,,,,
35,07/21/16 08:33:46 PM,45.851,,,,,,,
36,07/21/16 09:33:46 PM,45.354,,,,,,,
37,07/21/16 10:33:46 PM,45.036,,,,,,,
38,07/21/16 11:33:46 PM,45.172,,,,,,,
39,07/22/16 12:33:46 AM,45.082,,,,,,,
40,07/22/16 01:33:46 AM,45.217,,,,,,,
41,07/22/16 02:33:46 AM,45.082,,,,,,,
42,07/22/16 03:33:46 AM,45.082,,,,,,,
43,07/22/16 04:33:46 AM,45.217,,,,,,,
44,07/22/16 05:33:46 AM,45.399,,,,,,,
45,07/22/16 06:33:46 AM,45.624,,,,,,,
46,07/22/16 07:33:46 AM,52.072,,,,,,,
47,07/22/16 08:33:46 AM,54.255,,,,,,,
48,07/22/16 09:33:46 AM,54.037,,,,,,,
49,07/22/16 10:33:46 AM,54.037,,,,,,,
50,07/22/16 11:33:46 AM,53.384,,,,,,,
51,07/22/16 12:33:46 PM,52.817,,,,,,,
52,07/22/16 01:33:46 PM,53.253,,,,,,,
53,07/22/16 02:33:46 PM,54.648,,,,,,,
54,07/22/16 03:33:46 PM,55.776,,,,,,,
55,07/22/16 04:33:46 PM,44.492,,,,,,,
56,07/22/16 05:33:46 PM,44.492,,,,,,,
57,07/22/16 06:33:46 PM,44.492,,,,,,,
58,07/22/16 07:33:46 PM,44.537,,,,,,,
59,07/22/16 08:33:46 PM,44.537,,,,,,,
60,07/22/16 09:33:46 PM,44.537,,,,,,,
61,07/22/16 10:33:46 PM,44.537,,,,,,,
62,07/22/16 11:33:46 PM,44.492,,,,,,,
63,07/23/16 12:33:46 AM,44.492,,,,,,,
64,07/23/16 01:33:46 AM,44.492,,,,,,,
65,07/23/16 02:33:46 AM,44.492,,,,,,,
66,07/23/16 03:33:46 AM,44.537,,,,,,,
67,07/23/16 04:33:46 AM,44.492,,,,,,,
68,07/23/16 05:33:46 AM,44.537,,,,,,,
69,07/23/16 06:33:46 AM,44.537,,,,,,,
70,07/23/16 07:33:46 AM,44.582,,,,,,,
71,07/23/16 08:33:46 AM,44.537,,,,,,,
72,07/23/16 09:33:46 AM,44.537,,,,,,,
73,07/23/16 10:33:46 AM,44.537,,,,,,,
74,07/23/16 11:33:46 AM,55.776,,,,,,,
75,07/23/16 12:33:46 PM,58.066,,,,,,,
76,07/23/16 01:33:46 PM,44.582,,,,,,,
77,07/23/16 02:33:46 PM,44.627,,,,,,,
78,07/23/16 03:33:46 PM,44.809,,,,,,,
79,07/23/16 04:33:46 PM,45.489,,,,,,,
80,07/23/16 05:33:46 PM,45.127,,,,,,,
81,07/23/16 06:33:46 PM,44.901,,,,,,,
82,07/23/16 07:33:46 PM,45.082,,,,,,,
83,07/23/16 08:33:46 PM,44.809,,,,,,,
84,07/23/16 09:33:46 PM,44.674,,,,,,,
85,07/23/16 10:33:46 PM,44.719,,,,,,,
86,07/23/16 11:33:46 PM,44.674,,,,,,,
87,07/24/16 12:33:46 AM,44.674,,,,,,,
88,07/24/16 01:33:46 AM,44.719,,,,,,,
89,07/24/16 02:33:46 AM,44.764,,,,,,,
90,07/24/16 03:33:46 AM,44.809,,,,,,,
91,07/24/16 04:33:46 AM,44.856,,,,,,,
92,07/24/16 05:33:46 AM,45.217,,,,,,,
93,07/24/16 06:33:46 AM,44.809,,,,,,,
94,07/24/16 07:33:46 AM,50.621,,,,,,,
95,07/24/16 08:33:46 AM,53.951,,,,,,,
96,07/24/16 09:33:46 AM,53.559,,,,,,,
97,07/24/16 10:33:46 AM,53.121,,,,,,,
98,07/24/16 11:33:46 AM,52.115,,,,,,,
99,07/24/16 12:33:46 PM,51.458,,,,,,,
100,07/24/16 01:33:46 PM,54.300,,,,,,,
101,07/24/16 02:33:46 PM,55.081,,,,,,,
102,07/24/16 03:33:46 PM,55.690,,,,,,,
103,07/24/16 04:33:46 PM,58.109,,,,,,,
104,07/24/16 05:33:46 PM,43.075,,,,,,,
105,07/24/16 06:33:46 PM,43.075,,,,,,,
106,07/24/16 07:33:46 PM,43.075,,,,,,,
107,07/24/16 08:33:46 PM,43.075,,,,,,,
108,07/24/16 09:33:46 PM,43.075,,,,,,,
109,07/24/16 10:33:46 PM,43.075,,,,,,,
110,07/24/16 11:33:46 PM,43.075,,,,,,,
111,07/25/16 12:33:46 AM,43.075,,,,,,,
112,07/25/16 01:33:46 AM,43.075,,,,,,,
113,07/25/16 02:33:46 AM,43.075,,,,,,,
114,07/25/16 03:33:46 AM,43.075,,,,,,,
115,07/25/16 04:33:46 AM,43.075,,,,,,,
116,07/25/16 05:33:46 AM,43.075,,,,,,,
117,07/25/16 06:33:46 AM,43.075,,,,,,,
118,07/25/16 07:33:46 AM,43.075,,,,,,,
119,07/25/16 08:33:46 AM,43.075,,,,,,,
120,07/25/16 09:33:46 AM,43.075,,,,,,,
121,07/25/16 10:33:46 AM,43.075,,,,,,,
122,07/25/16 11:33:46 AM,43.075,,,,,,,
123,07/25/16 12:33:46 PM,58.798,,,,,,,
124,07/25/16 01:33:46 PM,45.489,,,,,,,
125,07/25/16 02:33:46 PM,44.445,,,,,,,
126,07/25/16 03:33:46 PM,44.400,,,,,,,
127,07/25/16 04:33:46 PM,44.310,,,,,,,
128,07/25/16 05:33:46 PM,44.582,,,,,,,
129,07/25/16 06:33:46 PM,43.853,,,,,,,
130,07/25/16 07:33:46 PM,43.808,,,,,,,
131,07/25/16 08:33:46 PM,44.400,,,,,,,
132,07/25/16 09:33:46 PM,43.945,,,,,,,
133,07/25/16 10:33:46 PM,44.492,,,,,,,
134,07/25/16 11:33:46 PM,44.991,,,,,,,
135,07/26/16 12:33:46 AM,45.307,,,,,,,
136,07/26/16 01:33:46 AM,45.262,,,,,,,
137,07/26/16 02:33:46 AM,45.172,,,,,,,
138,07/26/16 03:33:46 AM,44.809,,,,,,,
139,07/26/16 04:33:46 AM,44.764,,,,,,,
140,07/26/16 05:33:46 AM,44.492,,,,,,,
141,07/26/16 06:33:46 AM,44.310,,,,,,,
142,07/26/16 07:33:46 AM,44.627,,,,,,,
143,07/26/16 08:33:46 AM,55.558,,,,,,,
144,07/26/16 09:33:46 AM,55.558,,,,,,,
145,07/26/16 10:33:46 AM,55.602,,,,,,,
146,07/26/16 11:33:46 AM,55.776,,,,,,,
147,07/26/16 12:33:46 PM,58.712,,,,,,,
148,07/26/16 01:33:46 PM,61.290,,,,,,,
149,07/26/16 01:47:45 PM,,,,,Logged,Logged,,
150,07/26/16 01:47:51 PM,,,,,,,Logged,Logged
