"Plot Title: 28"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10144776, SEN S/N: 10144776)","Coupler Detached (LGR S/N: 10144776)","Coupler Attached (LGR S/N: 10144776)","Host Connected (LGR S/N: 10144776)","Stopped (LGR S/N: 10144776)","End Of File (LGR S/N: 10144776)"
1,07/20/16 11:29:44 AM,70.543,,,,,
2,07/20/16 11:29:47 AM,,Logged,,,,
3,07/20/16 12:29:49 PM,56.901,,,,,
4,07/20/16 01:29:54 PM,60.174,,,,,
5,07/20/16 02:29:59 PM,60.561,,,,,
6,07/20/16 03:30:04 PM,62.661,,,,,
7,07/20/16 04:30:09 PM,44.537,,,,,
8,07/20/16 05:30:14 PM,43.990,,,,,
9,07/20/16 06:30:19 PM,44.127,,,,,
10,07/20/16 07:30:24 PM,44.627,,,,,
11,07/20/16 08:30:29 PM,44.492,,,,,
12,07/20/16 09:30:34 PM,44.310,,,,,
13,07/20/16 10:30:39 PM,44.127,,,,,
14,07/20/16 11:30:44 PM,44.901,,,,,
15,07/21/16 12:30:49 AM,44.400,,,,,
16,07/21/16 01:30:54 AM,44.764,,,,,
17,07/21/16 02:30:59 AM,44.809,,,,,
18,07/21/16 03:31:04 AM,44.445,,,,,
19,07/21/16 04:31:09 AM,44.355,,,,,
20,07/21/16 05:31:14 AM,44.127,,,,,
21,07/21/16 06:31:19 AM,44.127,,,,,
22,07/21/16 07:31:24 AM,44.582,,,,,
23,07/21/16 08:31:29 AM,44.901,,,,,
24,07/21/16 09:31:34 AM,44.445,,,,,
25,07/21/16 10:31:39 AM,44.809,,,,,
26,07/21/16 11:31:44 AM,56.728,,,,,
27,07/21/16 12:31:49 PM,61.119,,,,,
28,07/21/16 01:31:54 PM,45.579,,,,,
29,07/21/16 02:31:59 PM,45.444,,,,,
30,07/21/16 03:32:04 PM,45.579,,,,,
31,07/21/16 04:32:09 PM,45.624,,,,,
32,07/21/16 05:32:14 PM,46.796,,,,,
33,07/21/16 06:32:19 PM,47.154,,,,,
34,07/21/16 07:32:24 PM,46.796,,,,,
35,07/21/16 08:32:29 PM,46.886,,,,,
36,07/21/16 09:32:34 PM,45.534,,,,,
37,07/21/16 10:32:39 PM,45.489,,,,,
38,07/21/16 11:32:44 PM,45.489,,,,,
39,07/22/16 12:32:49 AM,45.579,,,,,
40,07/22/16 01:32:54 AM,45.354,,,,,
41,07/22/16 02:32:59 AM,45.217,,,,,
42,07/22/16 03:33:04 AM,45.262,,,,,
43,07/22/16 04:33:09 AM,45.399,,,,,
44,07/22/16 05:33:14 AM,45.444,,,,,
45,07/22/16 06:33:19 AM,45.806,,,,,
46,07/22/16 07:33:24 AM,54.126,,,,,
47,07/22/16 08:33:29 AM,54.300,,,,,
48,07/22/16 09:33:34 AM,54.126,,,,,
49,07/22/16 10:33:39 AM,54.126,,,,,
50,07/22/16 11:33:44 AM,53.427,,,,,
51,07/22/16 12:33:49 PM,52.903,,,,,
52,07/22/16 01:33:54 PM,53.253,,,,,
53,07/22/16 02:33:59 PM,54.734,,,,,
54,07/22/16 03:34:04 PM,55.819,,,,,
55,07/22/16 04:34:09 PM,44.492,,,,,
56,07/22/16 05:34:14 PM,44.492,,,,,
57,07/22/16 06:34:19 PM,44.537,,,,,
58,07/22/16 07:34:24 PM,44.719,,,,,
59,07/22/16 08:34:29 PM,44.719,,,,,
60,07/22/16 09:34:34 PM,44.627,,,,,
61,07/22/16 10:34:39 PM,44.582,,,,,
62,07/22/16 11:34:44 PM,44.537,,,,,
63,07/23/16 12:34:49 AM,44.492,,,,,
64,07/23/16 01:34:54 AM,44.492,,,,,
65,07/23/16 02:34:59 AM,44.492,,,,,
66,07/23/16 03:35:04 AM,44.537,,,,,
67,07/23/16 04:35:09 AM,44.537,,,,,
68,07/23/16 05:35:14 AM,44.537,,,,,
69,07/23/16 06:35:19 AM,44.627,,,,,
70,07/23/16 07:35:24 AM,45.036,,,,,
71,07/23/16 08:35:29 AM,44.856,,,,,
72,07/23/16 09:35:34 AM,44.582,,,,,
73,07/23/16 10:35:39 AM,44.492,,,,,
74,07/23/16 11:35:44 AM,55.386,,,,,
75,07/23/16 12:35:49 PM,59.229,,,,,
76,07/23/16 01:35:54 PM,44.582,,,,,
77,07/23/16 02:35:59 PM,44.582,,,,,
78,07/23/16 03:36:04 PM,44.582,,,,,
79,07/23/16 04:36:09 PM,44.582,,,,,
80,07/23/16 05:36:14 PM,44.537,,,,,
81,07/23/16 06:36:19 PM,44.537,,,,,
82,07/23/16 07:36:24 PM,44.537,,,,,
83,07/23/16 08:36:29 PM,44.537,,,,,
84,07/23/16 09:36:34 PM,44.537,,,,,
85,07/23/16 10:36:39 PM,44.537,,,,,
86,07/23/16 11:36:44 PM,44.537,,,,,
87,07/24/16 12:36:49 AM,44.537,,,,,
88,07/24/16 01:36:54 AM,44.537,,,,,
89,07/24/16 02:36:59 AM,44.537,,,,,
90,07/24/16 03:37:04 AM,44.537,,,,,
91,07/24/16 04:37:09 AM,44.537,,,,,
92,07/24/16 05:37:14 AM,44.537,,,,,
93,07/24/16 06:37:19 AM,44.537,,,,,
94,07/24/16 07:37:24 AM,53.733,,,,,
95,07/24/16 08:37:29 AM,53.908,,,,,
96,07/24/16 09:37:34 AM,53.384,,,,,
97,07/24/16 10:37:39 AM,53.121,,,,,
98,07/24/16 11:37:44 AM,52.246,,,,,
99,07/24/16 12:37:49 PM,51.678,,,,,
100,07/24/16 01:37:54 PM,54.126,,,,,
101,07/24/16 02:37:59 PM,55.038,,,,,
102,07/24/16 03:38:04 PM,55.733,,,,,
103,07/24/16 04:38:09 PM,59.014,,,,,
104,07/24/16 05:38:14 PM,43.075,,,,,
105,07/24/16 06:38:19 PM,43.075,,,,,
106,07/24/16 07:38:24 PM,43.030,,,,,
107,07/24/16 08:38:29 PM,43.075,,,,,
108,07/24/16 09:38:34 PM,43.075,,,,,
109,07/24/16 10:38:39 PM,43.030,,,,,
110,07/24/16 11:38:44 PM,43.030,,,,,
111,07/25/16 12:38:49 AM,43.030,,,,,
112,07/25/16 01:38:54 AM,43.030,,,,,
113,07/25/16 02:38:59 AM,43.075,,,,,
114,07/25/16 03:39:04 AM,43.075,,,,,
115,07/25/16 04:39:09 AM,43.030,,,,,
116,07/25/16 05:39:14 AM,43.075,,,,,
117,07/25/16 06:39:19 AM,43.075,,,,,
118,07/25/16 07:39:24 AM,43.075,,,,,
119,07/25/16 08:39:29 AM,43.075,,,,,
120,07/25/16 09:39:34 AM,43.075,,,,,
121,07/25/16 10:39:39 AM,43.075,,,,,
122,07/25/16 11:39:44 AM,43.075,,,,,
123,07/25/16 12:39:49 PM,58.712,,,,,
124,07/25/16 01:39:54 PM,43.259,,,,,
125,07/25/16 02:39:59 PM,43.306,,,,,
126,07/25/16 03:40:04 PM,43.306,,,,,
127,07/25/16 04:40:09 PM,43.214,,,,,
128,07/25/16 05:40:14 PM,43.214,,,,,
129,07/25/16 06:40:19 PM,43.214,,,,,
130,07/25/16 07:40:24 PM,43.306,,,,,
131,07/25/16 08:40:29 PM,43.259,,,,,
132,07/25/16 09:40:34 PM,43.351,,,,,
133,07/25/16 10:40:39 PM,43.351,,,,,
134,07/25/16 11:40:44 PM,43.351,,,,,
135,07/26/16 12:40:49 AM,43.351,,,,,
136,07/26/16 01:40:54 AM,43.396,,,,,
137,07/26/16 02:40:59 AM,43.351,,,,,
138,07/26/16 03:41:04 AM,43.396,,,,,
139,07/26/16 04:41:09 AM,43.396,,,,,
140,07/26/16 05:41:14 AM,43.396,,,,,
141,07/26/16 06:41:19 AM,43.443,,,,,
142,07/26/16 07:41:24 AM,53.427,,,,,
143,07/26/16 08:41:29 AM,56.122,,,,,
144,07/26/16 09:41:34 AM,55.733,,,,,
145,07/26/16 10:41:39 AM,55.776,,,,,
146,07/26/16 11:41:44 AM,55.690,,,,,
147,07/26/16 12:41:49 PM,59.745,,,,,
148,07/26/16 01:41:54 PM,62.919,,,,,
149,07/26/16 01:44:24 PM,,,Logged,Logged,,
150,07/26/16 01:44:30 PM,,,,,Logged,Logged
