"Date"	"Time"	"Temp"
"10/04/16"	NA	"11:42:10"
"10/04/16"	NA	"12:42:10"
"10/04/16"	NA	"02:42:10"
"10/04/16"	NA	"03:42:10"
"10/04/16"	NA	"04:42:10"
"10/04/16"	NA	"05:42:10"
"10/04/16"	NA	"06:42:10"
"10/04/16"	NA	"07:42:10"
"10/04/16"	NA	"08:42:10"
"10/04/16"	NA	"09:42:10"
"10/04/16"	NA	"10:42:10"
"10/04/16"	NA	"11:42:10"
"10/05/16"	NA	"12:42:10"
"10/05/16"	NA	"01:42:10"
"10/05/16"	NA	"02:42:10"
"10/05/16"	NA	"03:42:10"
"10/05/16"	NA	"04:42:10"
"10/05/16"	NA	"05:42:10"
"10/05/16"	NA	"06:42:10"
"10/05/16"	NA	"07:42:10"
"10/05/16"	NA	"08:42:10"
"10/05/16"	NA	"09:42:10"
"10/05/16"	NA	"10:42:10"
"10/05/16"	NA	"11:42:10"
"10/05/16"	NA	"12:42:10"
"10/05/16"	NA	"01:42:10"
"10/05/16"	NA	"02:42:10"
"10/05/16"	NA	"03:42:10"
"10/05/16"	NA	"04:42:10"
"10/05/16"	NA	"05:42:10"
"10/05/16"	NA	"06:42:10"
"10/05/16"	NA	"07:42:10"
"10/05/16"	NA	"08:42:10"
"10/05/16"	NA	"09:42:10"
"10/05/16"	NA	"10:42:10"
"10/05/16"	NA	"11:42:10"
"10/06/16"	NA	"12:42:10"
"10/06/16"	NA	"01:42:10"
"10/06/16"	NA	"02:42:10"
"10/06/16"	NA	"03:42:10"
"10/06/16"	NA	"04:42:10"
"10/06/16"	NA	"05:42:10"
"10/06/16"	NA	"06:42:10"
"10/06/16"	NA	"07:42:10"
"10/06/16"	NA	"08:42:10"
"10/06/16"	NA	"09:42:10"
"10/06/16"	NA	"10:42:10"
"10/06/16"	NA	"11:42:10"
"10/06/16"	NA	"12:42:10"
"10/06/16"	NA	"01:42:10"
"10/06/16"	NA	"02:42:10"
"10/06/16"	NA	"03:42:10"
"10/06/16"	NA	"04:42:10"
"10/06/16"	NA	"05:42:10"
"10/06/16"	NA	"06:42:10"
"10/06/16"	NA	"07:42:10"
"10/06/16"	NA	"08:42:10"
"10/06/16"	NA	"09:42:10"
"10/06/16"	NA	"10:42:10"
"10/06/16"	NA	"11:42:10"
"10/07/16"	NA	"12:42:10"
"10/07/16"	NA	"01:42:10"
"10/07/16"	NA	"02:42:10"
"10/07/16"	NA	"03:42:10"
"10/07/16"	NA	"04:42:10"
"10/07/16"	NA	"05:42:10"
"10/07/16"	NA	"06:42:10"
"10/07/16"	NA	"07:42:10"
"10/07/16"	NA	"08:42:10"
"10/07/16"	NA	"09:42:10"
"10/07/16"	NA	"10:42:10"
"10/07/16"	NA	"11:42:10"
"10/07/16"	NA	"12:42:10"
"10/07/16"	NA	"01:42:10"
"10/07/16"	NA	"02:42:10"
"10/07/16"	NA	"03:42:10"
"10/07/16"	NA	"04:42:10"
"10/07/16"	NA	"05:42:10"
"10/07/16"	NA	"06:42:10"
"10/07/16"	NA	"07:42:10"
"10/07/16"	NA	"08:42:10"
"10/07/16"	NA	"09:42:10"
"10/07/16"	NA	"10:42:10"
"10/07/16"	NA	"11:42:10"
"10/08/16"	NA	"12:42:10"
"10/08/16"	NA	"01:42:10"
"10/08/16"	NA	"02:42:10"
"10/08/16"	NA	"03:42:10"
"10/08/16"	NA	"04:42:10"
"10/08/16"	NA	"05:42:10"
"10/08/16"	NA	"06:42:10"
"10/08/16"	NA	"07:42:10"
"10/08/16"	NA	"08:42:10"
"10/08/16"	NA	"09:42:10"
"10/08/16"	NA	"10:42:10"
"10/08/16"	NA	"11:42:10"
"10/08/16"	NA	"12:42:10"
"10/08/16"	NA	"01:42:10"
"10/08/16"	NA	"02:42:10"
"10/08/16"	NA	"03:42:10"
"10/08/16"	NA	"04:42:10"
"10/08/16"	NA	"05:42:10"
"10/08/16"	NA	"06:42:10"
"10/08/16"	NA	"07:42:10"
"10/08/16"	NA	"08:42:10"
"10/08/16"	NA	"09:42:10"
"10/08/16"	NA	"10:42:10"
"10/08/16"	NA	"11:42:10"
"10/09/16"	NA	"12:42:10"
"10/09/16"	NA	"01:42:10"
"10/09/16"	NA	"02:42:10"
"10/09/16"	NA	"03:42:10"
"10/09/16"	NA	"04:42:10"
"10/09/16"	NA	"05:42:10"
"10/09/16"	NA	"06:42:10"
"10/09/16"	NA	"07:42:10"
"10/09/16"	NA	"08:42:10"
"10/09/16"	NA	"09:42:10"
"10/09/16"	NA	"10:42:10"
"10/09/16"	NA	"11:42:10"
"10/09/16"	NA	"12:42:10"
"10/09/16"	NA	"01:42:10"
"10/09/16"	NA	"02:42:10"
"10/09/16"	NA	"03:42:10"
"10/09/16"	NA	"04:42:10"
"10/09/16"	NA	"05:42:10"
"10/09/16"	NA	"06:42:10"
"10/09/16"	NA	"07:42:10"
"10/09/16"	NA	"08:42:10"
"10/09/16"	NA	"09:42:10"
"10/09/16"	NA	"10:42:10"
"10/09/16"	NA	"11:42:10"
"10/10/16"	NA	"12:42:10"
"10/10/16"	NA	"01:42:10"
"10/10/16"	NA	"02:42:10"
"10/10/16"	NA	"03:42:10"
"10/10/16"	NA	"04:42:10"
"10/10/16"	NA	"05:42:10"
"10/10/16"	NA	"06:42:10"
"10/10/16"	NA	"07:42:10"
"10/10/16"	NA	"08:42:10"
"10/10/16"	NA	"09:42:10"
"10/10/16"	NA	"10:42:10"
"10/10/16"	NA	"11:42:10"
"10/10/16"	NA	"12:42:10"
"10/10/16"	NA	"01:42:10"
"10/10/16"	NA	"02:42:10"
"10/10/16"	NA	"03:42:10"
"10/10/16"	NA	"04:42:10"
"10/10/16"	NA	"05:42:10"
"10/10/16"	NA	"06:42:10"
"10/10/16"	NA	"07:42:10"
"10/10/16"	NA	"08:42:10"
"10/10/16"	NA	"09:42:10"
