"Date"	"Time, GMT-08:00"	"Temp, °C"	"Bad Battery"	"Coupler Detached"	"Good Battery"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
07/25/17	11:24:04 AM	20.365	Logged						
07/25/17	11:24:07 AM			Logged					
07/25/17	12:24:04 PM	13.786							
07/25/17	01:24:04 PM	13.377							
07/25/17	02:24:04 PM	14.816							
07/25/17	03:24:04 PM	20.531							
07/25/17	04:24:04 PM	6.458			Logged				
07/25/17	05:24:04 PM	6.484							
07/25/17	06:24:04 PM	6.458							
07/25/17	07:24:04 PM	6.484							
07/25/17	08:24:04 PM	6.458							
07/25/17	09:24:04 PM	6.458							
07/25/17	10:24:04 PM	6.458							
07/25/17	11:24:04 PM	6.484							
07/26/17	12:24:04 AM	6.484							
07/26/17	01:24:04 AM	6.560							
07/26/17	02:24:04 AM	6.661							
07/26/17	03:24:04 AM	6.712							
07/26/17	04:24:04 AM	6.535							
07/26/17	05:24:04 AM	6.661							
07/26/17	06:24:04 AM	6.433							
07/26/17	07:24:04 AM	6.408							
07/26/17	08:24:04 AM	6.433							
07/26/17	09:24:04 AM	6.509							
07/26/17	10:24:04 AM	6.560							
07/26/17	11:24:04 AM	11.516							
07/26/17	12:24:04 PM	12.896							
07/26/17	01:24:04 PM	8.419							
07/26/17	02:24:04 PM	7.318							
07/26/17	03:24:04 PM	7.368							
07/26/17	04:24:04 PM	7.419							
07/26/17	05:24:04 PM	7.393							
07/26/17	06:24:04 PM	7.594							
07/26/17	07:24:04 PM	7.870							
07/26/17	08:24:04 PM	8.220							
07/26/17	09:24:04 PM	7.995							
07/26/17	10:24:04 PM	7.970							
07/26/17	11:24:04 PM	7.444							
07/27/17	12:24:04 AM	7.870							
07/27/17	01:24:04 AM	7.444							
07/27/17	02:24:04 AM	7.469							
07/27/17	03:24:04 AM	7.242							
07/27/17	04:24:04 AM	7.469							
07/27/17	05:24:04 AM	7.217							
07/27/17	06:24:04 AM	7.393							
07/27/17	07:24:04 AM	7.393							
07/27/17	08:24:04 AM	13.353							
07/27/17	09:24:04 AM	12.606							
07/27/17	10:24:04 AM	11.613							
07/27/17	11:24:04 AM	11.419							
07/27/17	12:24:04 PM	11.419							
07/27/17	01:24:04 PM	12.122							
07/27/17	02:24:04 PM	13.064							
07/27/17	03:24:04 PM	8.419							
07/27/17	04:24:04 PM	6.408							
07/27/17	05:24:04 PM	6.408							
07/27/17	06:24:04 PM	6.408							
07/27/17	07:24:04 PM	6.433							
07/27/17	08:24:04 PM	6.458							
07/27/17	09:24:04 PM	6.458							
07/27/17	10:24:04 PM	6.433							
07/27/17	11:24:04 PM	6.433							
07/28/17	12:24:04 AM	6.408							
07/28/17	01:24:04 AM	6.408							
07/28/17	02:24:04 AM	6.408							
07/28/17	03:24:04 AM	6.433							
07/28/17	04:24:04 AM	6.458							
07/28/17	05:24:04 AM	6.433							
07/28/17	06:24:04 AM	6.458							
07/28/17	07:24:04 AM	6.458							
07/28/17	08:24:04 AM	6.484							
07/28/17	09:24:04 AM	6.458							
07/28/17	10:24:04 AM	6.458							
07/28/17	11:24:04 AM	12.896							
07/28/17	12:24:04 PM	13.522							
07/28/17	01:24:04 PM	14.745							
07/28/17	02:24:04 PM	6.382							
