"Date"	"Time, GMT-08:00"	"Temp, °C"	"Coupler Detached"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
07/25/17	11:12:27 AM	20.460					
07/25/17	11:12:32 AM		Logged				
07/25/17	12:12:27 PM	13.642					
07/25/17	01:12:27 PM	14.290					
07/25/17	02:12:27 PM	15.247					
07/25/17	03:12:27 PM	17.582					
07/25/17	04:12:27 PM	19.579					
07/25/17	05:12:27 PM	19.413					
07/25/17	06:12:27 PM	19.151					
07/25/17	07:12:27 PM	19.222					
07/25/17	08:12:27 PM	19.603					
07/25/17	09:12:27 PM	19.222					
07/25/17	10:12:27 PM	18.842					
07/25/17	11:12:27 PM	18.652					
07/26/17	12:12:27 AM	18.414					
07/26/17	01:12:27 AM	18.319					
07/26/17	02:12:27 AM	18.033					
07/26/17	03:12:27 AM	17.724					
07/26/17	04:12:27 AM	17.558					
07/26/17	05:12:27 AM	17.272					
07/26/17	06:12:27 AM	17.130					
07/26/17	07:12:27 AM	17.034					
07/26/17	08:12:27 AM	17.463					
07/26/17	09:12:27 AM	17.249					
07/26/17	10:12:27 AM	17.177					
07/26/17	11:12:27 AM	17.344					
07/26/17	12:12:27 PM	12.582					
07/26/17	01:12:27 PM	13.473					
07/26/17	02:12:27 PM	14.816					
07/26/17	03:12:27 PM	6.382					
07/26/17	04:12:27 PM	6.382					
07/26/17	05:12:27 PM	6.408					
07/26/17	06:12:27 PM	6.408					
07/26/17	07:12:27 PM	6.433					
07/26/17	08:12:27 PM	6.408					
07/26/17	09:12:27 PM	6.433					
07/26/17	10:12:27 PM	6.433					
07/26/17	11:12:27 PM	6.433					
07/27/17	12:12:27 AM	6.433					
07/27/17	01:12:27 AM	6.433					
07/27/17	02:12:27 AM	6.433					
07/27/17	03:12:27 AM	6.433					
07/27/17	04:12:27 AM	6.433					
07/27/17	05:12:27 AM	6.433					
07/27/17	06:12:27 AM	6.458					
07/27/17	07:12:27 AM	6.484					
07/27/17	08:12:27 AM	6.408					
07/27/17	09:12:27 AM	6.382					
07/27/17	10:12:27 AM	6.382					
07/27/17	11:12:27 AM	15.939					
07/27/17	12:12:27 PM	16.392					
07/27/17	01:12:27 PM	14.864					
07/27/17	02:12:27 PM	6.357					
07/27/17	03:12:27 PM	6.382					
07/27/17	04:12:27 PM	6.382					
07/27/17	05:12:27 PM	6.382					
07/27/17	06:12:27 PM	6.382					
07/27/17	07:12:27 PM	6.357					
07/27/17	08:12:27 PM	6.357					
07/27/17	09:12:27 PM	6.357					
07/27/17	10:12:27 PM	6.357					
07/27/17	11:12:27 PM	6.357					
07/28/17	12:12:27 AM	6.357					
07/28/17	01:12:27 AM	6.357					
07/28/17	02:12:27 AM	6.357					
07/28/17	03:12:27 AM	6.382					
07/28/17	04:12:27 AM	6.382					
07/28/17	05:12:27 AM	6.382					
07/28/17	06:12:27 AM	6.382					
07/28/17	07:12:27 AM	6.382					
07/28/17	08:12:27 AM	11.880					
07/28/17	09:12:27 AM	12.025					
07/28/17	10:12:27 AM	12.485					
07/28/17	11:12:27 AM	12.413					
07/28/17	12:12:27 PM	12.437					
07/28/17	01:12:27 PM	12.654					
07/28/17	02:12:27 PM	12.534					
07/28/17	03:12:27 PM	12.968					
07/28/17	04:12:27 PM	5.668					
07/28/17	05:12:27 PM	5.642					
07/28/17	06:12:27 PM	5.642					
07/28/17	07:12:27 PM	5.642					
07/28/17	08:12:27 PM	5.642					
07/28/17	09:12:27 PM	5.642					
07/28/17	10:12:27 PM	5.642					
07/28/17	11:12:27 PM	5.642					
07/29/17	12:12:27 AM	5.642					
07/29/17	01:12:27 AM	5.642					
07/29/17	02:12:27 AM	5.642					
07/29/17	03:12:27 AM	5.642					
07/29/17	04:12:27 AM	5.642					
07/29/17	05:12:27 AM	5.668					
07/29/17	06:12:27 AM	5.668					
07/29/17	07:12:27 AM	5.642					
07/29/17	08:12:27 AM	5.642					
07/29/17	09:12:27 AM	5.642					
07/29/17	10:12:27 AM	5.642					
07/29/17	11:12:27 AM	5.642					
07/29/17	12:12:27 PM	12.001					
07/29/17	01:12:27 PM	13.618					
07/29/17	02:12:27 PM	15.438					
07/29/17	03:12:27 PM	5.565					
07/29/17	04:12:27 PM	5.565					
07/29/17	05:12:27 PM	5.565					
07/29/17	06:12:27 PM	5.565					
07/29/17	07:12:27 PM	5.565					
07/29/17	08:12:27 PM	5.565					
07/29/17	09:12:27 PM	5.565					
07/29/17	10:12:27 PM	5.565					
07/29/17	11:12:27 PM	5.565					
07/30/17	12:12:27 AM	5.565					
07/30/17	01:12:27 AM	5.591					
07/30/17	02:12:27 AM	5.591					
07/30/17	03:12:27 AM	5.591					
07/30/17	04:12:27 AM	5.565					
07/30/17	05:12:27 AM	5.565					
07/30/17	06:12:27 AM	5.591					
07/30/17	07:12:27 AM	5.565					
07/30/17	08:12:27 AM	5.591					
07/30/17	09:12:27 AM	13.257					
07/30/17	10:06:33 AM			Logged	Logged		
07/30/17	10:07:09 AM					Logged	Logged
