"Date"	"Time, GMT-08:00"	"Temp, °C"	"Coupler Detached"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
07/25/17	11:20:20 AM	19.888					
07/25/17	11:20:23 AM		Logged				
07/25/17	12:20:20 PM	13.858					
07/25/17	01:20:20 PM	13.594					
07/25/17	02:20:20 PM	15.223					
07/25/17	03:20:20 PM	6.408					
07/25/17	04:20:20 PM	6.382					
07/25/17	05:20:20 PM	6.357					
07/25/17	06:20:20 PM	6.484					
07/25/17	07:20:20 PM	6.281					
07/25/17	08:20:20 PM	6.357					
07/25/17	09:20:20 PM	6.306					
07/25/17	10:20:20 PM	6.306					
07/25/17	11:20:20 PM	6.255					
07/26/17	12:20:20 AM	6.255					
07/26/17	01:20:20 AM	6.433					
07/26/17	02:20:20 AM	6.306					
07/26/17	03:20:20 AM	6.306					
07/26/17	04:20:20 AM	6.357					
07/26/17	05:20:20 AM	6.357					
07/26/17	06:20:20 AM	6.433					
07/26/17	07:20:20 AM	6.357					
07/26/17	08:20:20 AM	6.408					
07/26/17	09:20:20 AM	6.357					
07/26/17	10:20:20 AM	11.686					
07/26/17	11:20:20 AM	10.907					
07/26/17	12:20:20 PM	12.147					
07/26/17	01:20:20 PM	12.823					
07/26/17	02:20:20 PM	6.889					
07/26/17	03:20:20 PM	6.914					
07/26/17	04:20:20 PM	6.940					
07/26/17	05:20:20 PM	6.965					
07/26/17	06:20:20 PM	7.015					
07/26/17	07:20:20 PM	7.041					
07/26/17	08:20:20 PM	7.041					
07/26/17	09:20:20 PM	6.990					
07/26/17	10:20:20 PM	6.965					
07/26/17	11:20:20 PM	6.940					
07/27/17	12:20:20 AM	6.889					
07/27/17	01:20:20 AM	6.914					
07/27/17	02:20:20 AM	6.914					
07/27/17	03:20:20 AM	6.940					
07/27/17	04:20:20 AM	6.940					
07/27/17	05:20:20 AM	6.965					
07/27/17	06:20:20 AM	6.965					
07/27/17	07:20:20 AM	6.990					
07/27/17	08:20:20 AM	6.990					
07/27/17	09:20:20 AM	12.847					
07/27/17	10:20:20 AM	11.783					
07/27/17	11:20:20 AM	12.074					
07/27/17	12:20:20 PM	12.630					
07/27/17	01:20:20 PM	12.654					
07/27/17	02:20:20 PM	14.050					
07/27/17	03:20:20 PM	6.560					
07/27/17	04:20:20 PM	6.585					
07/27/17	05:20:20 PM	6.458					
07/27/17	06:20:20 PM	6.484					
07/27/17	07:20:20 PM	6.458					
07/27/17	08:20:20 PM	6.484					
07/27/17	09:20:20 PM	6.484					
07/27/17	10:20:20 PM	6.509					
07/27/17	11:20:20 PM	6.484					
07/28/17	12:20:20 AM	6.484					
