"Date"	"Time, GMT-08:00"	"Temp, °C"	"Coupler Detached"	"Bad Battery"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
10/10/17	10:41:46 AM	19.912						
10/10/17	10:41:51 AM		Logged					
10/10/17	11:41:46 AM	9.114						
10/10/17	12:41:46 PM	7.519						
10/10/17	01:41:46 PM	12.727						
10/10/17	02:41:46 PM	6.128						
10/10/17	03:41:46 PM	6.179						
10/10/17	04:41:46 PM	6.102						
10/10/17	05:41:46 PM	6.026						
10/10/17	06:41:46 PM	6.000						
10/10/17	07:41:46 PM	6.000						
10/10/17	08:41:46 PM	6.051						
10/10/17	09:41:46 PM	6.102						
10/10/17	10:41:46 PM	6.306						
10/10/17	11:41:46 PM	6.458						
10/11/17	12:41:46 AM	6.382						
10/11/17	01:41:46 AM	6.306						
10/11/17	02:41:46 AM	6.255						
10/11/17	03:41:46 AM	6.204						
10/11/17	04:41:46 AM	6.153						
10/11/17	05:41:46 AM	5.924						
10/11/17	06:41:46 AM	5.924						
10/11/17	07:41:46 AM	5.975						
10/11/17	08:41:46 AM	6.026						
10/11/17	09:41:46 AM	6.051						
10/11/17	10:41:46 AM	6.965						
10/11/17	11:41:46 AM	5.050						
10/11/17	12:41:46 PM	5.847						
10/11/17	01:41:46 PM	7.393						
10/11/17	02:41:46 PM	7.368						
10/11/17	03:41:46 PM	7.368						
10/11/17	04:41:46 PM	7.368						
10/11/17	05:41:46 PM	7.368						
10/11/17	06:41:46 PM	7.293						
10/11/17	07:41:46 PM	7.268						
10/11/17	08:41:46 PM	7.318						
10/11/17	09:41:46 PM	7.242						
10/11/17	10:41:46 PM	7.242						
10/11/17	11:41:46 PM	7.293						
10/12/17	12:41:46 AM	7.318						
10/12/17	01:41:46 AM	7.368						
10/12/17	02:41:46 AM	7.419						
10/12/17	03:41:46 AM	7.343						
10/12/17	04:41:46 AM	7.343						
10/12/17	05:41:46 AM	7.343						
10/12/17	06:41:46 AM	7.343						
10/12/17	07:41:46 AM	7.343						
10/12/17	08:41:46 AM	2.770						
10/12/17	09:41:46 AM	3.063						
10/12/17	10:41:46 AM	3.485						
10/12/17	11:41:46 AM	4.141						
10/12/17	12:41:46 PM	4.714						
10/12/17	01:41:46 PM	5.437						
10/12/17	02:41:46 PM	6.179						
10/12/17	03:41:46 PM	6.636						
10/12/17	04:41:46 PM	7.343						
10/12/17	05:41:46 PM	7.494						
10/12/17	06:41:46 PM	6.484						
10/12/17	07:41:46 PM	4.298						
10/12/17	08:41:46 PM	3.801						
10/12/17	09:41:46 PM	3.406						
10/12/17	10:41:46 PM	2.983						
10/12/17	11:41:46 PM	2.823						
10/13/17	12:41:46 AM	2.637						
10/13/17	01:41:46 AM	2.690						
10/13/17	02:41:46 AM	3.009						
10/13/17	03:41:46 AM	3.274						
10/13/17	04:41:46 AM	3.168						
10/13/17	05:41:46 AM	3.089						
10/13/17	06:41:46 AM	3.195						
10/13/17	07:41:46 AM	3.380						
10/13/17	08:41:46 AM	3.591						
10/13/17	09:41:46 AM	3.827						
10/13/17	10:41:46 AM	4.246						
10/13/17	11:41:46 AM	4.818						
10/13/17	12:41:46 PM	5.257						
10/13/17	01:41:46 PM	5.231						
10/13/17	02:41:46 PM	5.024						
10/13/17	03:41:46 PM	5.282						
10/13/17	04:41:46 PM	5.257						
10/13/17	05:41:46 PM	5.257						
10/13/17	06:41:46 PM	5.257						
10/13/17	07:41:46 PM	5.257						
10/13/17	08:41:46 PM	5.257						
10/13/17	09:41:46 PM	5.282						
10/13/17	10:41:46 PM	5.257						
10/13/17	11:41:46 PM	5.257						
10/14/17	12:41:46 AM	5.257						
10/14/17	01:41:46 AM	5.257						
10/14/17	02:41:46 AM	5.257						
10/14/17	03:41:46 AM	5.257						
10/14/17	04:41:46 AM	5.257						
10/14/17	05:41:46 AM	5.257						
10/14/17	06:41:46 AM	5.257						
10/14/17	07:41:46 AM	5.257						
10/14/17	08:41:46 AM	5.257						
10/14/17	09:41:46 AM	5.257						
10/14/17	10:41:46 AM	5.257						
10/14/17	11:41:46 AM	6.179						
10/14/17	12:41:46 PM	6.128						
10/14/17	01:41:46 PM	6.813						
10/14/17	02:41:46 PM	6.077						
10/14/17	03:41:46 PM	6.102						
