"Date"	"Time, GMT-08:00"	"Temp, °C"	"Coupler Detached"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
10/10/17	10:45:10 AM	19.460					
10/10/17	10:45:13 AM		Logged				
10/10/17	11:45:10 AM	10.124					
10/10/17	12:45:10 PM	7.444					
10/10/17	01:45:10 PM	7.293					
10/10/17	02:45:10 PM	7.318					
10/10/17	03:45:10 PM	7.318					
10/10/17	04:45:10 PM	7.343					
10/10/17	05:45:10 PM	7.343					
10/10/17	06:45:10 PM	7.318					
10/10/17	07:45:10 PM	7.293					
10/10/17	08:45:10 PM	7.318					
10/10/17	09:45:10 PM	7.293					
10/10/17	10:45:10 PM	7.268					
10/10/17	11:45:10 PM	7.268					
10/11/17	12:45:10 AM	7.268					
10/11/17	01:45:10 AM	7.268					
10/11/17	02:45:10 AM	7.268					
10/11/17	03:45:10 AM	7.318					
10/11/17	04:45:10 AM	7.318					
10/11/17	05:45:10 AM	7.293					
10/11/17	06:45:10 AM	7.318					
10/11/17	07:45:10 AM	7.343					
10/11/17	08:45:10 AM	3.932					
10/11/17	09:45:10 AM	3.775					
10/11/17	10:45:10 AM	3.906					
10/11/17	11:45:10 AM	4.454					
10/11/17	12:45:10 PM	5.179					
10/11/17	01:45:10 PM	5.462					
10/11/17	02:45:10 PM	7.318					
10/11/17	03:45:10 PM	7.318					
10/11/17	04:45:10 PM	7.318					
10/11/17	05:45:10 PM	7.293					
10/11/17	06:45:10 PM	7.318					
10/11/17	07:45:10 PM	7.318					
10/11/17	08:45:10 PM	7.318					
10/11/17	09:45:10 PM	7.318					
10/11/17	10:45:10 PM	7.318					
10/11/17	11:45:10 PM	7.318					
10/12/17	12:45:10 AM	7.318					
10/12/17	01:45:10 AM	7.318					
10/12/17	02:45:10 AM	7.318					
10/12/17	03:45:10 AM	7.318					
10/12/17	04:45:10 AM	7.318					
10/12/17	05:45:10 AM	7.318					
10/12/17	06:45:10 AM	7.318					
10/12/17	07:45:10 AM	7.318					
10/12/17	08:45:10 AM	7.318					
10/12/17	09:45:10 AM	7.318					
10/12/17	10:45:10 AM	5.128					
10/12/17	11:45:10 AM	4.428					
10/12/17	12:45:10 PM	4.844					
10/12/17	01:45:10 PM	5.898					
10/12/17	02:45:10 PM	7.142					
10/12/17	03:45:10 PM	7.745					
10/12/17	04:45:10 PM	8.369					
10/12/17	05:45:10 PM	8.419					
10/12/17	06:45:10 PM	7.066					
10/12/17	07:45:10 PM	4.454					
10/12/17	08:45:10 PM	3.854					
10/12/17	09:45:10 PM	3.459					
10/12/17	10:45:10 PM	2.877					
10/12/17	11:45:10 PM	2.610					
10/13/17	12:45:10 AM	2.637					
10/13/17	01:45:10 AM	2.877					
10/13/17	02:45:10 AM	3.248					
10/13/17	03:45:10 AM	3.327					
10/13/17	04:45:10 AM	3.248					
10/13/17	05:45:10 AM	3.089					
10/13/17	06:45:10 AM	3.274					
10/13/17	07:45:10 AM	3.538					
