"Date"	"Time, GMT-08:00"	"Temp, °C"	"Coupler Detached"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
06/20/17	11:30:24 AM	19.603					
06/20/17	11:30:27 AM		Logged				
06/20/17	12:30:24 PM	18.723					
06/20/17	01:30:24 PM	13.570					
06/20/17	02:30:24 PM	5.565					
06/20/17	03:30:24 PM	5.539					
06/20/17	04:30:24 PM	5.205					
06/20/17	05:30:24 PM	5.179					
06/20/17	06:30:24 PM	5.102					
06/20/17	07:30:24 PM	5.102					
06/20/17	08:30:24 PM	5.154					
06/20/17	09:30:24 PM	5.282					
06/20/17	10:30:24 PM	5.282					
06/20/17	11:30:24 PM	5.205					
06/21/17	12:30:24 AM	5.205					
06/21/17	01:30:24 AM	5.205					
06/21/17	02:30:24 AM	5.257					
06/21/17	03:30:24 AM	5.282					
06/21/17	04:30:24 AM	5.282					
06/21/17	05:30:24 AM	5.282					
06/21/17	06:30:24 AM	5.282					
06/21/17	07:30:24 AM	5.154					
06/21/17	08:30:24 AM	5.231					
06/21/17	09:30:24 AM	10.785					
06/21/17	10:30:24 AM	11.005					
06/21/17	11:30:24 AM	11.419					
06/21/17	12:30:24 PM	11.492					
06/21/17	01:30:24 PM	12.389					
06/21/17	02:30:24 PM	13.185					
06/21/17	03:30:24 PM	5.128					
06/21/17	04:30:24 PM	5.128					
06/21/17	05:30:24 PM	5.205					
06/21/17	06:30:24 PM	5.334					
06/21/17	07:30:24 PM	5.334					
06/21/17	08:30:24 PM	5.308					
06/21/17	09:30:24 PM	5.231					
06/21/17	10:30:24 PM	5.128					
06/21/17	11:30:24 PM	5.102					
06/22/17	12:30:24 AM	5.205					
06/22/17	01:30:24 AM	5.308					
06/22/17	02:30:24 AM	5.411					
06/22/17	03:30:24 AM	5.282					
06/22/17	04:30:24 AM	5.205					
06/22/17	05:30:24 AM	5.231					
06/22/17	06:30:24 AM	5.282					
06/22/17	07:30:24 AM	5.282					
06/22/17	08:30:24 AM	5.282					
06/22/17	09:30:24 AM	5.282					
06/22/17	10:30:24 AM	5.308					
06/22/17	11:30:24 AM	5.385					
06/22/17	12:30:24 PM	12.582					
06/22/17	01:30:24 PM	12.799					
06/22/17	02:30:24 PM	16.058					
06/22/17	03:30:24 PM	5.437					
06/22/17	04:30:24 PM	5.257					
06/22/17	05:30:24 PM	5.282					
06/22/17	06:30:24 PM	5.282					
06/22/17	07:30:24 PM	5.282					
06/22/17	08:30:24 PM	5.334					
06/22/17	09:30:24 PM	5.437					
06/22/17	10:30:24 PM	5.591					
06/22/17	11:30:24 PM	5.591					
06/23/17	12:30:24 AM	5.591					
06/23/17	01:30:24 AM	5.616					
06/23/17	02:30:24 AM	5.668					
06/23/17	03:30:24 AM	5.282					
06/23/17	04:30:24 AM	5.257					
06/23/17	05:30:24 AM	5.411					
06/23/17	06:30:24 AM	5.282					
06/23/17	07:30:24 AM	5.360					
06/23/17	08:30:24 AM	5.539					
06/23/17	09:30:24 AM	12.871					
06/23/17	10:30:24 AM	12.098					
06/23/17	11:30:24 AM	12.920					
06/23/17	12:30:24 PM	12.775					
06/23/17	01:30:24 PM	13.618					
06/23/17	02:30:24 PM	15.175					
06/23/17	03:30:24 PM	5.437					
06/23/17	04:30:24 PM	5.437					
06/23/17	05:30:24 PM	5.437					
06/23/17	06:30:24 PM	5.411					
06/23/17	07:30:24 PM	5.411					
06/23/17	08:30:24 PM	5.437					
06/23/17	09:30:24 PM	5.437					
06/23/17	10:30:24 PM	5.411					
06/23/17	11:30:24 PM	5.411					
06/24/17	12:30:24 AM	5.411					
06/24/17	01:30:24 AM	5.411					
06/24/17	02:30:24 AM	5.411					
06/24/17	03:30:24 AM	5.462					
06/24/17	04:30:24 AM	5.462					
06/24/17	05:30:24 AM	5.437					
06/24/17	06:30:24 AM	5.411					
06/24/17	07:30:24 AM	5.462					
06/24/17	08:30:24 AM	5.462					
06/24/17	09:30:24 AM	5.462					
06/24/17	10:30:24 AM	5.462					
06/24/17	11:30:24 AM	9.756					
06/24/17	12:30:24 PM	11.127					
06/24/17	01:30:24 PM	11.783					
06/24/17	02:30:24 PM	5.591					
06/24/17	03:30:24 PM	5.591					
06/24/17	04:30:24 PM	5.514					
06/24/17	05:30:24 PM	5.616					
06/24/17	06:30:24 PM	5.668					
06/24/17	07:30:24 PM	5.642					
06/24/17	08:30:24 PM	5.616					
06/24/17	09:30:24 PM	5.693					
06/24/17	10:30:24 PM	5.591					
06/24/17	11:30:24 PM	5.565					
06/25/17	12:30:24 AM	5.616					
06/25/17	01:30:24 AM	5.821					
06/25/17	02:30:24 AM	5.745					
06/25/17	03:30:24 AM	5.719					
06/25/17	04:30:24 AM	5.616					
06/25/17	05:30:24 AM	5.821					
06/25/17	06:30:24 AM	5.821					
06/25/17	07:30:24 AM	5.770					
06/25/17	08:30:24 AM	5.745					
06/25/17	09:30:24 AM	11.467					
06/25/17	10:30:24 AM	11.492					
06/25/17	11:30:24 AM	11.953					
06/25/17	12:30:24 PM	11.929					
06/25/17	01:30:24 PM	13.064					
06/25/17	02:30:24 PM	12.871					
06/25/17	03:30:24 PM	6.026					
06/25/17	04:30:24 PM	5.719					
06/25/17	05:30:24 PM	5.565					
06/25/17	06:30:24 PM	5.591					
06/25/17	07:30:24 PM	5.719					
06/25/17	08:30:24 PM	5.745					
06/25/17	09:30:24 PM	5.693					
06/25/17	10:30:24 PM	5.642					
06/25/17	11:30:24 PM	5.616					
06/26/17	12:30:24 AM	5.668					
06/26/17	01:30:24 AM	5.668					
06/26/17	02:30:24 AM	5.591					
06/26/17	03:30:24 AM	5.591					
06/26/17	04:30:24 AM	5.591					
06/26/17	05:30:24 AM	5.616					
06/26/17	06:30:24 AM	5.642					
06/26/17	07:30:24 AM	5.693					
06/26/17	08:30:24 AM	5.668					
06/26/17	09:30:24 AM	5.693					
06/26/17	10:30:24 AM	5.693					
06/26/17	11:30:24 AM	10.638					
06/26/17	12:30:24 PM	10.932					
06/26/17	01:30:24 PM	10.834					
06/26/17	02:30:24 PM	5.872					
06/26/17	03:30:24 PM	5.872					
06/26/17	04:30:24 PM	5.847					
06/26/17	05:30:24 PM	5.847					
06/26/17	06:30:24 PM	5.847					
06/26/17	07:30:24 PM	5.847					
06/26/17	08:30:24 PM	5.847					
06/26/17	09:30:24 PM	5.847					
06/26/17	10:30:24 PM	5.847					
06/26/17	11:30:24 PM	5.847					
06/27/17	12:30:24 AM	5.872					
06/27/17	01:30:24 AM	5.872					
06/27/17	02:30:24 AM	5.872					
06/27/17	03:30:24 AM	5.872					
06/27/17	04:30:24 AM	5.872					
06/27/17	05:30:24 AM	5.847					
06/27/17	06:30:24 AM	5.847					
06/27/17	07:30:24 AM	5.847					
06/27/17	08:30:24 AM	5.847					
06/27/17	09:30:24 AM	10.565					
06/27/17	10:30:24 AM	10.516					
06/27/17	11:30:24 AM	10.907					
06/27/17	12:30:24 PM	11.467					
06/27/17	01:30:24 PM	12.847					
06/27/17	02:30:24 PM	6.382					
06/27/17	03:30:24 PM	6.408					
06/27/17	04:30:24 PM	6.408					
06/27/17	05:30:24 PM	6.357					
06/27/17	06:30:24 PM	6.153					
06/27/17	07:30:24 PM	6.128					
06/27/17	08:30:24 PM	6.153					
06/27/17	09:30:24 PM	6.230					
06/27/17	10:30:24 PM	6.331					
06/27/17	11:30:24 PM	6.281					
06/28/17	12:30:24 AM	6.306					
06/28/17	01:30:24 AM	6.102					
06/28/17	02:30:24 AM	6.051					
06/28/17	03:30:24 AM	6.102					
06/28/17	04:30:24 AM	6.077					
06/28/17	05:30:24 AM	6.102					
06/28/17	06:30:24 AM	6.128					
06/28/17	07:30:24 AM	6.179					
06/28/17	08:30:24 AM	6.255					
06/28/17	09:30:24 AM	6.281					
06/28/17	10:30:24 AM	13.305					
06/28/17	11:30:24 AM	13.473					
06/28/17	12:14:58 PM			Logged			
06/28/17	12:14:59 PM				Logged		
06/28/17	12:15:09 PM					Logged	Logged
