"Date"	"Time, GMT-08:00"	"Temp, °C"	"Bad Battery"	"Coupler Detached"	"Good Battery"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
06/20/17	11:38:20 AM	19.318	Logged						
06/20/17	11:38:22 AM			Logged					
06/20/17	12:38:20 PM	18.675			Logged				
06/20/17	01:38:20 PM	15.270							
06/20/17	02:38:20 PM	5.385							
06/20/17	03:38:20 PM	5.411							
06/20/17	04:38:20 PM	5.205							
06/20/17	05:38:20 PM	5.179							
06/20/17	06:38:20 PM	5.154							
06/20/17	07:38:20 PM	5.128							
06/20/17	08:38:20 PM	5.154							
06/20/17	09:38:20 PM	5.205							
06/20/17	10:38:20 PM	5.282							
06/20/17	11:38:20 PM	5.334							
06/21/17	12:38:20 AM	5.385							
06/21/17	01:38:20 AM	5.437							
06/21/17	02:38:20 AM	5.308							
06/21/17	03:38:20 AM	5.462							
06/21/17	04:38:20 AM	5.334							
06/21/17	05:38:20 AM	5.257							
06/21/17	06:38:20 AM	5.179							
06/21/17	07:38:20 AM	5.231							
06/21/17	08:38:20 AM	5.308							
06/21/17	09:38:20 AM	11.200							
06/21/17	10:38:20 AM	11.200							
06/21/17	11:38:20 AM	11.662							
06/21/17	12:38:20 PM	12.799							
06/21/17	01:38:20 PM	12.968							
06/21/17	02:38:20 PM	15.652							
06/21/17	03:38:20 PM	5.102							
06/21/17	04:38:20 PM	5.102							
06/21/17	05:38:20 PM	5.102							
06/21/17	06:38:20 PM	5.102							
06/21/17	07:38:20 PM	5.102							
06/21/17	08:38:20 PM	5.102							
06/21/17	09:38:20 PM	5.076							
06/21/17	10:38:20 PM	5.050							
06/21/17	11:38:20 PM	5.076							
06/22/17	12:38:20 AM	5.076							
06/22/17	01:38:20 AM	5.076							
06/22/17	02:38:20 AM	5.076							
06/22/17	03:38:20 AM	5.102							
06/22/17	04:38:20 AM	5.128							
06/22/17	05:38:20 AM	5.128							
06/22/17	06:38:20 AM	5.128							
06/22/17	07:38:20 AM	5.102							
06/22/17	08:38:20 AM	5.102							
06/22/17	09:38:20 AM	5.102							
06/22/17	10:38:20 AM	5.076							
06/22/17	11:38:20 AM	14.218							
06/22/17	12:38:20 PM	12.340							
06/22/17	01:38:20 PM	12.799							
06/22/17	02:38:20 PM	14.936							
06/22/17	03:38:20 PM	5.102							
06/22/17	04:38:20 PM	5.102							
06/22/17	05:38:20 PM	5.076							
06/22/17	06:38:20 PM	5.076							
06/22/17	07:38:20 PM	5.076							
06/22/17	08:38:20 PM	5.076							
06/22/17	09:38:20 PM	5.076							
06/22/17	10:38:20 PM	5.128							
06/22/17	11:38:20 PM	5.102							
06/23/17	12:38:20 AM	5.102							
06/23/17	01:38:20 AM	5.102							
06/23/17	02:38:20 AM	5.128							
06/23/17	03:38:20 AM	5.128							
06/23/17	04:38:20 AM	5.102							
06/23/17	05:38:20 AM	5.102							
06/23/17	06:38:20 AM	5.102							
06/23/17	07:38:20 AM	5.102							
06/23/17	08:38:20 AM	5.102							
06/23/17	09:38:20 AM	12.582							
06/23/17	10:38:20 AM	13.497							
06/23/17	11:38:20 AM	13.978							
06/23/17	12:38:20 PM	14.242							
06/23/17	01:38:20 PM	15.819							
06/23/17	02:38:20 PM	21.056							
