"Date"	"Time, GMT-08:00"	"Temp, °C"	"Coupler Detached"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
07/12/17	09:18:31 AM	21.056					
07/12/17	09:18:36 AM		Logged				
07/12/17	10:18:31 AM	18.818					
07/12/17	11:18:31 AM	16.272					
07/12/17	12:18:31 PM	16.558					
07/12/17	01:18:31 PM	17.368					
07/12/17	02:18:31 PM	16.606					
07/12/17	03:18:31 PM	7.142					
07/12/17	04:18:31 PM	7.217					
07/12/17	05:18:31 PM	6.990					
07/12/17	06:18:31 PM	7.217					
07/12/17	07:18:31 PM	7.091					
07/12/17	08:18:31 PM	6.940					
07/12/17	09:18:31 PM	6.687					
07/12/17	10:18:31 PM	6.763					
07/12/17	11:18:31 PM	6.813					
07/13/17	12:18:31 AM	6.813					
07/13/17	01:18:31 AM	6.813					
07/13/17	02:18:31 AM	6.889					
07/13/17	03:18:31 AM	6.990					
07/13/17	04:18:31 AM	7.041					
07/13/17	05:18:31 AM	7.091					
07/13/17	06:18:31 AM	7.041					
07/13/17	07:18:31 AM	7.066					
07/13/17	08:18:31 AM	6.990					
07/13/17	09:18:31 AM	6.914					
07/13/17	10:18:31 AM	6.813					
07/13/17	11:18:31 AM	6.839					
07/13/17	12:18:31 PM	14.194					
07/13/17	01:18:31 PM	14.122					
07/13/17	02:18:31 PM	6.687					
07/13/17	03:18:31 PM	6.408					
07/13/17	04:18:31 PM	6.255					
07/13/17	05:18:31 PM	6.306					
07/13/17	06:18:31 PM	6.230					
07/13/17	07:18:31 PM	6.255					
07/13/17	08:18:31 PM	6.179					
07/13/17	09:18:31 PM	6.230					
07/13/17	10:18:31 PM	6.179					
07/13/17	11:18:31 PM	6.179					
07/14/17	12:18:31 AM	6.255					
07/14/17	01:18:31 AM	6.408					
07/14/17	02:18:31 AM	6.458					
07/14/17	03:18:31 AM	6.484					
07/14/17	04:18:31 AM	6.204					
07/14/17	05:18:31 AM	6.204					
07/14/17	06:18:31 AM	6.179					
07/14/17	07:18:31 AM	6.204					
07/14/17	08:18:31 AM	6.204					
07/14/17	09:18:31 AM	12.775					
07/14/17	10:18:31 AM	13.016					
07/14/17	11:18:31 AM	13.209					
07/14/17	12:18:31 PM	13.401					
07/14/17	01:18:31 PM	12.630					
07/14/17	02:18:31 PM	12.461					
07/14/17	03:18:31 PM	13.233					
07/14/17	04:18:31 PM	13.497					
07/14/17	05:18:31 PM	12.992					
07/14/17	06:18:31 PM	12.992					
07/14/17	07:18:31 PM	12.050					
07/14/17	08:18:31 PM	11.832					
07/14/17	09:18:31 PM	11.565					
07/14/17	10:18:31 PM	11.710					
07/14/17	11:18:31 PM	11.613					
07/15/17	12:18:31 AM	11.419					
07/15/17	01:18:31 AM	11.127					
07/15/17	02:18:31 AM	11.078					
07/15/17	03:18:31 AM	11.029					
07/15/17	04:18:31 AM	10.761					
07/15/17	05:18:31 AM	10.858					
07/15/17	06:18:31 AM	10.638					
07/15/17	07:18:31 AM	10.516					
07/15/17	08:18:31 AM	11.127					
07/15/17	09:18:31 AM	11.516					
07/15/17	10:18:31 AM	11.443					
07/15/17	11:18:31 AM	11.492					
07/15/17	12:18:31 PM	11.370					
07/15/17	01:18:31 PM	11.807					
07/15/17	02:18:31 PM	11.977					
07/15/17	03:18:31 PM	5.668					
07/15/17	04:18:31 PM	5.668					
07/15/17	05:18:31 PM	5.668					
07/15/17	06:18:31 PM	5.668					
07/15/17	07:18:31 PM	5.668					
07/15/17	08:18:31 PM	5.668					
07/15/17	09:18:31 PM	5.668					
07/15/17	10:18:31 PM	5.668					
07/15/17	11:18:31 PM	5.668					
07/16/17	12:18:31 AM	5.668					
07/16/17	01:18:31 AM	5.668					
07/16/17	02:18:31 AM	5.668					
07/16/17	03:18:31 AM	5.668					
07/16/17	04:18:31 AM	5.668					
07/16/17	05:18:31 AM	5.668					
07/16/17	06:18:31 AM	5.668					
07/16/17	07:18:31 AM	5.668					
07/16/17	08:18:31 AM	5.668					
07/16/17	09:18:31 AM	5.668					
07/16/17	10:18:31 AM	5.668					
07/16/17	11:18:31 AM	11.904					
07/16/17	12:18:31 PM	11.856					
07/16/17	01:18:31 PM	12.292					
07/16/17	02:18:31 PM	5.693					
07/16/17	03:18:31 PM	5.668					
07/16/17	04:18:31 PM	5.693					
07/16/17	05:18:31 PM	5.693					
07/16/17	06:18:31 PM	5.693					
07/16/17	07:18:31 PM	5.693					
07/16/17	08:18:31 PM	5.693					
07/16/17	09:18:31 PM	5.693					
07/16/17	10:18:31 PM	5.693					
07/16/17	11:18:31 PM	5.668					
07/17/17	12:18:31 AM	5.693					
07/17/17	01:18:31 AM	5.668					
07/17/17	02:18:31 AM	5.693					
07/17/17	03:18:31 AM	5.668					
07/17/17	04:18:31 AM	5.668					
07/17/17	05:18:31 AM	5.693					
07/17/17	06:18:31 AM	5.668					
07/17/17	07:18:31 AM	5.693					
07/17/17	08:18:31 AM	5.693					
07/17/17	09:18:31 AM	11.880					
07/17/17	10:18:31 AM	12.195					
07/17/17	11:18:31 AM	12.461					
07/17/17	12:18:31 PM	12.678					
07/17/17	01:18:31 PM	13.449					
07/17/17	02:18:31 PM	13.137					
07/17/17	03:18:31 PM	12.751					
07/17/17	04:18:31 PM	12.944					
07/17/17	05:18:31 PM	13.329					
07/17/17	06:18:31 PM	13.353					
07/17/17	07:18:31 PM	13.401					
07/17/17	08:18:31 PM	13.137					
07/17/17	09:18:31 PM	13.016					
07/17/17	10:18:31 PM	12.751					
07/17/17	11:18:31 PM	12.654					
07/18/17	12:18:31 AM	12.509					
07/18/17	01:18:31 AM	12.437					
07/18/17	02:18:31 AM	12.292					
07/18/17	03:18:31 AM	12.001					
07/18/17	04:18:31 AM	11.856					
07/18/17	05:18:31 AM	11.880					
07/18/17	06:18:31 AM	11.929					
07/18/17	07:18:31 AM	12.195					
07/18/17	08:18:31 AM	12.461					
07/18/17	09:18:31 AM	12.920					
07/18/17	10:18:31 AM	13.161					
07/18/17	11:18:31 AM	13.666					
07/18/17	12:18:31 PM	13.618					
07/18/17	01:18:31 PM	14.721					
07/18/17	02:18:31 PM	5.488					
07/18/17	03:18:31 PM	5.488					
07/18/17	04:18:31 PM	5.745					
07/18/17	05:18:31 PM	5.616					
07/18/17	06:18:31 PM	5.360					
07/18/17	07:18:31 PM	5.334					
07/18/17	08:18:31 PM	5.334					
07/18/17	09:18:31 PM	5.179					
