"Date"	"Time, GMT-08:00"	"Temp, °C"	"Bad Battery"	"Coupler Detached"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
07/12/17	09:14:41 AM	20.889	Logged					
07/12/17	09:14:45 AM			Logged				
07/12/17	10:14:41 AM	18.699						
07/12/17	11:14:41 AM	16.106						
07/12/17	12:14:41 PM	19.341						
07/12/17	01:14:41 PM	17.724						
07/12/17	02:14:41 PM	16.677						
07/12/17	03:14:41 PM	7.142						
07/12/17	04:14:41 PM	6.712						
07/12/17	05:14:41 PM	6.509						
07/12/17	06:14:41 PM	6.306						
07/12/17	07:14:41 PM	6.357						
07/12/17	08:14:41 PM	6.204						
07/12/17	09:14:41 PM	6.611						
07/12/17	10:14:41 PM	6.281						
07/12/17	11:14:41 PM	6.281						
07/13/17	12:14:41 AM	6.535						
07/13/17	01:14:41 AM	6.509						
07/13/17	02:14:41 AM	6.813						
07/13/17	03:14:41 AM	6.408						
07/13/17	04:14:41 AM	6.737						
07/13/17	05:14:41 AM	6.408						
07/13/17	06:14:41 AM	6.204						
07/13/17	07:14:41 AM	6.204						
07/13/17	08:14:41 AM	6.357						
07/13/17	09:14:41 AM	6.306						
07/13/17	10:14:41 AM	6.331						
07/13/17	11:14:41 AM	6.458						
07/13/17	12:14:41 PM	14.074						
07/13/17	01:14:41 PM	16.225						
07/13/17	02:14:41 PM	6.128						
07/13/17	03:14:41 PM	6.128						
07/13/17	04:14:41 PM	6.128						
07/13/17	05:14:41 PM	6.128						
07/13/17	06:14:41 PM	6.102						
07/13/17	07:14:41 PM	6.077						
07/13/17	08:14:41 PM	6.077						
07/13/17	09:14:41 PM	6.077						
07/13/17	10:14:41 PM	6.102						
07/13/17	11:14:41 PM	6.102						
07/14/17	12:14:41 AM	6.102						
07/14/17	01:14:41 AM	6.077						
07/14/17	02:14:41 AM	6.077						
07/14/17	03:14:41 AM	6.077						
07/14/17	04:14:41 AM	6.051						
07/14/17	05:14:41 AM	6.051						
07/14/17	06:14:41 AM	6.077						
07/14/17	07:14:41 AM	6.077						
07/14/17	08:14:41 AM	12.219						
07/14/17	09:14:41 AM	12.534						
07/14/17	10:14:41 AM	12.823						
07/14/17	11:14:41 AM	13.064						
07/14/17	12:14:41 PM	13.353						
07/14/17	01:14:41 PM	12.485						
07/14/17	02:14:41 PM	12.195						
07/14/17	03:14:41 PM	12.920						
07/14/17	04:14:41 PM	13.305						
07/14/17	05:14:41 PM	12.823						
07/14/17	06:14:41 PM	12.727						
07/14/17	07:14:41 PM	11.929						
07/14/17	08:14:41 PM	11.613						
07/14/17	09:14:41 PM	11.492						
07/14/17	10:14:41 PM	11.613						
07/14/17	11:14:41 PM	11.516						
07/15/17	12:14:41 AM	11.321						
07/15/17	01:14:41 AM	11.029						
07/15/17	02:14:41 AM	10.956						
07/15/17	03:14:41 AM	10.932						
07/15/17	04:14:41 AM	10.663						
07/15/17	05:14:41 AM	10.785						
07/15/17	06:14:41 AM	10.492						
07/15/17	07:14:41 AM	10.492						
07/15/17	08:14:41 AM	11.005						
07/15/17	09:14:41 AM	11.200						
07/15/17	10:14:41 AM	11.321						
07/15/17	11:14:41 AM	11.467						
