DateTime 	Temp 	Junk 	Junk 	Junk 	Junk 	Junk
07/12/17	09:23:53 AM	19.936					
07/12/17	10:23:53 AM	18.152					
07/12/17	11:23:53 AM	15.533					
07/12/17	12:23:53 PM	17.296					
07/12/17	01:23:53 PM	22.011					
07/12/17	02:23:53 PM	7.066					
07/12/17	03:23:53 PM	7.116					
07/12/17	04:23:53 PM	7.142					
07/12/17	05:23:53 PM	7.268					
07/12/17	06:23:53 PM	7.192					
07/12/17	07:23:53 PM	7.091					
07/12/17	08:23:53 PM	7.015					
07/12/17	09:23:53 PM	6.889					
07/12/17	10:23:53 PM	6.636					
07/12/17	11:23:53 PM	6.611					
07/13/17	12:23:53 AM	6.636					
07/13/17	01:23:53 AM	6.611					
07/13/17	02:23:53 AM	6.611					
07/13/17	03:23:53 AM	6.636					
07/13/17	04:23:53 AM	6.687					
07/13/17	05:23:53 AM	6.712					
07/13/17	06:23:53 AM	6.763					
07/13/17	07:23:53 AM	6.889					
07/13/17	08:23:53 AM	6.940					
07/13/17	09:23:53 AM	13.161					
07/13/17	10:23:53 AM	12.727					
07/13/17	11:23:53 AM	13.137					
07/13/17	12:23:53 PM	13.522					
07/13/17	01:23:53 PM	13.594					
07/13/17	02:23:53 PM	13.161					
07/13/17	03:23:53 PM	5.745					
07/13/17	04:23:53 PM	5.616					
07/13/17	05:23:53 PM	5.565					
07/13/17	06:23:53 PM	5.565					
07/13/17	07:23:53 PM	5.591					
07/13/17	08:23:53 PM	5.591					
07/13/17	09:23:53 PM	5.616					
07/13/17	10:23:53 PM	5.693					
07/13/17	11:23:53 PM	5.745					
07/14/17	12:23:53 AM	5.745					
07/14/17	01:23:53 AM	5.745					
07/14/17	02:23:53 AM	5.745					
07/14/17	03:23:53 AM	5.745					
07/14/17	04:23:53 AM	5.693					
07/14/17	05:23:53 AM	5.668					
07/14/17	06:23:53 AM	5.642					
07/14/17	07:23:53 AM	5.642					
07/14/17	08:23:53 AM	5.668					
07/14/17	09:23:53 AM	5.668					
07/14/17	10:23:53 AM	5.719					
07/14/17	11:23:53 AM	11.224					
07/14/17	12:23:53 PM	14.673					
07/14/17	01:23:53 PM	15.485					
07/14/17	02:23:53 PM	15.414					
07/14/17	03:23:53 PM	16.725					
07/14/17	04:23:53 PM	17.486					
07/14/17	05:23:53 PM	14.649					
07/14/17	06:23:53 PM	14.433					
07/14/17	07:23:53 PM	13.401					
07/14/17	08:23:53 PM	12.630					
07/14/17	09:23:53 PM	12.195					
