"Date"	"Time, GMT-08:00"	"Temp, °C"	"Coupler Detached"	"Good Battery"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
07/12/17	09:15:20 AM	20.984						
07/12/17	09:15:24 AM		Logged					
07/12/17	10:15:20 AM	18.414		Logged				
07/12/17	11:15:20 AM	15.605						
07/12/17	12:15:20 PM	18.913						
07/12/17	01:15:20 PM	17.819						
07/12/17	02:15:20 PM	6.255						
07/12/17	03:15:20 PM	6.255						
07/12/17	04:15:20 PM	6.306						
07/12/17	05:15:20 PM	6.331						
07/12/17	06:15:20 PM	6.357						
07/12/17	07:15:20 PM	6.382						
07/12/17	08:15:20 PM	6.408						
07/12/17	09:15:20 PM	6.408						
07/12/17	10:15:20 PM	6.331						
07/12/17	11:15:20 PM	6.331						
07/13/17	12:15:20 AM	6.306						
07/13/17	01:15:20 AM	6.331						
07/13/17	02:15:20 AM	6.331						
07/13/17	03:15:20 AM	6.331						
07/13/17	04:15:20 AM	6.357						
07/13/17	05:15:20 AM	6.357						
07/13/17	06:15:20 AM	6.357						
07/13/17	07:15:20 AM	6.408						
07/13/17	08:15:20 AM	6.408						
07/13/17	09:15:20 AM	6.408						
07/13/17	10:15:20 AM	14.625						
07/13/17	11:15:20 AM	15.605						
07/13/17	12:15:20 PM	17.011						
07/13/17	01:15:20 PM	16.677						
07/13/17	02:15:20 PM	15.031						
07/13/17	03:15:20 PM	6.102						
07/13/17	04:15:20 PM	6.077						
07/13/17	05:15:20 PM	6.077						
07/13/17	06:15:20 PM	6.077						
07/13/17	07:15:20 PM	6.077						
07/13/17	08:15:20 PM	6.051						
07/13/17	09:15:20 PM	6.000						
07/13/17	10:15:20 PM	6.000						
07/13/17	11:15:20 PM	6.051						
07/14/17	12:15:20 AM	6.026						
07/14/17	01:15:20 AM	6.026						
07/14/17	02:15:20 AM	6.051						
07/14/17	03:15:20 AM	6.077						
07/14/17	04:15:20 AM	6.026						
07/14/17	05:15:20 AM	6.051						
07/14/17	06:15:20 AM	6.051						
07/14/17	07:15:20 AM	6.026						
07/14/17	08:15:20 AM	6.000						
07/14/17	09:15:20 AM	5.924						
07/14/17	10:15:20 AM	14.601						
07/14/17	11:15:20 AM	13.570						
07/14/17	12:15:20 PM	13.497						
07/14/17	01:15:20 PM	12.775						
07/14/17	02:15:20 PM	12.316						
07/14/17	03:15:20 PM	13.112						
07/14/17	04:15:20 PM	13.594						
07/14/17	05:15:20 PM	12.920						
07/14/17	06:15:20 PM	12.896						
07/14/17	07:15:20 PM	12.025						
07/14/17	08:15:20 PM	11.710						
07/14/17	09:15:20 PM	11.540						
07/14/17	10:15:20 PM	11.710						
07/14/17	11:15:20 PM	11.637						
07/15/17	12:15:20 AM	11.419						
07/15/17	01:15:20 AM	11.127						
07/15/17	02:15:20 AM	11.053						
07/15/17	03:15:20 AM	11.078						
07/15/17	04:15:20 AM	10.761						
07/15/17	05:15:20 AM	10.883						
07/15/17	06:15:20 AM	10.614						
07/15/17	07:15:20 AM	10.614						
07/15/17	08:15:20 AM	11.224						
07/15/17	09:15:20 AM	11.297						
07/15/17	10:15:20 AM	11.370						
07/15/17	11:15:20 AM	11.540						
07/15/17	12:15:20 PM	11.443						
07/15/17	01:15:20 PM	11.637						
07/15/17	02:15:20 PM	5.693						
07/15/17	03:15:20 PM	5.693						
07/15/17	04:15:20 PM	5.693						
07/15/17	05:15:20 PM	5.693						
07/15/17	06:15:20 PM	5.693						
07/15/17	07:15:20 PM	5.668						
07/15/17	08:15:20 PM	5.668						
07/15/17	09:15:20 PM	5.668						
07/15/17	10:15:20 PM	5.668						
07/15/17	11:15:20 PM	5.668						
07/16/17	12:15:20 AM	5.693						
07/16/17	01:15:20 AM	5.693						
07/16/17	02:15:20 AM	5.693						
07/16/17	03:15:20 AM	5.693						
07/16/17	04:15:20 AM	5.693						
07/16/17	05:15:20 AM	5.693						
07/16/17	06:15:20 AM	5.693						
