"Date"	"Time, GMT-08:00"	"Temp, °C"	"Coupler Detached"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
10/19/18	09:25:33 AM	17.153					
10/19/18	09:25:37 AM		Logged				
10/19/18	10:25:33 AM	18.105					
10/19/18	11:25:33 AM	18.461					
10/19/18	12:25:33 PM	18.343					
10/19/18	01:25:33 PM	11.078					
10/19/18	02:25:33 PM	6.357					
10/19/18	03:25:33 PM	6.509					
10/19/18	04:25:33 PM	6.712					
10/19/18	05:25:33 PM	6.712					
10/19/18	06:25:33 PM	6.914					
10/19/18	07:25:33 PM	7.192					
10/19/18	08:25:33 PM	7.091					
10/19/18	09:25:33 PM	6.940					
10/19/18	10:25:33 PM	7.192					
10/19/18	11:25:33 PM	7.343					
10/20/18	12:25:33 AM	7.167					
10/20/18	01:25:33 AM	6.560					
10/20/18	02:25:33 AM	6.712					
10/20/18	03:25:33 AM	7.142					
10/20/18	04:25:33 AM	7.519					
10/20/18	05:25:33 AM	7.670					
10/20/18	06:25:33 AM	7.569					
10/20/18	07:25:33 AM	7.569					
10/20/18	08:25:33 AM	7.318					
10/20/18	09:25:33 AM	8.916					
10/20/18	10:25:33 AM	8.295					
10/20/18	11:25:33 AM	11.005					
10/20/18	12:25:33 PM	10.614					
10/20/18	01:25:33 PM	12.968					
10/20/18	02:25:33 PM	6.737					
10/20/18	03:25:33 PM	6.382					
10/20/18	04:25:33 PM	6.382					
10/20/18	05:25:33 PM	6.357					
10/20/18	06:25:33 PM	6.509					
10/20/18	07:25:33 PM	6.763					
10/20/18	08:25:33 PM	6.737					
10/20/18	09:25:33 PM	6.763					
10/20/18	10:25:33 PM	6.864					
10/20/18	11:25:33 PM	6.636					
10/21/18	12:25:33 AM	6.535					
10/21/18	01:25:33 AM	6.458					
10/21/18	02:25:33 AM	5.949					
10/21/18	03:25:33 AM	6.051					
10/21/18	04:25:33 AM	6.077					
10/21/18	05:25:33 AM	6.077					
10/21/18	06:25:33 AM	6.051					
10/21/18	07:25:33 AM	6.408					
10/21/18	08:25:33 AM	6.535					
10/21/18	09:25:33 AM	9.015					
10/21/18	10:25:33 AM	9.188					
10/21/18	11:25:33 AM	9.188					
10/21/18	12:25:33 PM	9.089					
10/21/18	01:25:33 PM	9.139					
10/21/18	02:25:33 PM	8.543					
10/21/18	03:25:33 PM	8.295					
10/21/18	04:25:33 PM	8.618					
10/21/18	05:25:33 PM	6.230					
10/21/18	06:25:33 PM	6.153					
10/21/18	07:25:33 PM	6.153					
10/21/18	08:25:33 PM	6.204					
10/21/18	09:25:33 PM	5.719					
10/21/18	10:25:33 PM	5.719					
10/21/18	11:25:33 PM	5.949					
10/22/18	12:25:33 AM	6.535					
10/22/18	01:25:33 AM	6.661					
10/22/18	02:25:33 AM	6.306					
10/22/18	03:25:33 AM	6.102					
10/22/18	04:25:33 AM	6.051					
10/22/18	05:25:33 AM	6.128					
10/22/18	06:25:33 AM	6.077					
10/22/18	07:25:33 AM	6.102					
10/22/18	08:25:33 AM	6.153					
10/22/18	09:25:33 AM	5.796					
10/22/18	10:25:33 AM	5.821					
10/22/18	11:25:33 AM	6.306					
10/22/18	12:25:33 PM	6.077					
10/22/18	01:25:33 PM	5.872					
10/22/18	02:25:33 PM	5.437					
10/22/18	03:25:33 PM	6.864					
10/22/18	04:25:33 PM	6.813					
10/22/18	05:25:33 PM	6.763					
10/22/18	06:25:33 PM	6.813					
10/22/18	07:25:33 PM	6.889					
10/22/18	08:25:33 PM	6.914					
10/22/18	09:25:33 PM	6.864					
10/22/18	10:25:33 PM	6.839					
10/22/18	11:25:33 PM	6.839					
10/23/18	12:25:33 AM	6.813					
10/23/18	01:25:33 AM	7.015					
10/23/18	02:25:33 AM	7.041					
10/23/18	03:25:33 AM	7.142					
10/23/18	04:25:33 AM	7.041					
10/23/18	05:25:33 AM	6.940					
10/23/18	06:25:33 AM	6.965					
10/23/18	07:25:33 AM	7.066					
10/23/18	08:25:33 AM	7.091					
10/23/18	09:25:33 AM	7.066					
10/23/18	10:25:33 AM	8.220					
10/23/18	11:25:33 AM	8.319					
10/23/18	12:25:33 PM	9.903					
10/23/18	01:25:33 PM	9.805					
10/23/18	02:25:33 PM	9.756					
10/23/18	03:14:08 PM			Logged	Logged		
10/23/18	03:14:11 PM					Logged	Logged
