"Date"	"Time, GMT-08:00"	"Temp, °C"	"Coupler Detached"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
10/19/18	09:30:09 AM	17.368					
10/19/18	09:30:12 AM		Logged				
10/19/18	10:30:09 AM	18.176					
10/19/18	11:30:09 AM	18.699					
10/19/18	12:30:09 PM	13.642					
10/19/18	01:30:09 PM	11.273					
10/19/18	02:30:09 PM	10.222					
10/19/18	03:30:09 PM	6.255					
10/19/18	04:30:09 PM	6.357					
10/19/18	05:30:09 PM	6.408					
10/19/18	06:30:09 PM	6.611					
10/19/18	07:30:09 PM	6.661					
10/19/18	08:30:09 PM	6.712					
10/19/18	09:30:09 PM	6.737					
10/19/18	10:30:09 PM	6.509					
10/19/18	11:30:09 PM	6.408					
10/20/18	12:30:09 AM	6.408					
10/20/18	01:30:09 AM	6.408					
10/20/18	02:30:09 AM	6.306					
10/20/18	03:30:09 AM	6.306					
10/20/18	04:30:09 AM	6.331					
10/20/18	05:30:09 AM	6.509					
10/20/18	06:30:09 AM	6.737					
10/20/18	07:30:09 AM	6.965					
10/20/18	08:30:09 AM	7.066					
10/20/18	09:30:09 AM	6.458					
10/20/18	10:30:09 AM	6.408					
10/20/18	11:30:09 AM	7.770					
10/20/18	12:30:09 PM	12.195					
10/20/18	01:30:09 PM	6.661					
10/20/18	02:30:09 PM	6.763					
10/20/18	03:30:09 PM	6.484					
10/20/18	04:30:09 PM	6.509					
10/20/18	05:30:09 PM	6.636					
10/20/18	06:30:09 PM	6.636					
10/20/18	07:30:09 PM	6.560					
10/20/18	08:30:09 PM	6.560					
10/20/18	09:30:09 PM	6.940					
10/20/18	10:30:09 PM	7.293					
10/20/18	11:30:09 PM	6.611					
10/21/18	12:30:09 AM	6.077					
10/21/18	01:30:09 AM	6.077					
10/21/18	02:30:09 AM	6.255					
10/21/18	03:30:09 AM	6.585					
10/21/18	04:30:09 AM	6.357					
10/21/18	05:30:09 AM	6.306					
10/21/18	06:30:09 AM	6.306					
10/21/18	07:30:09 AM	6.433					
10/21/18	08:30:09 AM	9.064					
10/21/18	09:30:09 AM	9.089					
10/21/18	10:30:09 AM	9.064					
10/21/18	11:30:09 AM	8.965					
10/21/18	12:30:09 PM	8.866					
10/21/18	01:30:09 PM	8.866					
10/21/18	02:30:09 PM	8.519					
10/21/18	03:30:09 PM	8.369					
10/21/18	04:30:09 PM	8.245					
10/21/18	05:30:09 PM	7.041					
10/21/18	06:30:09 PM	7.091					
10/21/18	07:30:09 PM	7.091					
10/21/18	08:30:09 PM	7.066					
10/21/18	09:30:09 PM	6.864					
10/21/18	10:30:09 PM	6.914					
10/21/18	11:30:09 PM	6.889					
10/22/18	12:30:09 AM	6.889					
10/22/18	01:30:09 AM	6.914					
10/22/18	02:30:09 AM	6.940					
10/22/18	03:30:09 AM	6.990					
10/22/18	04:30:09 AM	7.167					
10/22/18	05:30:09 AM	7.242					
10/22/18	06:30:09 AM	7.167					
10/22/18	07:30:09 AM	7.041					
10/22/18	08:30:09 AM	7.066					
10/22/18	09:30:09 AM	7.091					
10/22/18	10:30:09 AM	7.116					
10/22/18	11:30:09 AM	7.041					
10/22/18	12:30:09 PM	6.153					
10/22/18	01:30:09 PM	6.230					
10/22/18	02:30:09 PM	7.419					
10/22/18	03:30:09 PM	7.419					
10/22/18	04:30:09 PM	7.419					
10/22/18	05:30:09 PM	7.419					
10/22/18	06:30:09 PM	7.419					
10/22/18	07:30:09 PM	7.419					
10/22/18	08:30:09 PM	7.419					
10/22/18	09:30:09 PM	7.419					
10/22/18	10:30:09 PM	7.444					
10/22/18	11:30:09 PM	7.419					
10/23/18	12:30:09 AM	7.419					
10/23/18	01:30:09 AM	7.419					
10/23/18	02:30:09 AM	7.419					
10/23/18	03:30:09 AM	7.419					
10/23/18	04:30:09 AM	7.419					
10/23/18	05:30:09 AM	7.419					
10/23/18	06:30:09 AM	7.419					
10/23/18	07:30:09 AM	7.419					
10/23/18	08:30:09 AM	7.242					
10/23/18	09:30:09 AM	7.695					
10/23/18	10:30:09 AM	8.245					
10/23/18	11:30:09 AM	8.494					
10/23/18	12:30:09 PM	9.780					
10/23/18	01:30:09 PM	9.682					
10/23/18	02:30:09 PM	9.706					
10/23/18	03:18:05 PM			Logged	Logged		
10/23/18	03:18:09 PM					Logged	Logged
