"Date"	"Time, GMT-08:00"	"Temp, °C"	"Coupler Detached"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
10/10/18	08:02:17 AM	18.057					
10/10/18	08:02:20 AM		Logged				
10/10/18	09:02:17 AM	17.415					
10/10/18	10:02:17 AM	17.772					
10/10/18	11:02:17 AM	18.247					
10/10/18	12:02:17 PM	18.771					
10/10/18	01:02:17 PM	7.469					
10/10/18	02:02:17 PM	6.813					
10/10/18	03:02:17 PM	6.914					
10/10/18	04:02:17 PM	6.914					
10/10/18	05:02:17 PM	6.813					
10/10/18	06:02:17 PM	6.687					
10/10/18	07:02:17 PM	6.763					
10/10/18	08:02:17 PM	6.661					
10/10/18	09:02:17 PM	6.763					
10/10/18	10:02:17 PM	6.788					
10/10/18	11:02:17 PM	6.864					
10/11/18	12:02:17 AM	6.889					
10/11/18	01:02:17 AM	6.914					
10/11/18	02:02:17 AM	6.914					
10/11/18	03:02:17 AM	6.940					
10/11/18	04:02:17 AM	6.914					
10/11/18	05:02:17 AM	6.914					
10/11/18	06:02:17 AM	6.788					
10/11/18	07:02:17 AM	6.737					
10/11/18	08:02:17 AM	6.737					
10/11/18	09:02:17 AM	6.763					
10/11/18	10:02:17 AM	6.788					
10/11/18	11:02:17 AM	5.385					
10/11/18	12:02:17 PM	5.411					
10/11/18	01:02:17 PM	5.924					
10/11/18	02:02:17 PM	6.636					
10/11/18	03:02:17 PM	6.712					
10/11/18	04:02:17 PM	6.204					
10/11/18	05:02:17 PM	6.000					
10/11/18	06:02:17 PM	5.898					
10/11/18	07:02:17 PM	5.898					
10/11/18	08:02:17 PM	5.924					
10/11/18	09:02:17 PM	5.949					
10/11/18	10:02:17 PM	6.102					
10/11/18	11:02:17 PM	6.509					
10/12/18	12:02:17 AM	6.687					
10/12/18	01:02:17 AM	6.712					
10/12/18	02:02:17 AM	6.763					
10/12/18	03:02:17 AM	6.763					
10/12/18	04:02:17 AM	6.204					
10/12/18	05:02:17 AM	6.026					
10/12/18	06:02:17 AM	6.000					
10/12/18	07:02:17 AM	5.949					
10/12/18	08:02:17 AM	5.642					
10/12/18	09:02:17 AM	5.205					
10/12/18	10:02:17 AM	5.282					
10/12/18	11:02:17 AM	5.745					
10/12/18	12:02:17 PM	7.066					
10/12/18	01:02:17 PM	7.519					
10/12/18	02:02:17 PM	7.594					
10/12/18	03:02:17 PM	7.745					
10/12/18	04:02:17 PM	7.519					
10/12/18	05:02:17 PM	7.670					
10/12/18	06:02:17 PM	7.318					
10/12/18	07:02:17 PM	7.318					
10/12/18	08:02:17 PM	7.393					
10/12/18	09:02:17 PM	7.318					
10/12/18	10:02:17 PM	7.293					
10/12/18	11:02:17 PM	7.015					
10/13/18	12:02:17 AM	7.142					
10/13/18	01:02:17 AM	7.469					
10/13/18	02:02:17 AM	7.041					
10/13/18	03:02:17 AM	6.737					
10/13/18	04:02:17 AM	7.167					
10/13/18	05:02:17 AM	6.712					
10/13/18	06:02:17 AM	6.914					
10/13/18	07:02:17 AM	6.940					
10/13/18	08:02:17 AM	7.343					
