"Date"	"Time, GMT-08:00"	"Temp, °C"	"Coupler Detached"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
07/03/18	10:32:14 AM	20.865					
07/03/18	10:32:18 AM		Logged				
07/03/18	11:32:14 AM	21.772					
07/03/18	12:32:14 PM	21.533					
07/03/18	01:32:14 PM	26.500					
07/03/18	02:32:14 PM	5.179					
07/03/18	03:32:14 PM	5.205					
07/03/18	04:32:14 PM	5.179					
07/03/18	05:32:14 PM	5.179					
07/03/18	06:32:14 PM	5.154					
07/03/18	07:32:14 PM	5.128					
07/03/18	08:32:14 PM	5.128					
07/03/18	09:32:14 PM	5.128					
07/03/18	10:32:14 PM	5.179					
07/03/18	11:32:14 PM	5.179					
07/04/18	12:32:14 AM	5.179					
07/04/18	01:32:14 AM	5.231					
07/04/18	02:32:14 AM	5.231					
07/04/18	03:32:14 AM	5.231					
07/04/18	04:32:14 AM	5.205					
07/04/18	05:32:14 AM	5.205					
07/04/18	06:32:14 AM	5.179					
07/04/18	07:32:14 AM	5.179					
07/04/18	08:32:14 AM	5.154					
07/04/18	09:32:14 AM	16.558					
07/04/18	10:32:14 AM	17.915					
07/04/18	11:32:14 AM	19.270					
07/04/18	12:32:14 PM	24.750					
07/04/18	01:32:14 PM	23.304					
07/04/18	02:32:14 PM	26.646					
07/04/18	03:32:14 PM	5.360					
07/04/18	04:32:14 PM	5.334					
07/04/18	05:32:14 PM	5.334					
07/04/18	06:32:14 PM	5.334					
07/04/18	07:32:14 PM	5.308					
07/04/18	08:32:14 PM	5.308					
07/04/18	09:32:14 PM	5.308					
07/04/18	10:32:14 PM	5.308					
07/04/18	11:32:14 PM	5.308					
07/05/18	12:32:14 AM	5.308					
07/05/18	01:32:14 AM	5.308					
07/05/18	02:32:14 AM	5.308					
07/05/18	03:32:14 AM	5.334					
07/05/18	04:32:14 AM	5.308					
07/05/18	05:32:14 AM	5.308					
07/05/18	06:32:14 AM	5.282					
07/05/18	07:32:14 AM	5.334					
07/05/18	08:32:14 AM	5.334					
07/05/18	09:32:14 AM	5.334					
07/05/18	10:32:14 AM	19.674					
07/05/18	11:32:14 AM	16.844					
07/05/18	12:32:14 PM	17.011					
07/05/18	01:32:14 PM	18.319					
07/05/18	02:32:14 PM	5.411					
07/05/18	03:32:14 PM	5.437					
07/05/18	04:32:14 PM	5.385					
07/05/18	05:32:14 PM	5.385					
07/05/18	06:32:14 PM	5.385					
07/05/18	07:32:14 PM	5.360					
07/05/18	08:32:14 PM	5.385					
07/05/18	09:32:14 PM	5.385					
07/05/18	10:32:14 PM	5.385					
07/05/18	11:32:14 PM	5.385					
07/06/18	12:32:14 AM	5.385					
07/06/18	01:32:14 AM	5.385					
07/06/18	02:32:14 AM	5.385					
07/06/18	03:32:14 AM	5.385					
07/06/18	04:32:14 AM	5.385					
07/06/18	05:32:14 AM	5.385					
07/06/18	06:32:14 AM	5.385					
07/06/18	07:32:14 AM	5.385					
07/06/18	08:32:14 AM	5.385					
07/06/18	09:32:14 AM	16.296					
07/06/18	10:32:14 AM	18.580					
07/06/18	11:32:14 AM	19.151					
07/06/18	12:32:14 PM	21.294					
07/06/18	01:32:14 PM	20.698					
07/06/18	02:32:14 PM	23.472					
07/06/18	03:32:14 PM	5.128					
07/06/18	04:32:14 PM	5.128					
07/06/18	05:32:14 PM	5.128					
07/06/18	06:32:14 PM	5.128					
07/06/18	07:32:14 PM	5.102					
07/06/18	08:32:14 PM	5.102					
07/06/18	09:32:14 PM	5.128					
07/06/18	10:32:14 PM	5.128					
07/06/18	11:32:14 PM	5.128					
07/07/18	12:32:14 AM	5.128					
07/07/18	01:32:14 AM	5.128					
07/07/18	02:32:14 AM	5.102					
07/07/18	03:32:14 AM	5.102					
07/07/18	04:32:14 AM	5.102					
07/07/18	05:32:14 AM	5.128					
07/07/18	06:32:14 AM	5.128					
07/07/18	07:32:14 AM	5.102					
07/07/18	08:32:14 AM	5.102					
07/07/18	09:32:14 AM	13.353					
07/07/18	10:32:14 AM	14.337					
07/07/18	11:32:14 AM	14.194					
07/07/18	12:32:14 PM	14.170					
07/07/18	01:32:14 PM	14.242					
07/07/18	02:32:14 PM	6.661					
07/07/18	03:32:14 PM	6.000					
07/07/18	04:32:14 PM	5.796					
07/07/18	05:32:14 PM	5.796					
07/07/18	06:32:14 PM	5.898					
07/07/18	07:32:14 PM	5.796					
07/07/18	08:32:14 PM	5.949					
07/07/18	09:32:14 PM	5.796					
07/07/18	10:32:14 PM	5.693					
07/07/18	11:32:14 PM	5.745					
