"Date"	"Time, GMT-08:00"	"Temp, °C"	"Coupler Detached"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
07/03/18	10:42:55 AM	21.366					
07/03/18	10:43:06 AM		Logged				
07/03/18	11:42:55 AM	17.772					
07/03/18	12:42:55 PM	19.579					
07/03/18	01:42:55 PM	19.294					
07/03/18	02:42:55 PM	5.205					
07/03/18	03:42:55 PM	5.154					
07/03/18	04:42:55 PM	5.360					
07/03/18	05:42:55 PM	5.334					
07/03/18	06:42:55 PM	5.360					
07/03/18	07:42:55 PM	5.437					
07/03/18	08:42:55 PM	5.360					
07/03/18	09:42:55 PM	5.257					
07/03/18	10:42:55 PM	5.334					
07/03/18	11:42:55 PM	5.205					
07/04/18	12:42:55 AM	5.205					
07/04/18	01:42:55 AM	5.205					
07/04/18	02:42:55 AM	5.154					
07/04/18	03:42:55 AM	5.154					
07/04/18	04:42:55 AM	5.257					
07/04/18	05:42:55 AM	5.179					
07/04/18	06:42:55 AM	5.231					
07/04/18	07:42:55 AM	5.334					
07/04/18	08:42:55 AM	5.282					
07/04/18	09:42:55 AM	5.257					
07/04/18	10:42:55 AM	13.305					
07/04/18	11:42:55 AM	15.533					
07/04/18	12:42:55 PM	16.487					
07/04/18	01:42:55 PM	19.484					
07/04/18	02:42:55 PM	5.385					
07/04/18	03:42:55 PM	5.385					
07/04/18	04:42:55 PM	5.360					
07/04/18	05:42:55 PM	5.360					
07/04/18	06:42:55 PM	5.360					
07/04/18	07:42:55 PM	5.385					
07/04/18	08:42:55 PM	5.385					
07/04/18	09:42:55 PM	5.308					
07/04/18	10:42:55 PM	5.334					
07/04/18	11:42:55 PM	5.334					
07/05/18	12:42:55 AM	5.308					
07/05/18	01:42:55 AM	5.334					
07/05/18	02:42:55 AM	5.360					
07/05/18	03:42:55 AM	5.334					
07/05/18	04:42:55 AM	5.334					
07/05/18	05:42:55 AM	5.360					
07/05/18	06:42:55 AM	5.334					
07/05/18	07:42:55 AM	5.360					
07/05/18	08:42:55 AM	5.360					
07/05/18	09:42:55 AM	15.652					
07/05/18	10:42:55 AM	16.225					
07/05/18	11:42:55 AM	16.749					
07/05/18	12:42:55 PM	17.272					
07/05/18	01:42:55 PM	18.842					
07/05/18	02:42:55 PM	27.850					
07/05/18	03:42:55 PM	5.385					
07/05/18	04:42:55 PM	5.385					
07/05/18	05:42:55 PM	5.411					
07/05/18	06:42:55 PM	5.385					
07/05/18	07:42:55 PM	5.385					
07/05/18	08:42:55 PM	5.385					
07/05/18	09:42:55 PM	5.385					
07/05/18	10:42:55 PM	5.360					
07/05/18	11:42:55 PM	5.385					
07/06/18	12:42:55 AM	5.437					
07/06/18	01:42:55 AM	5.411					
07/06/18	02:42:55 AM	5.437					
07/06/18	03:42:55 AM	5.437					
07/06/18	04:42:55 AM	5.385					
07/06/18	05:42:55 AM	5.360					
07/06/18	06:42:55 AM	5.360					
07/06/18	07:42:55 AM	5.360					
07/06/18	08:42:55 AM	5.360					
07/06/18	09:42:55 AM	5.360					
07/06/18	10:42:55 AM	17.130					
07/06/18	11:42:55 AM	16.344					
07/06/18	12:42:55 PM	16.463					
07/06/18	01:42:55 PM	20.126					
07/06/18	02:42:55 PM	5.076					
07/06/18	03:42:55 PM	5.076					
07/06/18	04:42:55 PM	5.050					
07/06/18	05:42:55 PM	5.076					
07/06/18	06:42:55 PM	5.102					
07/06/18	07:42:55 PM	5.128					
07/06/18	08:42:55 PM	5.076					
07/06/18	09:42:55 PM	5.050					
07/06/18	10:42:55 PM	5.154					
07/06/18	11:42:55 PM	5.154					
07/07/18	12:42:55 AM	5.128					
07/07/18	01:42:55 AM	5.154					
07/07/18	02:42:55 AM	5.154					
07/07/18	03:42:55 AM	5.154					
07/07/18	04:42:55 AM	5.154					
07/07/18	05:42:55 AM	5.154					
07/07/18	06:42:55 AM	5.154					
07/07/18	07:42:55 AM	5.128					
07/07/18	08:42:55 AM	14.098					
07/07/18	09:42:55 AM	14.242					
07/07/18	10:42:55 AM	13.930					
07/07/18	11:42:55 AM	14.290					
