"Date"	"Time, GMT-08:00"	"Temp, °C"	"Coupler Detached"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
08/08/18	01:52:14 PM	19.532					
08/08/18	01:52:25 PM		Logged				
08/08/18	02:52:14 PM	17.653					
08/08/18	03:52:14 PM	13.858					
08/08/18	04:52:14 PM	13.714					
08/08/18	05:52:14 PM	13.618					
08/08/18	06:52:14 PM	14.601					
08/08/18	07:52:14 PM	14.840					
08/08/18	08:52:14 PM	14.816					
08/08/18	09:52:14 PM	14.816					
08/08/18	10:52:14 PM	14.960					
08/08/18	11:52:14 PM	13.449					
08/09/18	12:52:14 AM	13.353					
08/09/18	01:52:14 AM	13.666					
08/09/18	02:52:14 AM	13.786					
08/09/18	03:52:14 AM	13.858					
08/09/18	04:52:14 AM	13.810					
08/09/18	05:52:14 AM	13.594					
08/09/18	06:52:14 AM	13.425					
08/09/18	07:52:14 AM	13.161					
08/09/18	08:52:14 AM	12.920					
08/09/18	09:52:14 AM	16.058					
08/09/18	10:52:14 AM	17.034					
08/09/18	11:52:14 AM	17.177					
08/09/18	12:52:14 PM	17.701					
08/09/18	01:52:14 PM	18.295					
08/09/18	02:52:14 PM	6.458					
08/09/18	03:52:14 PM	6.484					
08/09/18	04:52:14 PM	6.509					
08/09/18	05:52:14 PM	6.509					
08/09/18	06:52:14 PM	6.458					
08/09/18	07:52:14 PM	6.408					
08/09/18	08:52:14 PM	6.357					
08/09/18	09:52:14 PM	6.357					
08/09/18	10:52:14 PM	6.331					
08/09/18	11:52:14 PM	6.331					
08/10/18	12:52:14 AM	6.331					
08/10/18	01:52:14 AM	6.382					
08/10/18	02:52:14 AM	6.458					
08/10/18	03:52:14 AM	6.509					
08/10/18	04:52:14 AM	6.509					
08/10/18	05:52:14 AM	6.535					
08/10/18	06:52:14 AM	6.509					
08/10/18	07:52:14 AM	6.408					
08/10/18	08:52:14 AM	6.357					
08/10/18	09:52:14 AM	14.505					
08/10/18	10:52:14 AM	12.122					
08/10/18	11:52:14 AM	13.642					
08/10/18	12:52:14 PM	13.473					
08/10/18	01:52:14 PM	6.458					
08/10/18	02:52:14 PM	6.357					
08/10/18	03:52:14 PM	6.382					
08/10/18	04:52:14 PM	6.382					
08/10/18	05:52:14 PM	6.408					
08/10/18	06:52:14 PM	6.408					
08/10/18	07:52:14 PM	6.408					
08/10/18	08:52:14 PM	6.408					
08/10/18	09:52:14 PM	6.458					
08/10/18	10:52:14 PM	6.661					
08/10/18	11:52:14 PM	6.535					
08/11/18	12:52:14 AM	6.560					
08/11/18	01:52:14 AM	6.408					
08/11/18	02:52:14 AM	6.408					
08/11/18	03:52:14 AM	6.408					
08/11/18	04:52:14 AM	6.408					
08/11/18	05:52:14 AM	6.357					
08/11/18	06:52:14 AM	6.331					
08/11/18	07:52:14 AM	6.382					
08/11/18	08:52:14 AM	13.449					
08/11/18	09:52:14 AM	14.457					
08/11/18	10:52:14 AM	14.984					
08/11/18	11:52:14 AM	16.296					
08/11/18	12:52:14 PM	17.463					
08/11/18	01:52:14 PM	17.058					
08/11/18	02:52:14 PM	20.412					
08/11/18	03:52:14 PM	5.668					
08/11/18	04:52:14 PM	5.642					
08/11/18	05:52:14 PM	5.642					
08/11/18	06:52:14 PM	5.642					
08/11/18	07:52:14 PM	5.642					
08/11/18	08:52:14 PM	5.642					
08/11/18	09:52:14 PM	5.668					
08/11/18	10:52:14 PM	5.668					
08/11/18	11:52:14 PM	5.668					
08/12/18	12:52:14 AM	5.668					
08/12/18	01:52:14 AM	5.668					
08/12/18	02:52:14 AM	5.668					
08/12/18	03:52:14 AM	5.668					
08/12/18	04:52:14 AM	5.642					
08/12/18	05:52:14 AM	5.642					
08/12/18	06:52:14 AM	5.642					
08/12/18	07:52:14 AM	5.642					
08/12/18	08:52:14 AM	5.668					
08/12/18	09:52:14 AM	5.668					
08/12/18	10:52:14 AM	12.630					
08/12/18	11:52:14 AM	12.871					
08/12/18	12:52:14 PM	12.799					
08/12/18	01:52:14 PM	14.385					
08/12/18	02:52:14 PM	5.462					
08/12/18	03:52:14 PM	5.462					
08/12/18	04:52:14 PM	5.462					
08/12/18	05:52:14 PM	5.462					
08/12/18	06:52:14 PM	5.462					
08/12/18	07:52:14 PM	5.462					
08/12/18	08:52:14 PM	5.462					
08/12/18	09:52:14 PM	5.462					
08/12/18	10:52:14 PM	5.462					
08/12/18	11:52:14 PM	5.437					
08/13/18	12:52:14 AM	5.437					
08/13/18	01:52:14 AM	5.462					
08/13/18	02:52:14 AM	5.462					
08/13/18	03:52:14 AM	5.462					
08/13/18	04:52:14 AM	5.462					
08/13/18	05:52:14 AM	5.462					
08/13/18	06:52:14 AM	5.462					
08/13/18	07:52:14 AM	5.462					
08/13/18	08:52:14 AM	13.594					
08/13/18	09:52:14 AM	13.449					
08/13/18	10:52:14 AM	13.112					
08/13/18	11:52:14 AM	13.064					
08/13/18	12:52:14 PM	13.161					
08/13/18	01:52:14 PM	13.161					
08/13/18	02:52:14 PM	14.050					
08/13/18	03:52:14 PM	7.066					
08/13/18	04:52:14 PM	7.945					
08/13/18	05:52:14 PM	8.319					
08/13/18	06:52:14 PM	7.041					
08/13/18	07:52:14 PM	7.619					
08/13/18	08:52:14 PM	8.220					
08/13/18	09:52:14 PM	8.568					
08/13/18	10:52:14 PM	8.444					
08/13/18	11:52:14 PM	7.268					
08/14/18	12:52:14 AM	7.091					
08/14/18	01:52:14 AM	7.116					
08/14/18	02:52:14 AM	7.419					
08/14/18	03:52:14 AM	8.543					
08/14/18	04:52:14 AM	8.841					
08/14/18	05:52:14 AM	7.217					
08/14/18	06:52:14 AM	7.770					
08/14/18	07:52:14 AM	8.270					
08/14/18	08:52:14 AM	8.469					
08/14/18	09:52:14 AM	8.668					
08/14/18	10:52:14 AM	14.170					
08/14/18	11:52:14 AM	15.055					
08/14/18	12:52:14 PM	16.368					
08/14/18	01:05:59 PM			Logged	Logged		
08/14/18	01:06:06 PM					Logged	Logged
