"Date"	"Time, GMT-08:00"	"Temp, °C"	"Coupler Detached"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
07/15/18	10:55:20 AM	19.508					
07/15/18	10:55:26 AM		Logged				
07/15/18	11:55:20 AM	19.651					
07/15/18	12:55:20 PM	19.246					
07/15/18	01:55:20 PM	13.882					
07/15/18	02:55:20 PM	13.690					
07/15/18	03:55:20 PM	5.642					
07/15/18	04:55:20 PM	5.668					
07/15/18	05:55:20 PM	5.642					
07/15/18	06:55:20 PM	5.539					
07/15/18	07:55:20 PM	5.514					
07/15/18	08:55:20 PM	5.514					
07/15/18	09:55:20 PM	5.591					
07/15/18	10:55:20 PM	6.204					
07/15/18	11:55:20 PM	5.668					
07/16/18	12:55:20 AM	5.668					
07/16/18	01:55:20 AM	5.616					
07/16/18	02:55:20 AM	5.616					
07/16/18	03:55:20 AM	5.616					
07/16/18	04:55:20 AM	5.591					
07/16/18	05:55:20 AM	5.693					
07/16/18	06:55:20 AM	5.693					
07/16/18	07:55:20 AM	5.591					
07/16/18	08:55:20 AM	5.591					
07/16/18	09:55:20 AM	5.745					
07/16/18	10:55:20 AM	6.357					
07/16/18	11:55:20 AM	13.882					
07/16/18	12:55:20 PM	17.391					
07/16/18	01:55:20 PM	5.642					
07/16/18	02:55:20 PM	5.745					
07/16/18	03:55:20 PM	5.770					
07/16/18	04:55:20 PM	5.668					
07/16/18	05:55:20 PM	5.719					
07/16/18	06:55:20 PM	5.693					
07/16/18	07:55:20 PM	5.693					
07/16/18	08:55:20 PM	5.719					
07/16/18	09:55:20 PM	5.719					
07/16/18	10:55:20 PM	5.770					
07/16/18	11:55:20 PM	6.000					
07/17/18	12:55:20 AM	5.796					
07/17/18	01:55:20 AM	5.719					
07/17/18	02:55:20 AM	5.745					
07/17/18	03:55:20 AM	5.796					
07/17/18	04:55:20 AM	5.745					
07/17/18	05:55:20 AM	5.745					
07/17/18	06:55:20 AM	5.796					
07/17/18	07:55:20 AM	10.858					
07/17/18	08:55:20 AM	10.858					
07/17/18	09:55:20 AM	11.005					
07/17/18	10:55:20 AM	11.273					
07/17/18	11:55:20 AM	11.734					
07/17/18	12:55:20 PM	11.370					
07/17/18	01:55:20 PM	11.613					
07/17/18	02:55:20 PM	11.710					
07/17/18	03:55:20 PM	12.074					
07/17/18	04:55:20 PM	11.953					
07/17/18	05:55:20 PM	12.050					
07/17/18	06:55:20 PM	11.807					
07/17/18	07:55:20 PM	12.050					
07/17/18	08:55:20 PM	11.880					
07/17/18	09:55:20 PM	12.098					
07/17/18	10:55:20 PM	11.953					
07/17/18	11:55:20 PM	11.273					
07/18/18	12:55:20 AM	10.858					
07/18/18	01:55:20 AM	10.467					
07/18/18	02:55:20 AM	10.222					
07/18/18	03:55:20 AM	10.149					
07/18/18	04:55:20 AM	10.124					
07/18/18	05:55:20 AM	10.198					
07/18/18	06:55:20 AM	10.590					
07/18/18	07:55:20 AM	11.175					
07/18/18	08:55:20 AM	11.540					
07/18/18	09:55:20 AM	11.443					
07/18/18	10:55:20 AM	11.783					
07/18/18	11:55:20 AM	11.662					
07/18/18	12:55:20 PM	11.856					
07/18/18	01:55:20 PM	12.703					
07/18/18	02:55:20 PM	14.577					
07/18/18	03:55:20 PM	5.539					
07/18/18	04:55:20 PM	5.514					
07/18/18	05:55:20 PM	5.514					
07/18/18	06:55:20 PM	5.514					
07/18/18	07:55:20 PM	5.488					
07/18/18	08:55:20 PM	5.514					
07/18/18	09:55:20 PM	5.514					
07/18/18	10:55:20 PM	5.514					
07/18/18	11:55:20 PM	5.514					
07/19/18	12:55:20 AM	5.539					
07/19/18	01:55:20 AM	5.514					
07/19/18	02:55:20 AM	5.539					
07/19/18	03:55:20 AM	5.539					
07/19/18	04:55:20 AM	5.539					
07/19/18	05:55:20 AM	5.514					
07/19/18	06:55:20 AM	5.514					
07/19/18	07:55:20 AM	5.514					
07/19/18	08:55:20 AM	5.539					
07/19/18	09:55:20 AM	5.539					
07/19/18	10:55:20 AM	5.539					
07/19/18	11:55:20 AM	5.539					
