"Date"	"Time, GMT-08:00"	"Temp, °C"	"Coupler Detached"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
07/15/18	11:07:00 AM	18.675					
07/15/18	11:07:03 AM		Logged				
07/15/18	12:07:00 PM	20.293					
07/15/18	01:07:00 PM	15.270					
07/15/18	02:07:00 PM	6.255					
07/15/18	03:07:00 PM	5.975					
07/15/18	04:07:00 PM	6.306					
07/15/18	05:07:00 PM	6.051					
07/15/18	06:07:00 PM	5.898					
07/15/18	07:07:00 PM	6.000					
07/15/18	08:07:00 PM	6.102					
07/15/18	09:07:00 PM	5.975					
07/15/18	10:07:00 PM	6.026					
07/15/18	11:07:00 PM	6.026					
07/16/18	12:07:00 AM	6.128					
07/16/18	01:07:00 AM	6.230					
07/16/18	02:07:00 AM	6.357					
07/16/18	03:07:00 AM	6.357					
07/16/18	04:07:00 AM	6.382					
07/16/18	05:07:00 AM	6.000					
07/16/18	06:07:00 AM	6.051					
07/16/18	07:07:00 AM	6.051					
07/16/18	08:07:00 AM	6.051					
07/16/18	09:07:00 AM	11.637					
07/16/18	10:07:00 AM	11.783					
07/16/18	11:07:00 AM	11.929					
07/16/18	12:07:00 PM	12.775					
07/16/18	01:07:00 PM	13.257					
07/16/18	02:07:00 PM	13.281					
07/16/18	03:07:00 PM	5.514					
07/16/18	04:07:00 PM	5.514					
07/16/18	05:07:00 PM	5.514					
07/16/18	06:07:00 PM	5.488					
07/16/18	07:07:00 PM	5.488					
07/16/18	08:07:00 PM	5.488					
07/16/18	09:07:00 PM	5.514					
07/16/18	10:07:00 PM	5.539					
07/16/18	11:07:00 PM	5.565					
07/17/18	12:07:00 AM	5.565					
07/17/18	01:07:00 AM	5.565					
07/17/18	02:07:00 AM	5.565					
07/17/18	03:07:00 AM	5.565					
07/17/18	04:07:00 AM	5.565					
07/17/18	05:07:00 AM	5.565					
07/17/18	06:07:00 AM	5.565					
07/17/18	07:07:00 AM	5.539					
07/17/18	08:07:00 AM	5.539					
07/17/18	09:07:00 AM	5.565					
07/17/18	10:07:00 AM	11.297					
07/17/18	11:07:00 AM	11.394					
07/17/18	12:07:00 PM	11.807					
07/17/18	01:07:00 PM	11.370					
07/17/18	02:07:00 PM	11.589					
07/17/18	03:07:00 PM	11.904					
07/17/18	04:07:00 PM	12.243					
07/17/18	05:07:00 PM	12.001					
07/17/18	06:07:00 PM	12.195					
07/17/18	07:07:00 PM	12.147					
07/17/18	08:07:00 PM	12.098					
07/17/18	09:07:00 PM	11.832					
07/17/18	10:07:00 PM	12.050					
07/17/18	11:07:00 PM	11.832					
07/18/18	12:07:00 AM	11.127					
07/18/18	01:07:00 AM	10.418					
07/18/18	02:07:00 AM	10.173					
07/18/18	03:07:00 AM	10.026					
07/18/18	04:07:00 AM	10.026					
07/18/18	05:07:00 AM	10.001					
07/18/18	06:07:00 AM	10.173					
