"Date"	"Time"	"Temp"
"07/03/18"	NA	"11:32:54 AM"
"07/03/18"	NA	"12:32:54 PM"
"07/03/18"	NA	"02:32:54 PM"
"07/03/18"	NA	"03:32:54 PM"
"07/03/18"	NA	"04:32:54 PM"
"07/03/18"	NA	"05:32:54 PM"
"07/03/18"	NA	"06:32:54 PM"
"07/03/18"	NA	"07:32:54 PM"
"07/03/18"	NA	"08:32:54 PM"
"07/03/18"	NA	"09:32:54 PM"
"07/03/18"	NA	"10:32:54 PM"
"07/03/18"	NA	"11:32:54 PM"
"07/04/18"	NA	"12:32:54 AM"
"07/04/18"	NA	"01:32:54 AM"
"07/04/18"	NA	"02:32:54 AM"
"07/04/18"	NA	"03:32:54 AM"
"07/04/18"	NA	"04:32:54 AM"
"07/04/18"	NA	"05:32:54 AM"
"07/04/18"	NA	"06:32:54 AM"
"07/04/18"	NA	"07:32:54 AM"
"07/04/18"	NA	"08:32:54 AM"
"07/04/18"	NA	"09:32:54 AM"
"07/04/18"	NA	"10:32:54 AM"
"07/04/18"	NA	"11:32:54 AM"
"07/04/18"	NA	"12:32:54 PM"
"07/04/18"	NA	"01:32:54 PM"
"07/04/18"	NA	"02:32:54 PM"
"07/04/18"	NA	"03:32:54 PM"
"07/04/18"	NA	"04:32:54 PM"
"07/04/18"	NA	"05:32:54 PM"
"07/04/18"	NA	"06:32:54 PM"
"07/04/18"	NA	"07:32:54 PM"
"07/04/18"	NA	"08:32:54 PM"
"07/04/18"	NA	"09:32:54 PM"
"07/04/18"	NA	"10:32:54 PM"
"07/04/18"	NA	"11:32:54 PM"
"07/05/18"	NA	"12:32:54 AM"
"07/05/18"	NA	"01:32:54 AM"
"07/05/18"	NA	"02:32:54 AM"
"07/05/18"	NA	"03:32:54 AM"
"07/05/18"	NA	"04:32:54 AM"
"07/05/18"	NA	"05:32:54 AM"
"07/05/18"	NA	"06:32:54 AM"
"07/05/18"	NA	"07:32:54 AM"
"07/05/18"	NA	"08:32:54 AM"
"07/05/18"	NA	"09:32:54 AM"
"07/05/18"	NA	"10:32:54 AM"
"07/05/18"	NA	"11:32:54 AM"
"07/05/18"	NA	"12:32:54 PM"
"07/05/18"	NA	"01:32:54 PM"
"07/05/18"	NA	"02:32:54 PM"
"07/05/18"	NA	"03:32:54 PM"
"07/05/18"	NA	"04:32:54 PM"
"07/05/18"	NA	"05:32:54 PM"
"07/05/18"	NA	"06:32:54 PM"
"07/05/18"	NA	"07:32:54 PM"
"07/05/18"	NA	"08:32:54 PM"
"07/05/18"	NA	"09:32:54 PM"
"07/05/18"	NA	"10:32:54 PM"
"07/05/18"	NA	"11:32:54 PM"
"07/06/18"	NA	"12:32:54 AM"
"07/06/18"	NA	"01:32:54 AM"
"07/06/18"	NA	"02:32:54 AM"
"07/06/18"	NA	"03:32:54 AM"
"07/06/18"	NA	"04:32:54 AM"
"07/06/18"	NA	"05:32:54 AM"
"07/06/18"	NA	"06:32:54 AM"
"07/06/18"	NA	"07:32:54 AM"
"07/06/18"	NA	"08:32:54 AM"
"07/06/18"	NA	"09:32:54 AM"
"07/06/18"	NA	"10:32:54 AM"
"07/06/18"	NA	"11:32:54 AM"
"07/06/18"	NA	"12:32:54 PM"
"07/06/18"	NA	"01:32:54 PM"
"07/06/18"	NA	"02:32:54 PM"
"07/06/18"	NA	"03:32:54 PM"
"07/06/18"	NA	"04:32:54 PM"
"07/06/18"	NA	"05:32:54 PM"
"07/06/18"	NA	"06:32:54 PM"
"07/06/18"	NA	"07:32:54 PM"
"07/06/18"	NA	"08:32:54 PM"
"07/06/18"	NA	"09:32:54 PM"
"07/06/18"	NA	"10:32:54 PM"
"07/06/18"	NA	"11:32:54 PM"
"07/07/18"	NA	"12:32:54 AM"
"07/07/18"	NA	"01:32:54 AM"
"07/07/18"	NA	"02:32:54 AM"
"07/07/18"	NA	"03:32:54 AM"
"07/07/18"	NA	"04:32:54 AM"
"07/07/18"	NA	"05:32:54 AM"
"07/07/18"	NA	"06:32:54 AM"
"07/07/18"	NA	"07:32:54 AM"
"07/07/18"	NA	"08:32:54 AM"
"07/07/18"	NA	"09:32:54 AM"
"07/07/18"	NA	"10:32:54 AM"
"07/07/18"	NA	"11:32:54 AM"
"07/07/18"	NA	"12:32:54 PM"
"07/07/18"	NA	"01:32:54 PM"
"07/07/18"	NA	"02:32:54 PM"
"07/07/18"	NA	"03:32:54 PM"
"07/07/18"	NA	"04:32:54 PM"
"07/07/18"	NA	"05:32:54 PM"
"07/07/18"	NA	"06:32:54 PM"
"07/07/18"	NA	"07:32:54 PM"
"07/07/18"	NA	"08:32:54 PM"
"07/07/18"	NA	"09:32:54 PM"
"07/07/18"	NA	"10:32:54 PM"
"07/07/18"	NA	"11:32:54 PM"
"07/08/18"	NA	"12:32:54 AM"
"07/08/18"	NA	"01:32:54 AM"
"07/08/18"	NA	"02:32:54 AM"
"07/08/18"	NA	"03:32:54 AM"
"07/08/18"	NA	"04:32:54 AM"
"07/08/18"	NA	"05:32:54 AM"
"07/08/18"	NA	"06:32:54 AM"
"07/08/18"	NA	"07:32:54 AM"
"07/08/18"	NA	"08:32:54 AM"
"07/08/18"	NA	"09:32:54 AM"
"07/08/18"	NA	"10:32:54 AM"
"07/08/18"	NA	"11:32:54 AM"
"07/08/18"	NA	"12:32:54 PM"
"07/08/18"	NA	"01:32:54 PM"
"07/08/18"	NA	"02:32:54 PM"
"07/08/18"	NA	"03:32:54 PM"
"07/08/18"	NA	"04:32:54 PM"
"07/08/18"	NA	"05:32:54 PM"
"07/08/18"	NA	"06:32:54 PM"
"07/08/18"	NA	"07:32:54 PM"
"07/08/18"	NA	"08:32:54 PM"
"07/08/18"	NA	"09:32:54 PM"
"07/08/18"	NA	"10:32:54 PM"
"07/08/18"	NA	"11:32:54 PM"
"07/09/18"	NA	"12:32:54 AM"
"07/09/18"	NA	"01:32:54 AM"
"07/09/18"	NA	"02:32:54 AM"
"07/09/18"	NA	"03:32:54 AM"
"07/09/18"	NA	"04:32:54 AM"
"07/09/18"	NA	"05:32:54 AM"
"07/09/18"	NA	"06:32:54 AM"
"07/09/18"	NA	"07:32:54 AM"
"07/09/18"	NA	"08:32:54 AM"
"07/09/18"	NA	"09:32:54 AM"
"07/09/18"	NA	"10:32:54 AM"
"07/09/18"	NA	"11:32:54 AM"
"07/09/18"	NA	"12:32:54 PM"
"07/09/18"	NA	"01:32:54 PM"
"07/09/18"	NA	"02:32:54 PM"
"07/09/18"	NA	"03:32:54 PM"
"07/09/18"	NA	"04:32:54 PM"
"07/09/18"	NA	"05:32:54 PM"
"07/09/18"	NA	"06:32:54 PM"
"07/09/18"	NA	"07:32:54 PM"
"07/09/18"	NA	"08:32:54 PM"
"07/09/18"	NA	"09:32:54 PM"
"07/09/18"	NA	"10:32:54 PM"
"07/09/18"	NA	"11:32:54 PM"
"07/10/18"	NA	"12:32:54 AM"
"07/10/18"	NA	"01:32:54 AM"
"07/10/18"	NA	"02:32:54 AM"
"07/10/18"	NA	"03:32:54 AM"
"07/10/18"	NA	"04:32:54 AM"
"07/10/18"	NA	"05:32:54 AM"
"07/10/18"	NA	"06:32:54 AM"
"07/10/18"	NA	"07:32:54 AM"
"07/10/18"	NA	"08:32:54 AM"
"07/10/18"	NA	"09:32:54 AM"
"07/10/18"	NA	"10:32:54 AM"
"07/10/18"	NA	"11:32:54 AM"
"07/10/18"	NA	"12:32:54 PM"
"07/10/18"	NA	"01:32:54 PM"
"07/10/18"	NA	"02:32:54 PM"
"07/10/18"	NA	"03:32:54 PM"
"07/10/18"	NA	"04:32:54 PM"
"07/10/18"	NA	"05:32:54 PM"
"07/10/18"	NA	"06:32:54 PM"
"07/10/18"	NA	"07:32:54 PM"
"07/10/18"	NA	"08:32:54 PM"
"07/10/18"	NA	"09:32:54 PM"
"07/10/18"	NA	"10:32:54 PM"
"07/10/18"	NA	"11:32:54 PM"
"07/11/18"	NA	"12:32:54 AM"
"07/11/18"	NA	"01:32:54 AM"
"07/11/18"	NA	"02:32:54 AM"
"07/11/18"	NA	"03:32:54 AM"
"07/11/18"	NA	"04:32:54 AM"
"07/11/18"	NA	"05:32:54 AM"
"07/11/18"	NA	"06:32:54 AM"
"07/11/18"	NA	"07:32:54 AM"
"07/11/18"	NA	"08:32:54 AM"
"07/11/18"	NA	"09:32:54 AM"
"07/11/18"	NA	"10:32:54 AM"
"07/11/18"	NA	"11:32:54 AM"
"07/11/18"	NA	"12:32:54 PM"
"07/11/18"	NA	"01:32:54 PM"
"07/11/18"	NA	"02:32:54 PM"
"07/11/18"	NA	"03:32:54 PM"
"07/11/18"	NA	"04:32:54 PM"
"07/11/18"	NA	"05:32:54 PM"
"07/11/18"	NA	"06:32:54 PM"
"07/11/18"	NA	"07:32:54 PM"
"07/11/18"	NA	"08:32:54 PM"
"07/11/18"	NA	"09:32:54 PM"
"07/11/18"	NA	"10:32:54 PM"
"07/11/18"	NA	"11:32:54 PM"
"07/12/18"	NA	"12:32:54 AM"
"07/12/18"	NA	"01:32:54 AM"
"07/12/18"	NA	"02:32:54 AM"
"07/12/18"	NA	"03:32:54 AM"
"07/12/18"	NA	"04:32:54 AM"
"07/12/18"	NA	"05:32:54 AM"
"07/12/18"	NA	"06:32:54 AM"
"07/12/18"	NA	"07:32:54 AM"
"07/12/18"	NA	"08:32:54 AM"
"07/12/18"	NA	"09:32:54 AM"
"07/12/18"	NA	"10:32:54 AM"
