"Date"	"Time, GMT-08:00"	"Temp, °C"	"Bad Battery"	"Coupler Detached"	"Good Battery"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
07/15/18	11:05:07 AM	18.937	Logged						
07/15/18	11:05:10 AM			Logged					
07/15/18	12:05:07 PM	20.531							
07/15/18	01:05:07 PM	15.079							
07/15/18	02:05:07 PM	5.821			Logged				
07/15/18	03:05:07 PM	5.770							
07/15/18	04:05:07 PM	5.719							
07/15/18	05:05:07 PM	5.693							
07/15/18	06:05:07 PM	5.770							
07/15/18	07:05:07 PM	5.770							
07/15/18	08:05:07 PM	5.719							
07/15/18	09:05:07 PM	5.719							
07/15/18	10:05:07 PM	5.745							
07/15/18	11:05:07 PM	5.821							
07/16/18	12:05:07 AM	5.949							
07/16/18	01:05:07 AM	5.847							
07/16/18	02:05:07 AM	5.745							
07/16/18	03:05:07 AM	5.770							
07/16/18	04:05:07 AM	5.745							
07/16/18	05:05:07 AM	5.770							
07/16/18	06:05:07 AM	5.821							
07/16/18	07:05:07 AM	5.898							
07/16/18	08:05:07 AM	9.213							
07/16/18	09:05:07 AM	11.224							
07/16/18	10:05:07 AM	11.565							
07/16/18	11:05:07 AM	11.759							
07/16/18	12:05:07 PM	12.001							
07/16/18	01:05:07 PM	12.461							
07/16/18	02:05:07 PM	12.509							
07/16/18	03:05:07 PM	6.026							
07/16/18	04:05:07 PM	6.026							
07/16/18	05:05:07 PM	6.281							
07/16/18	06:05:07 PM	6.026							
07/16/18	07:05:07 PM	5.924							
07/16/18	08:05:07 PM	5.872							
07/16/18	09:05:07 PM	5.872							
07/16/18	10:05:07 PM	5.898							
07/16/18	11:05:07 PM	5.668							
07/17/18	12:05:07 AM	6.000							
07/17/18	01:05:07 AM	6.128							
07/17/18	02:05:07 AM	6.179							
07/17/18	03:05:07 AM	6.281							
07/17/18	04:05:07 AM	6.230							
07/17/18	05:05:07 AM	6.458							
07/17/18	06:05:07 AM	6.458							
07/17/18	07:05:07 AM	6.408							
07/17/18	08:05:07 AM	6.331							
07/17/18	09:05:07 AM	6.102							
07/17/18	10:05:07 AM	5.847							
07/17/18	11:05:07 AM	14.146							
07/17/18	12:05:07 PM	14.888							
07/17/18	01:05:07 PM	14.266							
07/17/18	02:05:07 PM	14.768							
07/17/18	03:05:07 PM	16.010							
07/17/18	04:05:07 PM	15.796							
07/17/18	05:05:07 PM	14.840							
07/17/18	06:05:07 PM	14.721							
07/17/18	07:05:07 PM	14.290							
07/17/18	08:05:07 PM	13.810							
