"Date"	"Time, GMT-08:00"	"Temp, °C"	"Coupler Detached"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
10/19/18	09:20:54 AM	18.366					
10/19/18	09:21:13 AM		Logged				
10/19/18	10:20:54 AM	17.558					
10/19/18	11:20:54 AM	17.772					
10/19/18	12:20:54 PM	17.891					
10/19/18	01:20:54 PM	11.127					
10/19/18	02:20:54 PM	7.116					
10/19/18	03:20:54 PM	7.167					
10/19/18	04:20:54 PM	7.192					
10/19/18	05:20:54 PM	7.192					
10/19/18	06:20:54 PM	7.619					
10/19/18	07:20:54 PM	7.670					
10/19/18	08:20:54 PM	7.268					
10/19/18	09:20:54 PM	7.116					
10/19/18	10:20:54 PM	7.217					
10/19/18	11:20:54 PM	6.889					
10/20/18	12:20:54 AM	7.519					
10/20/18	01:20:54 AM	7.393					
10/20/18	02:20:54 AM	7.519					
10/20/18	03:20:54 AM	7.569					
10/20/18	04:20:54 AM	7.645					
10/20/18	05:20:54 AM	7.670					
10/20/18	06:20:54 AM	7.695					
10/20/18	07:20:54 AM	7.695					
10/20/18	08:20:54 AM	8.020					
10/20/18	09:20:54 AM	8.095					
10/20/18	10:20:54 AM	8.195					
10/20/18	11:20:54 AM	8.618					
10/20/18	12:20:54 PM	8.817					
10/20/18	01:20:54 PM	9.238					
10/20/18	02:20:54 PM	11.880					
10/20/18	03:20:54 PM	7.142					
10/20/18	04:20:54 PM	6.965					
10/20/18	05:20:54 PM	6.611					
10/20/18	06:20:54 PM	7.268					
10/20/18	07:20:54 PM	7.720					
10/20/18	08:20:54 PM	6.965					
10/20/18	09:20:54 PM	7.066					
10/20/18	10:20:54 PM	7.419					
10/20/18	11:20:54 PM	7.167					
10/21/18	12:20:54 AM	6.737					
10/21/18	01:20:54 AM	6.813					
10/21/18	02:20:54 AM	6.712					
10/21/18	03:20:54 AM	6.636					
10/21/18	04:20:54 AM	6.153					
10/21/18	05:20:54 AM	6.153					
10/21/18	06:20:54 AM	6.204					
10/21/18	07:20:54 AM	6.408					
10/21/18	08:20:54 AM	6.661					
10/21/18	09:20:54 AM	7.167					
10/21/18	10:20:54 AM	7.645					
10/21/18	11:20:54 AM	8.941					
10/21/18	12:20:54 PM	8.817					
10/21/18	01:20:54 PM	8.792					
10/21/18	02:20:54 PM	8.469					
10/21/18	03:20:54 PM	8.593					
10/21/18	04:20:54 PM	6.306					
10/21/18	05:20:54 PM	6.306					
10/21/18	06:20:54 PM	6.331					
10/21/18	07:20:54 PM	6.281					
10/21/18	08:20:54 PM	5.924					
10/21/18	09:20:54 PM	5.847					
10/21/18	10:20:54 PM	5.924					
10/21/18	11:20:54 PM	5.847					
10/22/18	12:20:54 AM	5.872					
10/22/18	01:20:54 AM	5.898					
10/22/18	02:20:54 AM	6.179					
10/22/18	03:20:54 AM	6.077					
10/22/18	04:20:54 AM	6.230					
10/22/18	05:20:54 AM	6.230					
10/22/18	06:20:54 AM	6.306					
10/22/18	07:20:54 AM	6.230					
10/22/18	08:20:54 AM	6.000					
10/22/18	09:20:54 AM	6.306					
10/22/18	10:20:54 AM	6.255					
10/22/18	11:20:54 AM	6.204					
10/22/18	12:20:54 PM	6.077					
10/22/18	01:20:54 PM	5.770					
10/22/18	02:20:54 PM	5.385					
10/22/18	03:20:54 PM	6.813					
10/22/18	04:20:54 PM	7.820					
10/22/18	05:20:54 PM	7.820					
10/22/18	06:20:54 PM	7.745					
10/22/18	07:20:54 PM	7.695					
10/22/18	08:20:54 PM	7.619					
10/22/18	09:20:54 PM	7.795					
10/22/18	10:20:54 PM	7.820					
10/22/18	11:20:54 PM	7.845					
10/23/18	12:20:54 AM	7.770					
10/23/18	01:20:54 AM	7.745					
10/23/18	02:20:54 AM	7.745					
10/23/18	03:20:54 AM	7.795					
10/23/18	04:20:54 AM	7.795					
10/23/18	05:20:54 AM	7.795					
10/23/18	06:20:54 AM	7.845					
10/23/18	07:20:54 AM	7.845					
10/23/18	08:20:54 AM	7.770					
10/23/18	09:20:54 AM	7.820					
10/23/18	10:20:54 AM	7.845					
10/23/18	11:20:54 AM	8.020					
10/23/18	12:20:54 PM	10.149					
10/23/18	01:20:54 PM	9.583					
10/23/18	02:20:54 PM	9.731					
10/23/18	03:12:04 PM			Logged	Logged		
10/23/18	03:12:08 PM					Logged	Logged
