DateTime 	Temp 	Junk 	Junk 	Junk 	Junk 	Junk
10/19/18	09:21:36 AM	18.057					
10/19/18	10:21:36 AM	18.271					
10/19/18	11:21:36 AM	18.747					
10/19/18	12:21:36 PM	18.557					
10/19/18	01:21:36 PM	10.907					
10/19/18	02:21:36 PM	10.638					
10/19/18	03:21:36 PM	6.255					
10/19/18	04:21:36 PM	6.382					
10/19/18	05:21:36 PM	6.382					
10/19/18	06:21:36 PM	6.611					
10/19/18	07:21:36 PM	6.788					
10/19/18	08:21:36 PM	6.737					
10/19/18	09:21:36 PM	6.687					
10/19/18	10:21:36 PM	6.788					
10/19/18	11:21:36 PM	6.535					
10/20/18	12:21:36 AM	6.458					
10/20/18	01:21:36 AM	6.204					
10/20/18	02:21:36 AM	6.204					
10/20/18	03:21:36 AM	6.255					
10/20/18	04:21:36 AM	6.281					
10/20/18	05:21:36 AM	6.306					
10/20/18	06:21:36 AM	6.433					
10/20/18	07:21:36 AM	6.712					
10/20/18	08:21:36 AM	6.611					
10/20/18	09:21:36 AM	6.585					
10/20/18	10:21:36 AM	6.458					
10/20/18	11:21:36 AM	9.583					
10/20/18	12:21:36 PM	9.015					
10/20/18	01:21:36 PM	9.977					
10/20/18	02:21:36 PM	6.357					
10/20/18	03:21:36 PM	6.458					
10/20/18	04:21:36 PM	6.585					
10/20/18	05:21:36 PM	6.636					
10/20/18	06:21:36 PM	6.484					
10/20/18	07:21:36 PM	6.585					
10/20/18	08:21:36 PM	6.813					
10/20/18	09:21:36 PM	6.611					
10/20/18	10:21:36 PM	6.661					
10/20/18	11:21:36 PM	6.560					
10/21/18	12:21:36 AM	6.484					
10/21/18	01:21:36 AM	6.000					
10/21/18	02:21:36 AM	6.051					
10/21/18	03:21:36 AM	6.128					
10/21/18	04:21:36 AM	6.255					
10/21/18	05:21:36 AM	6.357					
10/21/18	06:21:36 AM	6.153					
10/21/18	07:21:36 AM	6.382					
10/21/18	08:21:36 AM	6.560					
10/21/18	09:21:36 AM	6.560					
10/21/18	10:21:36 AM	6.560					
10/21/18	11:21:36 AM	6.357					
10/21/18	12:21:36 PM	9.114					
10/21/18	01:21:36 PM	9.583					
10/21/18	02:21:36 PM	8.693					
10/21/18	03:21:36 PM	7.469					
10/21/18	04:21:36 PM	7.444					
10/21/18	05:21:36 PM	7.469					
10/21/18	06:21:36 PM	7.469					
10/21/18	07:21:36 PM	7.444					
10/21/18	08:21:36 PM	7.469					
10/21/18	09:21:36 PM	7.469					
10/21/18	10:21:36 PM	7.444					
10/21/18	11:21:36 PM	7.469					
10/22/18	12:21:36 AM	7.469					
10/22/18	01:21:36 AM	7.444					
10/22/18	02:21:36 AM	7.469					
10/22/18	03:21:36 AM	7.469					
10/22/18	04:21:36 AM	7.469					
10/22/18	05:21:36 AM	7.469					
10/22/18	06:21:36 AM	7.444					
10/22/18	07:21:36 AM	7.444					
10/22/18	08:21:36 AM	6.051					
10/22/18	09:21:36 AM	6.357					
10/22/18	10:21:36 AM	6.306					
10/22/18	11:21:36 AM	6.306					
10/22/18	12:21:36 PM	6.281					
10/22/18	01:21:36 PM	5.898					
10/22/18	02:21:36 PM	5.539					
10/22/18	03:21:36 PM	6.102					
10/22/18	04:21:36 PM	6.077					
10/22/18	05:21:36 PM	7.393					
10/22/18	06:21:36 PM	7.343					
10/22/18	07:21:36 PM	7.419					
10/22/18	08:21:36 PM	7.444					
10/22/18	09:21:36 PM	7.444					
10/22/18	10:21:36 PM	7.920					
10/22/18	11:21:36 PM	8.220					
10/23/18	12:21:36 AM	8.394					
10/23/18	01:21:36 AM	8.319					
10/23/18	02:21:36 AM	8.742					
10/23/18	03:21:36 AM	8.767					
10/23/18	04:21:36 AM	7.318					
10/23/18	05:21:36 AM	7.419					
10/23/18	06:21:36 AM	7.419					
10/23/18	07:21:36 AM	7.444					
10/23/18	08:21:36 AM	7.519					
10/23/18	09:21:36 AM	7.670					
10/23/18	10:21:36 AM	8.045					
10/23/18	11:21:36 AM	7.970					
10/23/18	12:21:36 PM	8.494					
10/23/18	01:21:36 PM	8.394					
10/23/18	02:21:36 PM	8.817					
