"Plot Title: 15"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20085952, SEN S/N: 20085952)","Coupler Detached (LGR S/N: 20085952, SEN S/N: 20085952)","Coupler Attached (LGR S/N: 20085952, SEN S/N: 20085952)","Host Connected (LGR S/N: 20085952, SEN S/N: 20085952)","Stopped (LGR S/N: 20085952, SEN S/N: 20085952)","End Of File (LGR S/N: 20085952, SEN S/N: 20085952)"
1,07/13/19 10:37:22 AM,68.013,,,,,
2,07/13/19 10:37:28 AM,,Logged,,,,
3,07/13/19 11:37:22 AM,65.574,,,,,
4,07/13/19 12:37:22 PM,64.204,,,,,
5,07/13/19 01:37:22 PM,63.090,,,,,
6,07/13/19 02:37:22 PM,43.214,,,,,
7,07/13/19 03:37:22 PM,43.259,,,,,
8,07/13/19 04:37:22 PM,43.306,,,,,
9,07/13/19 05:37:22 PM,43.306,,,,,
10,07/13/19 06:37:22 PM,43.259,,,,,
11,07/13/19 07:37:22 PM,43.259,,,,,
12,07/13/19 08:37:22 PM,43.259,,,,,
13,07/13/19 09:37:22 PM,43.259,,,,,
14,07/13/19 10:37:22 PM,43.259,,,,,
15,07/13/19 11:37:22 PM,43.259,,,,,
16,07/14/19 12:37:22 AM,43.259,,,,,
17,07/14/19 01:37:22 AM,43.306,,,,,
18,07/14/19 02:37:22 AM,43.259,,,,,
19,07/14/19 03:37:22 AM,43.259,,,,,
20,07/14/19 04:37:22 AM,43.306,,,,,
21,07/14/19 05:37:22 AM,43.306,,,,,
22,07/14/19 06:37:22 AM,43.351,,,,,
23,07/14/19 07:37:22 AM,43.351,,,,,
24,07/14/19 08:37:22 AM,57.506,,,,,
25,07/14/19 09:37:22 AM,59.745,,,,,
26,07/14/19 10:37:22 AM,59.702,,,,,
27,07/14/19 11:37:22 AM,59.142,,,,,
28,07/14/19 12:37:22 PM,60.046,,,,,
29,07/14/19 01:37:22 PM,60.346,,,,,
30,07/14/19 02:37:22 PM,43.122,,,,,
31,07/14/19 03:37:22 PM,43.167,,,,,
32,07/14/19 04:37:22 PM,43.122,,,,,
33,07/14/19 05:37:22 PM,42.939,,,,,
34,07/14/19 06:37:22 PM,42.939,,,,,
35,07/14/19 07:37:22 PM,42.939,,,,,
36,07/14/19 08:37:22 PM,42.939,,,,,
37,07/14/19 09:37:22 PM,42.939,,,,,
38,07/14/19 10:37:22 PM,42.939,,,,,
39,07/14/19 11:37:22 PM,43.030,,,,,
40,07/15/19 12:37:22 AM,43.075,,,,,
41,07/15/19 01:37:22 AM,43.167,,,,,
42,07/15/19 02:37:22 AM,43.167,,,,,
43,07/15/19 03:37:22 AM,43.122,,,,,
44,07/15/19 04:37:22 AM,43.122,,,,,
45,07/15/19 05:37:22 AM,42.892,,,,,
46,07/15/19 06:37:22 AM,42.939,,,,,
47,07/15/19 07:37:22 AM,42.939,,,,,
48,07/15/19 08:37:22 AM,42.939,,,,,
49,07/15/19 09:37:22 AM,59.616,,,,,
50,07/15/19 10:37:22 AM,59.529,,,,,
51,07/15/19 11:37:22 AM,58.842,,,,,
52,07/15/19 12:37:22 PM,59.529,,,,,
53,07/15/19 01:37:22 PM,58.626,,,,,
54,07/15/19 02:37:22 PM,60.003,,,,,
55,07/15/19 03:37:22 PM,58.928,,,,,
56,07/15/19 04:37:22 PM,61.075,,,,,
57,07/15/19 05:37:22 PM,59.702,,,,,
58,07/15/19 06:37:22 PM,59.358,,,,,
59,07/15/19 07:37:22 PM,58.239,,,,,
60,07/15/19 08:37:22 PM,57.807,,,,,
61,07/15/19 09:37:22 PM,57.333,,,,,
62,07/15/19 10:37:22 PM,57.722,,,,,
63,07/15/19 11:37:22 PM,57.679,,,,,
64,07/16/19 12:37:22 AM,57.463,,,,,
65,07/16/19 01:37:22 AM,57.376,,,,,
66,07/16/19 02:37:22 AM,57.376,,,,,
67,07/16/19 03:37:22 AM,57.247,,,,,
68,07/16/19 04:37:22 AM,56.642,,,,,
69,07/16/19 05:37:22 AM,56.165,,,,,
70,07/16/19 06:37:22 AM,56.208,,,,,
71,07/16/19 07:37:22 AM,56.122,,,,,
72,07/16/19 08:37:22 AM,56.469,,,,,
73,07/16/19 09:37:22 AM,56.685,,,,,
74,07/16/19 10:37:22 AM,57.679,,,,,
75,07/16/19 11:37:22 AM,57.376,,,,,
76,07/16/19 12:37:22 PM,57.679,,,,,
77,07/16/19 01:37:22 PM,61.934,,,,,
78,07/16/19 02:37:22 PM,42.939,,,,,
79,07/16/19 03:37:22 PM,43.030,,,,,
80,07/16/19 04:37:22 PM,42.939,,,,,
81,07/16/19 05:37:22 PM,42.800,,,,,
82,07/16/19 06:37:22 PM,42.800,,,,,
83,07/16/19 07:37:22 PM,42.847,,,,,
84,07/16/19 08:37:22 PM,43.122,,,,,
85,07/16/19 09:37:22 PM,42.847,,,,,
86,07/16/19 10:37:22 PM,42.847,,,,,
87,07/16/19 11:37:22 PM,42.984,,,,,
88,07/17/19 12:37:22 AM,43.167,,,,,
89,07/17/19 01:37:22 AM,43.167,,,,,
90,07/17/19 02:37:22 AM,42.984,,,,,
91,07/17/19 03:37:22 AM,42.847,,,,,
92,07/17/19 04:37:22 AM,42.800,,,,,
93,07/17/19 05:37:22 AM,42.847,,,,,
94,07/17/19 06:37:22 AM,42.892,,,,,
95,07/17/19 07:37:22 AM,42.939,,,,,
96,07/17/19 08:37:22 AM,54.734,,,,,
97,07/17/19 09:37:22 AM,55.602,,,,,
98,07/17/19 10:37:22 AM,55.602,,,,,
99,07/17/19 11:37:22 AM,56.858,,,,,
100,07/17/19 12:37:22 PM,57.679,,,,,
101,07/17/19 01:37:22 PM,57.506,,,,,
102,07/17/19 02:37:22 PM,43.122,,,,,
103,07/17/19 03:37:22 PM,42.892,,,,,
104,07/17/19 04:37:22 PM,42.525,,,,,
105,07/17/19 05:37:22 PM,42.525,,,,,
106,07/17/19 06:37:22 PM,42.478,,,,,
107,07/17/19 07:37:22 PM,42.755,,,,,
108,07/17/19 08:37:22 PM,42.663,,,,,
109,07/17/19 09:37:22 PM,42.800,,,,,
110,07/17/19 10:37:22 PM,42.616,,,,,
111,07/17/19 11:37:22 PM,42.755,,,,,
112,07/18/19 12:37:22 AM,42.892,,,,,
113,07/18/19 01:37:22 AM,42.892,,,,,
114,07/18/19 02:37:22 AM,42.847,,,,,
115,07/18/19 03:37:22 AM,42.800,,,,,
116,07/18/19 04:37:22 AM,42.800,,,,,
117,07/18/19 05:37:22 AM,42.616,,,,,
118,07/18/19 06:37:22 AM,42.616,,,,,
119,07/18/19 07:37:22 AM,42.616,,,,,
120,07/18/19 08:37:22 AM,42.570,,,,,
121,07/18/19 09:37:22 AM,42.663,,,,,
122,07/18/19 10:37:22 AM,42.663,,,,,
123,07/18/19 11:37:22 AM,57.204,,,,,
124,07/18/19 12:37:22 PM,57.376,,,,,
125,07/18/19 01:37:22 PM,44.400,,,,,
126,07/18/19 02:37:22 PM,42.755,,,,,
127,07/18/19 03:37:22 PM,42.755,,,,,
128,07/18/19 04:37:22 PM,42.755,,,,,
129,07/18/19 05:37:22 PM,42.755,,,,,
130,07/18/19 06:37:22 PM,42.800,,,,,
131,07/18/19 07:37:22 PM,42.755,,,,,
132,07/18/19 08:37:22 PM,42.755,,,,,
133,07/18/19 09:37:22 PM,42.755,,,,,
134,07/18/19 10:37:22 PM,42.800,,,,,
135,07/18/19 11:37:22 PM,42.708,,,,,
136,07/19/19 12:37:22 AM,42.708,,,,,
137,07/19/19 01:37:22 AM,42.755,,,,,
138,07/19/19 02:37:22 AM,42.755,,,,,
139,07/19/19 03:37:22 AM,42.708,,,,,
140,07/19/19 04:37:22 AM,42.755,,,,,
141,07/19/19 05:37:22 AM,42.755,,,,,
142,07/19/19 06:37:22 AM,42.755,,,,,
143,07/19/19 07:37:22 AM,42.755,,,,,
144,07/19/19 08:37:22 AM,56.772,,,,,
145,07/19/19 09:37:22 AM,57.506,,,,,
146,07/19/19 10:37:22 AM,57.290,,,,,
