"Date"	"Time, GMT-08:00"	"Temp, °C"	"Coupler Detached"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
08/07/19	10:07:07 AM	20.579					
08/07/19	10:07:11 AM		Logged				
08/07/19	11:07:07 AM	21.079					
08/07/19	12:07:07 PM	21.008					
08/07/19	01:07:07 PM	21.199					
08/07/19	02:07:07 PM	18.247					
08/07/19	03:07:07 PM	6.484					
08/07/19	04:07:07 PM	6.382					
08/07/19	05:07:07 PM	6.382					
08/07/19	06:07:07 PM	6.382					
08/07/19	07:07:07 PM	6.382					
08/07/19	08:07:07 PM	6.382					
08/07/19	09:07:07 PM	6.382					
08/07/19	10:07:07 PM	6.306					
08/07/19	11:07:07 PM	6.281					
08/08/19	12:07:07 AM	6.408					
08/08/19	01:07:07 AM	6.433					
08/08/19	02:07:07 AM	6.382					
08/08/19	03:07:07 AM	6.458					
08/08/19	04:07:07 AM	6.484					
08/08/19	05:07:07 AM	6.306					
08/08/19	06:07:07 AM	6.331					
08/08/19	07:07:07 AM	6.382					
08/08/19	08:07:07 AM	6.408					
08/08/19	09:07:07 AM	13.954					
08/08/19	10:07:07 AM	17.629					
08/08/19	11:07:07 AM	18.271					
08/08/19	12:07:07 PM	20.984					
08/08/19	01:07:07 PM	23.833					
08/08/19	02:07:07 PM	7.895					
08/08/19	03:07:07 PM	6.661					
08/08/19	04:07:07 PM	6.661					
08/08/19	05:07:07 PM	6.661					
08/08/19	06:07:07 PM	6.636					
08/08/19	07:07:07 PM	6.661					
08/08/19	08:07:07 PM	6.661					
08/08/19	09:07:07 PM	6.661					
08/08/19	10:07:07 PM	6.687					
08/08/19	11:07:07 PM	6.712					
08/09/19	12:07:07 AM	6.712					
08/09/19	01:07:07 AM	6.712					
08/09/19	02:07:07 AM	6.737					
08/09/19	03:07:07 AM	6.737					
08/09/19	04:07:07 AM	6.737					
08/09/19	05:07:07 AM	6.737					
08/09/19	06:07:07 AM	6.737					
08/09/19	07:07:07 AM	6.737					
08/09/19	08:07:07 AM	6.687					
08/09/19	09:07:07 AM	6.661					
08/09/19	10:07:07 AM	13.594					
08/09/19	11:07:07 AM	13.954					
08/09/19	12:07:07 PM	15.055					
08/09/19	01:07:07 PM	15.247					
08/09/19	02:07:07 PM	7.419					
08/09/19	03:07:07 PM	7.519					
08/09/19	04:07:07 PM	7.569					
08/09/19	05:07:07 PM	7.519					
08/09/19	06:07:07 PM	7.343					
08/09/19	07:07:07 PM	7.268					
08/09/19	08:07:07 PM	7.293					
08/09/19	09:07:07 PM	7.343					
08/09/19	10:07:07 PM	7.419					
08/09/19	11:07:07 PM	7.469					
08/10/19	12:07:07 AM	7.519					
08/10/19	01:07:07 AM	7.494					
08/10/19	02:07:07 AM	7.519					
08/10/19	03:07:07 AM	7.318					
08/10/19	04:07:07 AM	7.368					
08/10/19	05:07:07 AM	7.494					
08/10/19	06:07:07 AM	7.519					
08/10/19	07:07:07 AM	7.469					
08/10/19	08:07:07 AM	7.167					
08/10/19	09:07:07 AM	16.796					
08/10/19	10:07:07 AM	17.510					
08/10/19	11:07:07 AM	21.175					
08/10/19	12:07:07 PM	20.460					
08/10/19	01:07:07 PM	20.674					
08/10/19	02:07:07 PM	10.590					
08/10/19	03:07:07 PM	6.611					
08/10/19	04:07:07 PM	6.611					
08/10/19	05:07:07 PM	6.611					
08/10/19	06:07:07 PM	6.611					
08/10/19	07:07:07 PM	6.611					
08/10/19	08:07:07 PM	6.585					
08/10/19	09:07:07 PM	6.585					
08/10/19	10:07:07 PM	6.636					
08/10/19	11:07:07 PM	6.585					
08/11/19	12:07:07 AM	6.611					
08/11/19	01:07:07 AM	6.611					
08/11/19	02:07:07 AM	6.611					
08/11/19	03:07:07 AM	6.611					
08/11/19	04:07:07 AM	6.611					
08/11/19	05:07:07 AM	6.611					
08/11/19	06:07:07 AM	6.585					
08/11/19	07:07:07 AM	6.611					
08/11/19	08:07:07 AM	6.611					
08/11/19	09:07:07 AM	14.768					
08/11/19	10:07:07 AM	14.960					
08/11/19	11:07:07 AM	14.577					
08/11/19	12:07:07 PM	14.840					
08/11/19	01:07:07 PM	16.153					
08/11/19	02:07:07 PM	11.565					
08/11/19	03:07:07 PM	6.990					
08/11/19	04:07:07 PM	6.889					
08/11/19	05:07:07 PM	6.940					
08/11/19	06:07:07 PM	6.965					
08/11/19	07:07:07 PM	6.940					
08/11/19	08:07:07 PM	6.889					
08/11/19	09:07:07 PM	6.839					
08/11/19	10:07:07 PM	6.813					
08/11/19	11:07:07 PM	6.763					
08/12/19	12:07:07 AM	6.889					
08/12/19	01:07:07 AM	6.914					
08/12/19	02:07:07 AM	6.864					
08/12/19	03:07:07 AM	6.813					
08/12/19	04:07:07 AM	6.940					
08/12/19	05:07:07 AM	6.889					
08/12/19	06:07:07 AM	6.839					
08/12/19	07:07:07 AM	6.864					
08/12/19	08:07:07 AM	6.788					
08/12/19	09:07:07 AM	6.737					
08/12/19	10:07:07 AM	16.344					
08/12/19	11:07:07 AM	18.485					
08/12/19	12:07:07 PM	18.081					
08/12/19	01:07:07 PM	20.269					
08/12/19	02:07:07 PM	14.864					
08/12/19	03:07:07 PM	5.924					
08/12/19	04:07:07 PM	5.924					
08/12/19	05:07:07 PM	5.924					
08/12/19	06:07:07 PM	5.898					
08/12/19	07:07:07 PM	5.898					
08/12/19	08:07:07 PM	5.898					
08/12/19	09:07:07 PM	5.898					
08/12/19	10:07:07 PM	5.898					
08/12/19	11:07:07 PM	5.898					
08/13/19	12:07:07 AM	5.924					
08/13/19	01:07:07 AM	5.924					
08/13/19	02:07:07 AM	5.924					
08/13/19	03:07:07 AM	5.924					
08/13/19	04:07:07 AM	5.924					
08/13/19	05:07:07 AM	5.924					
08/13/19	06:07:07 AM	5.924					
08/13/19	07:07:07 AM	5.924					
08/13/19	08:07:07 AM	5.924					
08/13/19	09:07:07 AM	5.924					
08/13/19	10:07:07 AM	18.319					
08/13/19	11:07:07 AM	16.773					
08/13/19	12:07:07 PM	17.843					
08/13/19	01:07:07 PM	19.341					
08/13/19	02:07:07 PM	5.949					
08/13/19	03:07:07 PM	5.949					
08/13/19	04:07:07 PM	5.949					
