"Date"	"Time, GMT-08:00"	"Temp, °C"	"Coupler Detached"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
07/01/19	10:15:43 AM	21.437					
07/01/19	10:15:47 AM		Logged				
07/01/19	11:15:43 AM	25.720					
07/01/19	12:15:43 PM	24.291					
07/01/19	01:15:43 PM	22.298					
07/01/19	02:15:43 PM	23.954					
07/01/19	03:15:43 PM	5.898					
07/01/19	04:15:43 PM	5.898					
07/01/19	05:15:43 PM	6.051					
07/01/19	06:15:43 PM	6.026					
07/01/19	07:15:43 PM	6.026					
07/01/19	08:15:43 PM	6.000					
07/01/19	09:15:43 PM	6.026					
07/01/19	10:15:43 PM	6.000					
07/01/19	11:15:43 PM	6.000					
07/02/19	12:15:43 AM	5.821					
07/02/19	01:15:43 AM	5.898					
07/02/19	02:15:43 AM	5.872					
07/02/19	03:15:43 AM	6.051					
07/02/19	04:15:43 AM	6.153					
07/02/19	05:15:43 AM	6.077					
07/02/19	06:15:43 AM	6.102					
07/02/19	07:15:43 AM	6.255					
07/02/19	08:15:43 AM	6.102					
07/02/19	09:15:43 AM	6.230					
07/02/19	10:15:43 AM	16.344					
07/02/19	11:15:43 AM	15.438					
07/02/19	12:15:43 PM	15.748					
07/02/19	01:15:43 PM	16.511					
07/02/19	02:15:43 PM	6.357					
07/02/19	03:15:43 PM	6.204					
07/02/19	04:15:43 PM	6.281					
07/02/19	05:15:43 PM	6.306					
07/02/19	06:15:43 PM	6.306					
07/02/19	07:15:43 PM	6.433					
07/02/19	08:15:43 PM	6.255					
07/02/19	09:15:43 PM	6.281					
07/02/19	10:15:43 PM	5.898					
07/02/19	11:15:43 PM	5.872					
07/03/19	12:15:43 AM	5.872					
07/03/19	01:15:43 AM	6.000					
07/03/19	02:15:43 AM	6.179					
07/03/19	03:15:43 AM	6.306					
07/03/19	04:15:43 AM	6.458					
07/03/19	05:15:43 AM	6.535					
07/03/19	06:15:43 AM	6.560					
07/03/19	07:15:43 AM	6.484					
07/03/19	08:15:43 AM	6.484					
07/03/19	09:15:43 AM	17.130					
07/03/19	10:15:43 AM	18.129					
07/03/19	11:15:43 AM	19.413					
07/03/19	12:15:43 PM	18.937					
07/03/19	01:15:43 PM	21.151					
07/03/19	02:15:43 PM	24.243					
07/03/19	03:15:43 PM	5.693					
07/03/19	04:15:43 PM	5.693					
07/03/19	05:15:43 PM	5.693					
07/03/19	06:15:43 PM	5.693					
07/03/19	07:15:43 PM	5.693					
07/03/19	08:15:43 PM	5.719					
07/03/19	09:15:43 PM	5.719					
07/03/19	10:15:43 PM	5.796					
07/03/19	11:15:43 PM	5.693					
07/04/19	12:15:43 AM	5.693					
07/04/19	01:15:43 AM	5.693					
07/04/19	02:15:43 AM	5.719					
07/04/19	03:15:43 AM	5.719					
07/04/19	04:15:43 AM	5.719					
07/04/19	05:15:43 AM	5.719					
07/04/19	06:15:43 AM	5.745					
07/04/19	07:15:43 AM	5.745					
07/04/19	08:15:43 AM	5.745					
07/04/19	09:15:43 AM	5.745					
07/04/19	10:15:43 AM	5.796					
07/04/19	11:15:43 AM	19.008					
07/04/19	12:15:43 PM	18.295					
07/04/19	01:15:43 PM	18.580					
07/04/19	02:15:43 PM	18.699					
07/04/19	03:15:43 PM	5.514					
07/04/19	04:15:43 PM	5.514					
07/04/19	05:15:43 PM	5.514					
07/04/19	06:15:43 PM	5.514					
07/04/19	07:15:43 PM	5.514					
07/04/19	08:15:43 PM	5.514					
07/04/19	09:15:43 PM	5.514					
07/04/19	10:15:43 PM	5.514					
