"Date"	"Time, GMT-08:00"	"Temp, °C"	"Coupler Detached"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
07/01/19	10:13:26 AM	21.103					
07/01/19	10:13:29 AM		Logged				
07/01/19	11:13:26 AM	27.505					
07/01/19	12:13:26 PM	24.460					
07/01/19	01:13:26 PM	22.250					
07/01/19	02:13:26 PM	24.919					
07/01/19	03:13:26 PM	5.642					
07/01/19	04:13:26 PM	5.642					
07/01/19	05:13:26 PM	5.642					
07/01/19	06:13:26 PM	5.642					
07/01/19	07:13:26 PM	5.616					
07/01/19	08:13:26 PM	5.616					
07/01/19	09:13:26 PM	5.616					
07/01/19	10:13:26 PM	5.616					
07/01/19	11:13:26 PM	5.616					
07/02/19	12:13:26 AM	5.616					
07/02/19	01:13:26 AM	5.642					
07/02/19	02:13:26 AM	5.642					
07/02/19	03:13:26 AM	5.642					
07/02/19	04:13:26 AM	5.642					
07/02/19	05:13:26 AM	5.642					
07/02/19	06:13:26 AM	5.642					
07/02/19	07:13:26 AM	5.616					
07/02/19	08:13:26 AM	5.616					
07/02/19	09:13:26 AM	5.591					
07/02/19	10:13:26 AM	17.415					
07/02/19	11:13:26 AM	15.652					
07/02/19	12:13:26 PM	15.700					
07/02/19	01:13:26 PM	16.606					
07/02/19	02:13:26 PM	5.745					
07/02/19	03:13:26 PM	5.745					
07/02/19	04:13:26 PM	5.796					
07/02/19	05:13:26 PM	5.693					
07/02/19	06:13:26 PM	5.668					
07/02/19	07:13:26 PM	5.668					
07/02/19	08:13:26 PM	5.719					
07/02/19	09:13:26 PM	5.821					
07/02/19	10:13:26 PM	5.770					
07/02/19	11:13:26 PM	5.821					
07/03/19	12:13:26 AM	5.872					
07/03/19	01:13:26 AM	5.770					
07/03/19	02:13:26 AM	5.796					
07/03/19	03:13:26 AM	5.898					
07/03/19	04:13:26 AM	5.898					
07/03/19	05:13:26 AM	5.821					
07/03/19	06:13:26 AM	5.719					
