"Date"	"Time, GMT-08:00"	"Temp, °C"	"Coupler Detached"	"Coupler Attached"	"Host Connected"	"Stopped"	"End Of File"
07/01/19	10:10:24 AM	21.390					
07/01/19	10:10:29 AM		Logged				
07/01/19	11:10:24 AM	19.484					
07/01/19	12:10:24 PM	20.341					
07/01/19	01:10:24 PM	20.293					
07/01/19	02:10:24 PM	5.693					
07/01/19	03:10:24 PM	5.591					
07/01/19	04:10:24 PM	5.591					
07/01/19	05:10:24 PM	5.719					
07/01/19	06:10:24 PM	5.872					
07/01/19	07:10:24 PM	5.719					
07/01/19	08:10:24 PM	5.616					
07/01/19	09:10:24 PM	5.591					
07/01/19	10:10:24 PM	5.642					
07/01/19	11:10:24 PM	5.745					
07/02/19	12:10:24 AM	5.924					
07/02/19	01:10:24 AM	6.051					
07/02/19	02:10:24 AM	5.616					
07/02/19	03:10:24 AM	5.591					
07/02/19	04:10:24 AM	5.642					
07/02/19	05:10:24 AM	5.693					
07/02/19	06:10:24 AM	5.719					
07/02/19	07:10:24 AM	5.745					
07/02/19	08:10:24 AM	7.015					
07/02/19	09:10:24 AM	14.146					
07/02/19	10:10:24 AM	14.649					
07/02/19	11:10:24 AM	15.390					
07/02/19	12:10:24 PM	15.581					
07/02/19	01:10:24 PM	16.534					
07/02/19	02:10:24 PM	17.986					
07/02/19	03:10:24 PM	23.328					
07/02/19	04:10:24 PM	5.770					
07/02/19	05:10:24 PM	5.796					
07/02/19	06:10:24 PM	5.796					
07/02/19	07:10:24 PM	5.796					
07/02/19	08:10:24 PM	5.847					
07/02/19	09:10:24 PM	5.847					
07/02/19	10:10:24 PM	5.821					
07/02/19	11:10:24 PM	5.796					
07/03/19	12:10:24 AM	5.796					
07/03/19	01:10:24 AM	5.796					
07/03/19	02:10:24 AM	5.796					
07/03/19	03:10:24 AM	5.821					
07/03/19	04:10:24 AM	5.847					
07/03/19	05:10:24 AM	5.821					
07/03/19	06:10:24 AM	5.821					
07/03/19	07:10:24 AM	5.796					
07/03/19	08:10:24 AM	5.872					
07/03/19	09:10:24 AM	5.872					
07/03/19	10:10:24 AM	5.821					
07/03/19	11:10:24 AM	18.247					
07/03/19	12:10:24 PM	17.915					
07/03/19	01:10:24 PM	18.889					
07/03/19	02:10:24 PM	5.616					
07/03/19	03:10:24 PM	5.591					
07/03/19	04:10:24 PM	5.616					
07/03/19	05:10:24 PM	5.642					
07/03/19	06:10:24 PM	5.642					
07/03/19	07:10:24 PM	5.642					
07/03/19	08:10:24 PM	5.565					
07/03/19	09:10:24 PM	5.565					
07/03/19	10:10:24 PM	5.616					
07/03/19	11:10:24 PM	5.591					
07/04/19	12:10:24 AM	5.616					
07/04/19	01:10:24 AM	5.616					
07/04/19	02:10:24 AM	5.616					
07/04/19	03:10:24 AM	5.642					
07/04/19	04:10:24 AM	5.668					
07/04/19	05:10:24 AM	5.693					
07/04/19	06:10:24 AM	5.745					
07/04/19	07:10:24 AM	5.693					
07/04/19	08:10:24 AM	5.693					
07/04/19	09:10:24 AM	16.082					
07/04/19	10:10:24 AM	15.079					
07/04/19	11:10:24 AM	16.201					
07/04/19	12:10:24 PM	17.605					
07/04/19	01:10:24 PM	18.129					
07/04/19	02:10:24 PM	17.819					
07/04/19	03:10:24 PM	18.866					
07/04/19	04:10:24 PM	5.488					
07/04/19	05:10:24 PM	5.488					
07/04/19	06:10:24 PM	5.616					
07/04/19	07:10:24 PM	5.642					
07/04/19	08:10:24 PM	5.591					
07/04/19	09:10:24 PM	5.488					
07/04/19	10:10:24 PM	5.462					
07/04/19	11:10:24 PM	5.462					
07/05/19	12:10:24 AM	5.462					
07/05/19	01:10:24 AM	5.462					
07/05/19	02:10:24 AM	5.462					
07/05/19	03:10:24 AM	5.462					
07/05/19	04:10:24 AM	5.462					
07/05/19	05:10:24 AM	5.488					
07/05/19	06:10:24 AM	5.514					
07/05/19	07:10:24 AM	5.591					
07/05/19	08:10:24 AM	5.693					
07/05/19	09:10:24 AM	5.539					
07/05/19	10:10:24 AM	5.488					
07/05/19	11:10:24 AM	5.488					
07/05/19	12:10:24 PM	18.794					
07/05/19	01:10:24 PM	20.341					
07/05/19	02:10:24 PM	5.565					
07/05/19	03:10:24 PM	5.488					
07/05/19	04:10:24 PM	5.514					
07/05/19	05:10:24 PM	5.539					
07/05/19	06:10:24 PM	5.565					
07/05/19	07:10:24 PM	5.514					
07/05/19	08:10:24 PM	5.437					
07/05/19	09:10:24 PM	5.488					
07/05/19	10:10:24 PM	5.514					
07/05/19	11:10:24 PM	5.488					
07/06/19	12:10:24 AM	5.565					
07/06/19	01:10:24 AM	5.488					
07/06/19	02:10:24 AM	5.539					
07/06/19	03:10:24 AM	5.488					
07/06/19	04:10:24 AM	5.488					
07/06/19	05:10:24 AM	5.514					
07/06/19	06:10:24 AM	5.514					
07/06/19	07:10:24 AM	5.565					
07/06/19	08:10:24 AM	5.539					
07/06/19	09:10:24 AM	17.558					
