Date Time	Temperature  (*C)
03/01/08 08:26:58.0	19.90
03/01/08 09:26:58.0	4.71
03/01/08 10:26:58.0	7.51
03/01/08 11:26:58.0	6.58
03/01/08 12:26:58.0	5.49
03/01/08 13:26:58.0	5.49
03/01/08 14:26:58.0	5.49
03/01/08 15:26:58.0	5.49
03/01/08 16:26:58.0	5.49
03/01/08 17:26:58.0	5.49
03/01/08 18:26:58.0	5.33
03/01/08 19:26:58.0	5.33
03/01/08 20:26:58.0	5.49
03/01/08 21:26:58.0	5.33
03/01/08 22:26:58.0	5.49
03/01/08 23:26:58.0	5.49
03/02/08 00:26:58.0	5.49
03/02/08 01:26:58.0	5.49
03/02/08 02:26:58.0	5.33
03/02/08 03:26:58.0	5.49
03/02/08 04:26:58.0	5.33
03/02/08 05:26:58.0	5.33
03/02/08 06:26:58.0	5.33
03/02/08 07:26:58.0	5.33
03/02/08 08:26:58.0	5.33
03/02/08 09:26:58.0	5.33
03/02/08 10:26:58.0	5.33
03/02/08 11:26:58.0	5.33
03/02/08 12:26:58.0	5.49
03/02/08 13:26:58.0	5.49
03/02/08 14:26:58.0	5.49
03/02/08 15:26:58.0	5.49
03/02/08 16:26:58.0	5.49
03/02/08 17:26:58.0	5.49
03/02/08 18:26:58.0	5.49
03/02/08 19:26:58.0	5.33
03/02/08 20:26:58.0	5.33
03/02/08 21:26:58.0	5.33
03/02/08 22:26:58.0	5.33
03/02/08 23:26:58.0	5.33
03/03/08 00:26:58.0	5.33
03/03/08 01:26:58.0	5.49
03/03/08 02:26:58.0	5.49
03/03/08 03:26:58.0	5.33
03/03/08 04:26:58.0	5.33
03/03/08 05:26:58.0	5.33
03/03/08 06:26:58.0	5.33
03/03/08 07:26:58.0	5.33
03/03/08 08:26:58.0	5.33
03/03/08 09:26:58.0	5.33
03/03/08 10:26:58.0	5.33
03/03/08 11:26:58.0	5.33
03/03/08 12:26:58.0	5.49
03/03/08 13:26:58.0	5.49
03/03/08 14:26:58.0	5.49
03/03/08 15:26:58.0	5.49
03/03/08 16:26:58.0	5.49
03/03/08 17:26:58.0	5.33
03/03/08 18:26:58.0	5.33
03/03/08 19:26:58.0	5.33
03/03/08 20:26:58.0	5.33
03/03/08 21:26:58.0	5.33
03/03/08 22:26:58.0	5.49
03/03/08 23:26:58.0	5.49
03/04/08 00:26:58.0	5.33
03/04/08 01:26:58.0	5.33
03/04/08 02:26:58.0	5.33
03/04/08 03:26:58.0	5.33
03/04/08 04:26:58.0	5.33
03/04/08 05:26:58.0	5.33
03/04/08 06:26:58.0	5.33
03/04/08 07:26:58.0	5.33
03/04/08 08:26:58.0	5.33
03/04/08 09:26:58.0	5.33
03/04/08 10:26:58.0	5.33
03/04/08 11:26:58.0	5.33
03/04/08 12:26:58.0	5.33
03/04/08 13:26:58.0	5.33
03/04/08 14:26:58.0	5.33
03/04/08 15:26:58.0	5.49
03/04/08 16:26:58.0	5.49
03/04/08 17:26:58.0	5.33
03/04/08 18:26:58.0	5.33
03/04/08 19:26:58.0	5.33
03/04/08 20:26:58.0	5.33
03/04/08 21:26:58.0	5.33
03/04/08 22:26:58.0	5.33
03/04/08 23:26:58.0	5.33
03/05/08 00:26:58.0	5.33
03/05/08 01:26:58.0	5.33
03/05/08 02:26:58.0	5.49
03/05/08 03:26:58.0	5.33
03/05/08 04:26:58.0	5.33
03/05/08 05:26:58.0	5.33
03/05/08 06:26:58.0	5.33
03/05/08 07:26:58.0	5.33
03/05/08 08:26:58.0	5.33
03/05/08 09:26:58.0	5.33
03/05/08 10:26:58.0	5.49
03/05/08 11:26:58.0	5.49
03/05/08 12:26:58.0	5.49
03/05/08 13:26:58.0	5.49
03/05/08 14:26:58.0	5.49
03/05/08 15:26:58.0	5.49
03/05/08 16:26:58.0	5.49
03/05/08 17:26:58.0	5.49
03/05/08 18:26:58.0	5.49
03/05/08 19:26:58.0	5.33
03/05/08 20:26:58.0	5.33
03/05/08 21:26:58.0	5.33
03/05/08 22:26:58.0	5.33
03/05/08 23:26:58.0	5.49
03/06/08 00:26:58.0	5.49
03/06/08 01:26:58.0	5.49
03/06/08 02:26:58.0	5.49
03/06/08 03:26:58.0	5.49
03/06/08 04:26:58.0	5.49
03/06/08 05:26:58.0	5.49
03/06/08 06:26:58.0	5.33
03/06/08 07:26:58.0	5.33
03/06/08 08:26:58.0	5.33
03/06/08 09:26:58.0	5.33
03/06/08 10:26:58.0	5.33
03/06/08 11:26:58.0	5.33
03/06/08 12:26:58.0	5.33
03/06/08 13:26:58.0	5.49
03/06/08 14:26:58.0	5.49
03/06/08 15:26:58.0	5.49
03/06/08 16:26:58.0	5.49
03/06/08 17:26:58.0	5.49
03/06/08 18:26:58.0	5.33
03/06/08 19:26:58.0	5.33
03/06/08 20:26:58.0	5.33
03/06/08 21:26:58.0	5.33
03/06/08 22:26:58.0	5.33
03/06/08 23:26:58.0	5.33
03/07/08 00:26:58.0	5.49
03/07/08 01:26:58.0	5.49
03/07/08 02:26:58.0	5.49
03/07/08 03:26:58.0	5.49
03/07/08 04:26:58.0	5.49
03/07/08 05:26:58.0	5.33
03/07/08 06:26:58.0	5.33
03/07/08 07:26:58.0	5.33
03/07/08 08:26:58.0	5.33
03/07/08 09:26:58.0	5.33
03/07/08 10:26:58.0	5.33
03/07/08 11:26:58.0	5.33
03/07/08 12:26:58.0	5.33
03/07/08 13:26:58.0	5.49
03/07/08 14:26:58.0	5.49
03/07/08 15:26:58.0	5.49
03/07/08 16:26:58.0	5.33
03/07/08 17:26:58.0	5.33
03/07/08 18:26:58.0	5.33
03/07/08 19:26:58.0	5.33
03/07/08 20:26:58.0	5.33
03/07/08 21:26:58.0	5.33
03/07/08 22:26:58.0	5.33
03/07/08 23:26:58.0	5.33
03/08/08 00:26:58.0	5.33
03/08/08 01:26:58.0	5.33
03/08/08 02:26:58.0	5.33
03/08/08 03:26:58.0	5.33
03/08/08 04:26:58.0	5.33
03/08/08 05:26:58.0	5.33
03/08/08 06:26:58.0	5.33
03/08/08 07:26:58.0	5.33
03/08/08 08:26:58.0	5.33
03/08/08 09:26:58.0	5.33
03/08/08 10:26:58.0	5.33
03/08/08 11:26:58.0	5.33
03/08/08 12:26:58.0	5.33
03/08/08 13:26:58.0	5.33
03/08/08 14:26:58.0	5.33
03/08/08 15:26:58.0	5.33
03/08/08 16:26:58.0	5.33
03/08/08 17:26:58.0	5.33
03/08/08 18:26:58.0	5.33
03/08/08 19:26:58.0	5.33
03/08/08 20:26:58.0	5.33
03/08/08 21:26:58.0	5.33
03/08/08 22:26:58.0	5.33
03/08/08 23:26:58.0	5.33
03/09/08 00:26:58.0	5.33
