Date Time		Temperature  (*C)
2/26/2008	19:16:37	4.52
2/26/2008	20:16:37	4.05
2/26/2008	21:16:37	4.05
2/26/2008	22:16:37	4.21
2/26/2008	23:16:37	4.21
2/27/2008	0:16:37	4.05
2/27/2008	1:16:37	4.21
2/27/2008	2:16:37	4.52
2/27/2008	3:16:37	4.83
2/27/2008	4:16:37	4.68
2/27/2008	5:16:37	4.83
2/27/2008	6:16:37	4.68
2/27/2008	7:16:37	4.52
2/27/2008	8:16:37	4.52
2/27/2008	9:16:37	4.36
2/27/2008	10:16:37	4.05
2/27/2008	11:16:37	4.05
2/27/2008	12:16:37	4.05
2/27/2008	13:16:37	4.05
2/27/2008	14:16:37	4.36
2/27/2008	15:16:37	4.36
2/27/2008	16:16:37	4.52
2/27/2008	17:16:37	4.68
2/27/2008	18:16:37	4.83
2/27/2008	19:16:37	4.68
2/27/2008	20:16:37	4.36
2/27/2008	21:16:37	4.21
2/27/2008	22:16:37	4.36
2/27/2008	23:16:37	4.36
2/28/2008	0:16:37	4.21
2/28/2008	1:16:37	4.21
2/28/2008	2:16:37	4.21
2/28/2008	3:16:37	4.68
2/28/2008	4:16:37	4.52
2/28/2008	5:16:37	4.83
2/28/2008	6:16:37	4.83
2/28/2008	7:16:37	4.68
2/28/2008	8:16:37	4.52
2/28/2008	9:16:37	4.52
2/28/2008	10:16:37	4.36
2/28/2008	11:16:37	4.36
2/28/2008	12:16:37	4.05
2/28/2008	13:16:37	4.21
2/28/2008	14:16:37	4.21
2/28/2008	15:16:37	4.36
2/28/2008	16:16:37	4.52
2/28/2008	17:16:37	4.83
2/28/2008	18:16:37	4.68
2/28/2008	19:16:37	4.52
2/28/2008	20:16:37	4.05
2/28/2008	21:16:37	4.05
2/28/2008	22:16:37	4.21
2/28/2008	23:16:37	4.05
2/29/2008	0:16:37	4.05
2/29/2008	1:16:37	4.05
2/29/2008	2:16:37	4.05
2/29/2008	3:16:37	4.21
2/29/2008	4:16:37	4.68
2/29/2008	5:16:37	4.68
2/29/2008	6:16:37	4.52
2/29/2008	7:16:37	4.36
2/29/2008	8:16:37	4.21
2/29/2008	9:16:37	4.21
2/29/2008	10:16:37	4.21
