Date Time	Temperature  (*C)
02/27/08 11:40:49.0	22.63
02/27/08 12:40:49.0	19.16
02/27/08 13:40:49.0	18.34
02/27/08 14:40:49.0	17.86
02/27/08 15:40:49.0	18.02
02/27/08 16:40:49.0	18.34
02/27/08 17:40:49.0	19.16
02/27/08 18:40:49.0	19.16
02/27/08 19:40:49.0	20.14
02/27/08 20:40:49.0	22.63
02/27/08 21:40:49.0	24.52
02/27/08 22:40:49.0	24.70
02/27/08 23:40:49.0	26.64
02/28/08 00:40:49.0	26.46
02/28/08 01:40:49.0	24.00
02/28/08 02:40:49.0	21.46
02/28/08 03:40:49.0	19.82
02/28/08 04:40:49.0	18.51
02/28/08 05:40:49.0	17.69
02/28/08 06:40:49.0	17.22
02/28/08 07:40:49.0	17.22
02/28/08 08:40:49.0	17.06
02/28/08 09:40:49.0	17.22
02/28/08 10:40:49.0	17.86
02/28/08 11:40:49.0	18.18
02/28/08 12:40:49.0	18.34
02/28/08 13:40:49.0	18.67
02/28/08 14:40:49.0	19.33
02/28/08 15:40:49.0	5.19
02/28/08 16:40:49.0	5.19
02/28/08 17:40:49.0	5.19
02/28/08 18:40:49.0	5.19
02/28/08 19:40:49.0	5.19
02/28/08 20:40:49.0	5.19
02/28/08 21:40:49.0	5.19
02/28/08 22:40:49.0	5.19
02/28/08 23:40:49.0	5.19
02/29/08 00:40:49.0	5.19
02/29/08 01:40:49.0	5.19
02/29/08 02:40:49.0	5.19
02/29/08 03:40:49.0	5.19
02/29/08 04:40:49.0	5.19
02/29/08 05:40:49.0	5.19
02/29/08 06:40:49.0	5.19
02/29/08 07:40:49.0	5.19
02/29/08 08:40:49.0	5.19
02/29/08 09:40:49.0	5.19
02/29/08 10:40:49.0	5.19
02/29/08 11:40:49.0	5.19
02/29/08 12:40:49.0	5.19
02/29/08 13:40:49.0	5.19
02/29/08 14:40:49.0	5.19
02/29/08 15:40:49.0	5.19
02/29/08 16:40:49.0	5.19
02/29/08 17:40:49.0	5.19
02/29/08 18:40:49.0	5.19
02/29/08 19:40:49.0	5.19
02/29/08 20:40:49.0	5.19
02/29/08 21:40:49.0	5.19
02/29/08 22:40:49.0	5.19
02/29/08 23:40:49.0	5.19
03/01/08 00:40:49.0	5.19
03/01/08 01:40:49.0	5.19
03/01/08 02:40:49.0	5.19
03/01/08 03:40:49.0	5.19
03/01/08 04:40:49.0	5.19
03/01/08 05:40:49.0	5.19
03/01/08 06:40:49.0	5.19
03/01/08 07:40:49.0	5.19
03/01/08 08:40:49.0	5.19
03/01/08 09:40:49.0	5.19
03/01/08 10:40:49.0	5.19
03/01/08 11:40:49.0	5.19
03/01/08 12:40:49.0	5.19
03/01/08 13:40:49.0	5.19
03/01/08 14:40:49.0	5.19
03/01/08 15:40:49.0	5.19
03/01/08 16:40:49.0	5.19
03/01/08 17:40:49.0	5.19
03/01/08 18:40:49.0	5.19
03/01/08 19:40:49.0	5.19
03/01/08 20:40:49.0	5.19
03/01/08 21:40:49.0	5.19
03/01/08 22:40:49.0	5.19
03/01/08 23:40:49.0	5.19
03/02/08 00:40:49.0	5.19
03/02/08 01:40:49.0	5.19
03/02/08 02:40:49.0	5.19
03/02/08 03:40:49.0	5.19
03/02/08 04:40:49.0	5.19
03/02/08 05:40:49.0	5.19
03/02/08 06:40:49.0	5.19
03/02/08 07:40:49.0	5.19
03/02/08 08:40:49.0	5.19
03/02/08 09:40:49.0	5.19
03/02/08 10:40:49.0	5.19
03/02/08 11:40:49.0	5.19
03/02/08 12:40:49.0	5.19
03/02/08 13:40:49.0	5.19
03/02/08 14:40:49.0	5.19
03/02/08 15:40:49.0	5.19
