Date Time	Temperature  (*C)
02/27/08 11:43:04.0	24.50
02/27/08 12:43:04.0	19.17
02/27/08 13:43:04.0	19.01
02/27/08 14:43:04.0	18.20
02/27/08 15:43:04.0	18.36
02/27/08 16:43:04.0	18.85
02/27/08 17:43:04.0	19.66
02/27/08 18:43:04.0	19.66
02/27/08 19:43:04.0	20.14
02/27/08 20:43:04.0	21.96
02/27/08 21:43:04.0	22.96
02/27/08 22:43:04.0	23.12
02/27/08 23:43:04.0	24.50
02/28/08 00:43:04.0	23.29
02/28/08 01:43:04.0	21.12
02/28/08 02:43:04.0	19.49
02/28/08 03:43:04.0	18.04
02/28/08 04:43:04.0	17.40
02/28/08 05:43:04.0	17.08
02/28/08 06:43:04.0	16.92
02/28/08 07:43:04.0	17.08
02/28/08 08:43:04.0	17.40
02/28/08 09:43:04.0	17.72
02/28/08 10:43:04.0	18.52
02/28/08 11:43:04.0	18.68
02/28/08 12:43:04.0	18.85
02/28/08 13:43:04.0	19.33
02/28/08 14:43:04.0	19.98
02/28/08 15:43:04.0	3.89
02/28/08 16:43:04.0	3.89
02/28/08 17:43:04.0	3.58
02/28/08 18:43:04.0	3.58
02/28/08 19:43:04.0	3.73
02/28/08 20:43:04.0	3.73
02/28/08 21:43:04.0	3.73
02/28/08 22:43:04.0	3.73
02/28/08 23:43:04.0	3.89
02/29/08 00:43:04.0	4.04
02/29/08 01:43:04.0	3.58
02/29/08 02:43:04.0	3.73
02/29/08 03:43:04.0	3.73
02/29/08 04:43:04.0	3.89
02/29/08 05:43:04.0	3.58
02/29/08 06:43:04.0	3.42
02/29/08 07:43:04.0	3.42
02/29/08 08:43:04.0	3.42
02/29/08 09:43:04.0	3.42
02/29/08 10:43:04.0	3.42
02/29/08 11:43:04.0	3.42
02/29/08 12:43:04.0	3.42
02/29/08 13:43:04.0	3.42
02/29/08 14:43:04.0	4.67
02/29/08 15:43:04.0	4.36
02/29/08 16:43:04.0	4.04
02/29/08 17:43:04.0	4.51
02/29/08 18:43:04.0	4.51
02/29/08 19:43:04.0	4.36
02/29/08 20:43:04.0	4.04
02/29/08 21:43:04.0	3.89
02/29/08 22:43:04.0	3.73
02/29/08 23:43:04.0	3.58
03/01/08 00:43:04.0	3.58
03/01/08 01:43:04.0	3.89
03/01/08 02:43:04.0	4.36
03/01/08 03:43:04.0	3.73
03/01/08 04:43:04.0	4.20
03/01/08 05:43:04.0	4.36
03/01/08 06:43:04.0	4.36
03/01/08 07:43:04.0	3.73
03/01/08 08:43:04.0	3.89
03/01/08 09:43:04.0	3.73
03/01/08 10:43:04.0	4.04
03/01/08 11:43:04.0	4.20
03/01/08 12:43:04.0	4.20
03/01/08 13:43:04.0	4.36
03/01/08 14:43:04.0	4.36
03/01/08 15:43:04.0	3.73
03/01/08 16:43:04.0	3.73
03/01/08 17:43:04.0	3.58
03/01/08 18:43:04.0	3.58
03/01/08 19:43:04.0	3.42
03/01/08 20:43:04.0	3.42
03/01/08 21:43:04.0	3.42
03/01/08 22:43:04.0	3.42
03/01/08 23:43:04.0	3.58
03/02/08 00:43:04.0	3.42
03/02/08 01:43:04.0	3.42
03/02/08 02:43:04.0	3.42
03/02/08 03:43:04.0	3.89
03/02/08 04:43:04.0	3.58
03/02/08 05:43:04.0	4.36
03/02/08 06:43:04.0	4.20
03/02/08 07:43:04.0	4.20
03/02/08 08:43:04.0	4.36
03/02/08 09:43:04.0	4.51
03/02/08 10:43:04.0	3.27
03/02/08 11:43:04.0	3.27
03/02/08 12:43:04.0	3.58
03/02/08 13:43:04.0	3.27
03/02/08 14:43:04.0	3.27
03/02/08 15:43:04.0	3.27
