"","Year","Survey","Leg","Site","Sex","CW","Recruit.Status","Shell.Condition","Egg.Development","Leg.Condition","Bitter","Egg.Percent","Blackmat","Latitude","Longitude","Jul.Day","Depth","Temp","temp_avg"
"1",2009,"RKC",1,"Barlow_Cove","2",101,"Mature_Female","5","Barren_Clean","1","0",0,"0",58.3234,-134.8793667,156,21,4.580625,4.5452062067474
"2",2009,"RKC",1,"Barlow_Cove","2",88,"Mature_Female","5","Uneyed","1","0",40,"0",58.3234,-134.8793667,156,21,4.580625,4.5452062067474
"3",2009,"RKC",1,"Barlow_Cove","2",92,"Mature_Female","5","Uneyed","0","0",40,"1",58.3234,-134.8793667,156,21,4.580625,4.5452062067474
"4",2009,"RKC",1,"Barlow_Cove","2",101,"Mature_Female","5","Uneyed","0","0",80,"1",58.3234,-134.8793667,156,21,4.580625,4.5452062067474
"5",2009,"RKC",1,"Barlow_Cove","2",110,"Mature_Female","5","Uneyed","0","0",30,"1",58.3234,-134.8793667,156,21,4.580625,4.5452062067474
"6",2009,"RKC",1,"Barlow_Cove","2",108,"Mature_Female","5","Barren_Matted","1","0",0,"0",58.3234,-134.8793667,156,21,4.580625,4.5452062067474
"7",2009,"RKC",1,"Barlow_Cove","2",100,"Mature_Female","5","Uneyed","1","0",20,"0",58.3234,-134.8793667,156,21,4.580625,4.5452062067474
"8",2009,"RKC",1,"Barlow_Cove","2",104,"Mature_Female","5","Uneyed","0","0",70,"0",58.3234,-134.8793667,156,21,4.580625,4.5452062067474
"9",2009,"RKC",1,"Barlow_Cove","2",88,"Mature_Female","4","Uneyed","1","0",90,"0",58.3234,-134.8793667,156,21,4.580625,4.5452062067474
"10",2009,"RKC",1,"Barlow_Cove","2",96,"Mature_Female","5","Uneyed","0","0",80,"0",58.3234,-134.8793667,156,21,4.580625,4.5452062067474
"11",2009,"RKC",1,"Barlow_Cove","2",95,"Mature_Female","5","Uneyed","1","0",80,"1",58.3234,-134.8793667,156,21,4.580625,4.5452062067474
"12",2009,"RKC",1,"Barlow_Cove","2",92,"Mature_Female","5","Uneyed","1","0",60,"1",58.3234,-134.8793667,156,21,4.580625,4.5452062067474
"13",2009,"RKC",1,"Barlow_Cove","2",109,"Mature_Female","5","Barren_Matted","0","0",0,"1",58.3234,-134.8793667,156,21,4.580625,4.5452062067474
"14",2009,"RKC",1,"Barlow_Cove","2",115,"Mature_Female","5","Uneyed","0","0",70,"1",58.3234,-134.8793667,156,21,4.580625,4.5452062067474
"15",2009,"RKC",1,"Barlow_Cove","2",106,"Mature_Female","5","Barren_Matted","0","0",0,"0",58.3234,-134.8793667,156,21,4.580625,4.5452062067474
"16",2009,"RKC",1,"Barlow_Cove","2",91,"Mature_Female","5","Uneyed","1","0",30,"0",58.3234,-134.8793667,156,21,4.580625,4.5452062067474
"17",2009,"RKC",1,"Barlow_Cove","2",101,"Mature_Female","5","Barren_Matted","1","0",0,"1",58.3234,-134.8793667,156,21,4.580625,4.5452062067474
"18",2009,"RKC",1,"Barlow_Cove","2",101,"Mature_Female","5","Barren_Matted","0","0",0,"1",58.3234,-134.8793667,156,21,4.580625,4.5452062067474
"19",2009,"RKC",1,"Barlow_Cove","2",95,"Mature_Female","4","Uneyed","0","0",80,"0",58.3234,-134.8793667,156,21,4.580625,4.5452062067474
"20",2009,"RKC",1,"Barlow_Cove","2",104,"Mature_Female","5","Uneyed","0","0",70,"0",58.3234,-134.8793667,156,21,4.580625,4.5452062067474
"21",2009,"RKC",1,"Barlow_Cove","2",99,"Mature_Female","5","Uneyed","1","0",40,"1",58.3234,-134.8793667,156,21,4.580625,4.5452062067474
"22",2009,"RKC",1,"Barlow_Cove","2",89,"Mature_Female","5","Barren_Clean","1","0",0,"1",58.3234,-134.8793667,156,21,4.580625,4.5452062067474
"23",2009,"RKC",1,"Barlow_Cove","2",92,"Mature_Female","4","Uneyed","0","0",90,"0",58.32625,-134.8811833,156,34,4.509375,4.5452062067474
"24",2009,"RKC",1,"Barlow_Cove","2",102,"Mature_Female","4","Uneyed","1","0",90,"1",58.32625,-134.8811833,156,34,4.509375,4.5452062067474
"25",2009,"RKC",1,"Barlow_Cove","2",104,"Mature_Female","4","Uneyed","0","0",80,"0",58.32625,-134.8811833,156,34,4.509375,4.5452062067474
"26",2009,"RKC",1,"Barlow_Cove","2",106,"Mature_Female","5","Uneyed","1","0",80,"1",58.32625,-134.8811833,156,34,4.509375,4.5452062067474
"27",2009,"RKC",1,"Barlow_Cove","2",93,"Mature_Female","3","Uneyed","0","0",70,"1",58.32625,-134.8811833,156,34,4.509375,4.5452062067474
"28",2009,"RKC",1,"Barlow_Cove","2",87,"Mature_Female","4","Uneyed","0","0",90,"1",58.32625,-134.8811833,156,34,4.509375,4.5452062067474
"29",2009,"RKC",1,"Barlow_Cove","2",99,"Mature_Female","3","Uneyed","0","0",100,"0",58.32625,-134.8811833,156,34,4.509375,4.5452062067474
"30",2009,"RKC",1,"Barlow_Cove","2",103,"Mature_Female","4","Uneyed","0","0",100,"0",58.32625,-134.8811833,156,34,4.509375,4.5452062067474
"31",2009,"RKC",1,"Barlow_Cove","2",97,"Mature_Female","4","Uneyed","0","0",100,"1",58.32625,-134.8811833,156,34,4.509375,4.5452062067474
"32",2009,"RKC",1,"Barlow_Cove","2",97,"Mature_Female","4","Uneyed","0","0",100,"0",58.32625,-134.8811833,156,34,4.509375,4.5452062067474
"33",2009,"RKC",1,"Barlow_Cove","2",94,"Mature_Female","4","Uneyed","0","0",100,"0",58.32625,-134.8811833,156,34,4.509375,4.5452062067474
"34",2009,"RKC",1,"Barlow_Cove","2",102,"Mature_Female","5","Uneyed","1","0",70,"1",58.32625,-134.8811833,156,34,4.509375,4.5452062067474
"35",2009,"RKC",1,"Barlow_Cove","2",103,"Mature_Female","5","Uneyed","1","0",80,"0",58.32625,-134.8811833,156,34,4.509375,4.5452062067474
"36",2009,"RKC",1,"Barlow_Cove","2",107,"Mature_Female","4","Uneyed","0","0",100,"0",58.32625,-134.8811833,156,34,4.509375,4.5452062067474
"37",2009,"RKC",1,"Barlow_Cove","2",102,"Mature_Female","5","Uneyed","1","0",70,"1",58.32625,-134.8811833,156,34,4.509375,4.5452062067474
"38",2009,"RKC",1,"Barlow_Cove","2",100,"Mature_Female","4","Uneyed","1","0",100,"1",58.32625,-134.8811833,156,34,4.509375,4.5452062067474
"39",2009,"RKC",1,"Barlow_Cove","2",108,"Mature_Female","5","Uneyed","0","0",70,"1",58.32625,-134.8811833,156,34,4.509375,4.5452062067474
"41",2009,"RKC",1,"Barlow_Cove","2",108,"Mature_Female","5","Uneyed","1","0",10,"0",58.32625,-134.8811833,156,34,4.509375,4.5452062067474
"42",2009,"RKC",1,"Barlow_Cove","2",103,"Mature_Female","4","Barren_Matted","1","0",0,"0",58.32625,-134.8811833,156,34,4.509375,4.5452062067474
"43",2009,"RKC",1,"Barlow_Cove","2",108,"Mature_Female","5","Barren_Clean","1","0",0,"1",58.32625,-134.8811833,156,34,4.509375,4.5452062067474
"44",2009,"RKC",1,"Barlow_Cove","2",97,"Mature_Female","4","Uneyed","0","0",100,"1",58.32625,-134.8811833,156,34,4.509375,4.5452062067474
"45",2009,"RKC",1,"Barlow_Cove","2",106,"Mature_Female","4","Uneyed","0","0",80,"0",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474
"46",2009,"RKC",1,"Barlow_Cove","2",107,"Mature_Female","5","Uneyed","0","0",90,"0",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474
"47",2009,"RKC",1,"Barlow_Cove","2",103,"Mature_Female","5","Barren_Matted","0","0",0,"1",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474
"48",2009,"RKC",1,"Barlow_Cove","2",98,"Mature_Female","3","Uneyed","1","1",40,"0",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474
"49",2009,"RKC",1,"Barlow_Cove","2",97,"Mature_Female","4","Uneyed","0","1",90,"0",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474
"50",2009,"RKC",1,"Barlow_Cove","2",103,"Mature_Female","4","Uneyed","0","0",100,"0",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474
"51",2009,"RKC",1,"Barlow_Cove","2",91,"Mature_Female","4","Uneyed","1","0",100,"0",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474
"52",2009,"RKC",1,"Barlow_Cove","2",107,"Mature_Female","4","Uneyed","1","0",80,"0",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474
"53",2009,"RKC",1,"Barlow_Cove","2",101,"Mature_Female","4","Uneyed","1","0",100,"1",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474
"54",2009,"RKC",1,"Barlow_Cove","2",112,"Mature_Female","4","Uneyed","1","0",90,"0",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474
