"","Year","Survey","Leg","Site","Sex","CW","Chela.Ht","Recruit.Status","Shell.Condition","Leg.Condition","Bitter","Blackmat","Latitude","Longitude","Jul.Day","Depth","Temp","temp_avg","mat_stat"
"5",2009,"RKC",1,"Barlow_Cove","1",119,23,"Pre_Recruit","5","1","0","0",58.3234,-134.8793667,156,21,4.580625,4.5452062067474,"2"
"6",2009,"RKC",1,"Barlow_Cove","1",136,30,"Pre_Recruit","5","1","0","0",58.3234,-134.8793667,156,21,4.580625,4.5452062067474,"2"
"7",2009,"RKC",1,"Barlow_Cove","1",135,29,"Pre_Recruit","5","1","0","0",58.3234,-134.8793667,156,21,4.580625,4.5452062067474,"2"
"8",2009,"RKC",1,"Barlow_Cove","1",133,30,"Pre_Recruit","5","1","0","0",58.3234,-134.8793667,156,21,4.580625,4.5452062067474,"2"
"9",2009,"RKC",1,"Barlow_Cove","1",132,28,"Pre_Recruit","5","1","0","1",58.3234,-134.8793667,156,21,4.580625,4.5452062067474,"2"
"11",2009,"RKC",1,"Barlow_Cove","1",142,22,"Recruit","3","1","0","0",58.32625,-134.8811833,156,34,4.509375,4.5452062067474,"1"
"12",2009,"RKC",1,"Barlow_Cove","1",131,24,"Pre_Recruit","4","1","0","0",58.32625,-134.8811833,156,34,4.509375,4.5452062067474,"2"
"13",2009,"RKC",1,"Barlow_Cove","1",123,18,"Pre_Recruit","3","1","0","0",58.32625,-134.8811833,156,34,4.509375,4.5452062067474,"1"
"14",2009,"RKC",1,"Barlow_Cove","1",107,13,"Juvenile","3","0","0","0",58.32625,-134.8811833,156,34,4.509375,4.5452062067474,"1"
"15",2009,"RKC",1,"Barlow_Cove","1",117,17,"Pre_Recruit","3","0","0","0",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474,"1"
"16",2009,"RKC",1,"Barlow_Cove","1",138,29,"Recruit","3","0","0","0",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474,"2"
"18",2009,"RKC",1,"Barlow_Cove","1",151,35,"Post_Recruit","5","1","0","0",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474,"2"
"19",2009,"RKC",1,"Barlow_Cove","1",135,30,"Pre_Recruit","3","1","0","0",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474,"2"
"21",2009,"RKC",1,"Barlow_Cove","1",131,21,"Pre_Recruit","3","0","0","0",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474,"1"
"22",2009,"RKC",1,"Barlow_Cove","1",116,23,"Pre_Recruit","4","1","0","0",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474,"2"
"23",2009,"RKC",1,"Barlow_Cove","1",105,19,"Juvenile","3","1","0","0",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474,"2"
"24",2009,"RKC",1,"Barlow_Cove","1",94,13,"Juvenile","3","1","0","0",58.32696667,-134.8789167,156,36,4.40875,4.5452062067474,"1"
"25",2009,"RKC",1,"Barlow_Cove","1",131,28,"Pre_Recruit","4","0","0","1",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"2"
"26",2009,"RKC",1,"Barlow_Cove","1",132,27,"Pre_Recruit","5","1","0","1",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"2"
"27",2009,"RKC",1,"Barlow_Cove","1",124,20,"Pre_Recruit","3","1","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"1"
"28",2009,"RKC",1,"Barlow_Cove","1",115,18,"Pre_Recruit","3","1","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"1"
"29",2009,"RKC",1,"Barlow_Cove","1",157,37,"Recruit","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"2"
"30",2009,"RKC",1,"Barlow_Cove","1",118,18,"Pre_Recruit","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"1"
"31",2009,"RKC",1,"Barlow_Cove","1",138,22,"Recruit","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"1"
"32",2009,"RKC",1,"Barlow_Cove","1",133,19,"Pre_Recruit","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"1"
"33",2009,"RKC",1,"Barlow_Cove","1",117,19,"Pre_Recruit","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"1"
"34",2009,"RKC",1,"Barlow_Cove","1",129,24,"Pre_Recruit","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"2"
"35",2009,"RKC",1,"Barlow_Cove","1",92,13,"Juvenile","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"1"
"36",2009,"RKC",1,"Barlow_Cove","1",135,28,"Pre_Recruit","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"2"
"37",2009,"RKC",1,"Barlow_Cove","1",129,24,"Pre_Recruit","3","1","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"2"
"38",2009,"RKC",1,"Barlow_Cove","1",86,11,"Juvenile","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"1"
"39",2009,"RKC",1,"Barlow_Cove","1",165,32,"Recruit","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"2"
"40",2009,"RKC",1,"Barlow_Cove","1",103,14,"Juvenile","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"1"
"41",2009,"RKC",1,"Barlow_Cove","1",101,15,"Juvenile","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"1"
"42",2009,"RKC",1,"Barlow_Cove","1",98,13,"Juvenile","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"1"
"44",2009,"RKC",1,"Barlow_Cove","1",128,20,"Pre_Recruit","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"1"
"45",2009,"RKC",1,"Barlow_Cove","1",110,16,"Pre_Recruit","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"1"
"46",2009,"RKC",1,"Barlow_Cove","1",135,21,"Pre_Recruit","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"1"
"47",2009,"RKC",1,"Barlow_Cove","1",99,10,"Juvenile","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"1"
"48",2009,"RKC",1,"Barlow_Cove","1",139,30,"Recruit","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"2"
"49",2009,"RKC",1,"Barlow_Cove","1",110,16,"Pre_Recruit","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"1"
"50",2009,"RKC",1,"Barlow_Cove","1",158,25,"Recruit","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"1"
"51",2009,"RKC",1,"Barlow_Cove","1",110,17,"Pre_Recruit","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"1"
"52",2009,"RKC",1,"Barlow_Cove","1",121,19,"Pre_Recruit","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"1"
"53",2009,"RKC",1,"Barlow_Cove","1",115,17,"Pre_Recruit","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"1"
"54",2009,"RKC",1,"Barlow_Cove","1",130,29,"Pre_Recruit","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"2"
"55",2009,"RKC",1,"Barlow_Cove","1",132,22,"Pre_Recruit","3","1","1","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"1"
"56",2009,"RKC",1,"Barlow_Cove","1",85,12,"Juvenile","3","0","0","0",58.33186667,-134.8779667,156,36,4.408125,4.5452062067474,"1"
"57",2009,"RKC",1,"Barlow_Cove","1",135,18,"Pre_Recruit","3","0","0","0",58.33086667,-134.8879667,156,24,4.59470588235294,4.5452062067474,"1"
"58",2009,"RKC",1,"Barlow_Cove","1",116,22,"Pre_Recruit","4","1","0","0",58.33086667,-134.8879667,156,24,4.59470588235294,4.5452062067474,"2"
"59",2009,"RKC",1,"Barlow_Cove","1",138,30,"Post_Recruit","5","1","0","0",58.33086667,-134.8879667,156,24,4.59470588235294,4.5452062067474,"2"
"60",2009,"RKC",1,"Barlow_Cove","1",144,29,"Recruit","3","0","0","0",58.33086667,-134.8879667,156,24,4.59470588235294,4.5452062067474,"2"
"61",2009,"RKC",1,"Barlow_Cove","1",119,18,"Pre_Recruit","3","1","0","0",58.33086667,-134.8879667,156,24,4.59470588235294,4.5452062067474,"1"
"62",2009,"RKC",1,"Barlow_Cove","1",97,13,"Juvenile","3","0","0","0",58.33086667,-134.8879667,156,24,4.59470588235294,4.5452062067474,"1"
"63",2009,"RKC",1,"Barlow_Cove","1",128,22,"Pre_Recruit","5","1","0","1",58.33086667,-134.8879667,156,24,4.59470588235294,4.5452062067474,"1"
"64",2009,"RKC",1,"Barlow_Cove","1",104,18,"Juvenile","4","0","0","0",58.33086667,-134.8879667,156,24,4.59470588235294,4.5452062067474,"2"
"65",2009,"RKC",1,"Barlow_Cove","1",109,19,"Juvenile","3","1","0","0",58.33086667,-134.8879667,156,24,4.59470588235294,4.5452062067474,"2"
"66",2009,"RKC",1,"Barlow_Cove","1",134,28,"Pre_Recruit","5","1","0","1",58.33086667,-134.8879667,156,24,4.59470588235294,4.5452062067474,"2"
