"Year","Project","Trip.No","Trip.Start.Date","Trip.End.Date","Location","Pot.No","Latitude.Decimal.Degrees","Longitude.Decimal.Degrees","Time.Hauled","Buoy.No","Depth.Fathoms","tidbit_id","temp"
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Holkham Bay",1,57.80518333,-133.5909167,2005-10-13 08:01:00,"17",168,"5",5.05
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Holkham Bay",10,57.85598333,-133.6258667,2005-10-13 10:14:00,"3",139,"11",5.25
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Holkham Bay",13,57.84013333,-133.5973333,2005-10-13 11:01:00,"9",146,"10",5.07
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Holkham Bay",20,57.79335,-133.5723333,2005-10-13 13:32:00,"4",165,"7",5.09
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Holkham Bay",23,57.72265,-133.5415333,2005-10-14 08:10:00,"4",56,"7",6.34
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Holkham Bay",32,57.69698333,-133.4982167,2005-10-14 09:58:00,"24",155,"5",6.14
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Holkham Bay",35,57.70945,-133.5077167,2005-10-14 10:40:00,"3",159,"11",6.19
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Holkham Bay",42,57.72563333,-133.5131167,2005-10-14 13:03:00,"17",160,"10",6.16
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Holkham Bay",46,57.71838333,-133.5954833,2005-10-15 07:34:00,"10",37,"10",6.442
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Holkham Bay",58,57.72608333,-133.6535167,2005-10-15 10:07:00,"9",89,"11",5.72
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Holkham Bay",61,57.73843333,-133.6408667,2005-10-15 10:41:00,"13",109,"5",5.67
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Holkham Bay",66,57.73645,-133.6053333,2005-10-15 11:35:00,"4",69,"7",5.842
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Port Camden",7,56.84373333,-133.9254333,2005-10-11 14:12:00,"13",32,"5",8.075
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Port Camden",8,56.83466667,-133.9148833,2005-10-11 14:22:00,"25",54,"11",7.95333333333333
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Port Camden",10,56.83216667,-133.8602,2005-10-11 15:02:00,"21",28,"7",8.06
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Port Camden",17,56.79621667,-133.9136333,2005-10-11 16:48:00,"2",29,"10",8.03
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Thomas Bay",4,57.00863333,-132.8939833,2005-10-08 08:46:00,"22",45,"11",6.906
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Thomas Bay",10,57.00076667,-132.9368833,2005-10-08 10:09:00,"6",47,"7",7.28
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Thomas Bay",14,57.01443333,-132.9433,2005-10-08 10:48:00,"7",63,"10",7.25
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Thomas Bay",21,57.01463333,-132.8971,2005-10-08 13:05:00,"3",47,"5",6.544
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Thomas Bay",27,57.03841667,-132.9547333,2005-10-09 07:32:00,"23",51,"11",6.97
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Thomas Bay",35,57.01335,-132.9689667,2005-10-09 08:59:00,"18",37,"10",7.25
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Thomas Bay",36,57.01023333,-132.9718833,2005-10-09 09:10:00,"15",23,"5",7.38
2005,"Tanner Crab Survey",1,"10/7/2005 0:00","10/15/2005 0:00","Thomas Bay",37,57.01428333,-132.9492667,2005-10-09 09:19:00,"7",63,"7",7.28
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Glacier Bay",1,58.62351667,-136.16105,2005-10-24 08:00:00,"7",70,"5",7.072
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Glacier Bay",4,58.65888333,-136.1884333,2005-10-24 08:44:00,"13",33,"7",7.44
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Glacier Bay",7,58.70256667,-136.1366667,2005-10-24 09:33:00,"19",43,"9",7.49
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Glacier Bay",10,58.70176667,-136.1024167,2005-10-24 10:20:00,"3",60,"10",7.25
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Glacier Bay",13,58.71275,-136.0469333,2005-10-24 11:01:00,"12",34,"11",7.43
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Glacier Bay",27,58.66623333,-136.087,2005-10-25 08:12:00,"4",76,"5",7.134
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Glacier Bay",36,58.60808333,-136.0790333,2005-10-25 10:11:00,"12",131,"11",6.2275
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Glacier Bay",39,58.592,-136.0199167,2005-10-25 10:49:00,"3",31,"10",7.41
2005,"Tanner Crab Survey",2,"10/20/2005 0:00","10/27/2005 0:00","Glacier Bay",42,58.60471667,-136.0293,2005-10-25 11:19:00,"19",90,"9",7.084
