Date	Time	Temperature  (*C)
10/20/05	13:54:06	19.89
10/20/05	17:24:06	6.81
10/20/05	20:54:06	6.81
10/21/05	00:24:06	6.34
10/21/05	03:54:06	6.66
10/21/05	07:24:06	6.81
10/21/05	10:54:06	5.09
10/21/05	14:24:06	6.18
10/21/05	17:54:06	6.50
10/21/05	21:24:06	6.66
10/22/05	00:54:06	6.50
10/22/05	04:24:06	6.50
10/22/05	07:54:06	6.50
10/22/05	11:24:06	6.50
10/22/05	14:54:06	8.68
10/22/05	18:24:06	5.87
10/22/05	21:54:06	5.56
10/23/05	01:24:06	6.50
10/23/05	04:54:06	5.40
10/23/05	08:24:06	3.21
10/23/05	11:54:06	2.41
10/23/05	15:24:06	7.44
10/23/05	18:54:06	7.44
10/23/05	22:24:06	7.44
10/24/05	01:54:06	7.44
10/24/05	05:24:06	7.44
10/24/05	08:54:06	7.44
10/24/05	12:24:06	6.03
10/24/05	15:54:06	4.31
10/24/05	19:24:06	7.13
10/24/05	22:54:06	7.13
10/25/05	02:24:06	6.97
10/25/05	05:54:06	7.13
10/25/05	09:24:06	7.13
10/25/05	12:54:06	4.62
10/25/05	16:24:06	6.50
10/25/05	19:54:06	6.50
10/25/05	23:24:06	6.50
10/26/05	02:54:06	6.66
10/26/05	06:24:06	6.81
10/26/05	09:54:06	4.46
10/26/05	13:24:06	5.40
10/26/05	16:54:06	7.44
10/26/05	20:24:06	7.44
10/26/05	23:54:06	7.44
10/27/05	03:24:06	7.44
10/27/05	06:54:06	7.28
10/27/05	10:24:06	4.31
10/27/05	13:54:06	17.94
10/27/05	17:24:06	21.04
