Date Time	Temperature  (*C)
10/10/06 	10:08:31.0	22.60
10/10/06 	11:08:31.0	19.81
10/10/06 	12:08:31.0	19.00
10/10/06 	13:08:31.0	17.39
10/10/06 	14:08:31.0	14.71
10/10/06 	15:08:31.0	5.75
10/10/06 	16:08:31.0	5.75
10/10/06 	17:08:31.0	5.75
10/10/06 	18:08:31.0	5.75
10/10/06 	19:08:31.0	5.91
10/10/06 	20:08:31.0	5.91
10/10/06 	21:08:31.0	5.91
10/10/06 	22:08:31.0	5.75
10/10/06 	23:08:31.0	5.75
10/11/06 	00:08:31.0	5.75
10/11/06 	01:08:31.0	5.91
10/11/06 	02:08:31.0	5.75
10/11/06 	03:08:31.0	5.75
10/11/06 	04:08:31.0	5.75
10/11/06 	05:08:31.0	5.75
10/11/06 	06:08:31.0	5.91
10/11/06 	07:08:31.0	5.75
10/11/06 	08:08:31.0	5.75
10/11/06 	09:08:31.0	5.75
10/11/06 	10:08:31.0	10.38
10/11/06 	11:08:31.0	9.76
10/11/06 	12:08:31.0	9.92
10/11/06 	13:08:31.0	9.92
10/11/06 	14:08:31.0	9.92
10/11/06 	15:08:31.0	10.07
10/11/06 	16:08:31.0	10.54
10/11/06 	17:08:31.0	11.00
10/11/06 	18:08:31.0	7.91
10/11/06 	19:08:31.0	7.91
10/11/06 	20:08:31.0	8.07
10/11/06 	21:08:31.0	8.07
10/11/06 	22:08:31.0	8.07
10/11/06 	23:08:31.0	8.22
10/12/06 	00:08:31.0	8.22
10/12/06 	01:08:31.0	8.37
10/12/06 	02:08:31.0	8.22
10/12/06 	03:08:31.0	8.22
10/12/06 	04:08:31.0	8.22
10/12/06 	05:08:31.0	7.91
10/12/06 	06:08:31.0	8.22
10/12/06 	07:08:31.0	8.37
10/12/06 	08:08:31.0	8.22
10/12/06 	09:08:31.0	8.22
10/12/06 	10:08:31.0	8.37
10/12/06 	11:08:31.0	8.22
10/12/06 	12:08:31.0	8.22
10/12/06 	13:08:31.0	7.14
10/12/06 	14:08:31.0	7.14
10/12/06 	15:08:31.0	7.45
10/12/06 	16:08:31.0	8.07
10/12/06 	17:08:31.0	6.99
