Date	Time	Temperature  (*C)
10/18/07	12:40:47	22.43
10/18/07	13:40:47	6.83
10/18/07	14:40:47	6.83
10/18/07	15:40:47	6.54
10/18/07	16:40:47	6.54
10/18/07	17:40:47	6.54
10/18/07	18:40:47	5.97
10/18/07	19:40:47	5.97
10/18/07	20:40:47	5.97
10/18/07	21:40:47	6.26
10/18/07	22:40:47	6.54
10/18/07	23:40:47	6.54
10/19/07	00:40:47	6.54
10/19/07	01:40:47	6.54
10/19/07	02:40:47	6.83
10/19/07	03:40:47	6.54
10/19/07	04:40:47	6.54
10/19/07	05:40:47	6.26
10/19/07	06:40:47	6.54
10/19/07	07:40:47	5.97
10/19/07	08:40:47	5.97
10/19/07	09:40:47	1.88
10/19/07	10:40:47	3.06
10/19/07	11:40:47	3.65
10/19/07	12:40:47	3.65
10/19/07	13:40:47	5.68
10/19/07	14:40:47	4.82
10/19/07	15:40:47	5.39
10/19/07	16:40:47	5.68
10/19/07	17:40:47	5.39
10/19/07	18:40:47	5.11
10/19/07	19:40:47	3.94
10/19/07	20:40:47	3.06
10/19/07	21:40:47	2.77
10/19/07	22:40:47	2.47
10/19/07	23:40:47	2.18
10/20/07	00:40:47	2.47
10/20/07	01:40:47	2.47
10/20/07	02:40:47	2.47
10/20/07	03:40:47	2.18
10/20/07	04:40:47	2.47
10/20/07	05:40:47	2.47
10/20/07	06:40:47	1.88
10/20/07	07:40:47	0.99
10/20/07	08:40:47	1.29
10/20/07	09:40:47	1.58
10/20/07	10:40:47	3.06
10/20/07	11:40:47	3.36
10/20/07	12:40:47	3.94
10/20/07	13:40:47	4.23
10/20/07	14:40:47	4.52
10/20/07	15:40:47	4.23
10/20/07	16:40:47	4.23
10/20/07	17:40:47	5.11
10/20/07	18:40:47	4.82
10/20/07	19:40:47	3.94
10/20/07	20:40:47	4.52
10/20/07	21:40:47	3.94
10/20/07	22:40:47	4.52
10/20/07	23:40:47	3.65
10/21/07	00:40:47	3.36
10/21/07	01:40:47	2.77
10/21/07	02:40:47	2.77
10/21/07	03:40:47	3.06
10/21/07	04:40:47	3.36
10/21/07	05:40:47	3.65
10/21/07	06:40:47	3.94
10/21/07	07:40:47	5.11
10/21/07	08:40:47	5.11
10/21/07	09:40:47	5.68
10/21/07	10:40:47	5.68
10/21/07	11:40:47	6.26
10/21/07	12:40:47	6.83
10/21/07	13:40:47	8.28
10/21/07	14:40:47	7.99
10/21/07	15:40:47	7.99
10/21/07	16:40:47	7.99
10/21/07	17:40:47	7.99
10/21/07	18:40:47	7.99
10/21/07	19:40:47	7.99
10/21/07	20:40:47	7.99
10/21/07	21:40:47	7.99
10/21/07	22:40:47	7.99
10/21/07	23:40:47	7.99
10/22/07	00:40:47	7.99
10/22/07	01:40:47	7.70
10/22/07	02:40:47	7.70
10/22/07	03:40:47	7.99
10/22/07	04:40:47	7.70
10/22/07	05:40:47	7.70
10/22/07	06:40:47	7.99
10/22/07	07:40:47	7.99
10/22/07	08:40:47	7.99
10/22/07	09:40:47	7.99
10/22/07	10:40:47	7.99
10/22/07	11:40:47	6.83
10/22/07	12:40:47	7.12
10/22/07	13:40:47	7.12
10/22/07	14:40:47	6.83
10/22/07	15:40:47	6.83
10/22/07	16:40:47	6.83
10/22/07	17:40:47	6.26
10/22/07	18:40:47	5.39
10/22/07	19:40:47	3.94
10/22/07	20:40:47	3.06
10/22/07	21:40:47	2.77
10/22/07	22:40:47	2.77
10/22/07	23:40:47	3.36
10/23/07	00:40:47	3.65
10/23/07	01:40:47	3.36
10/23/07	02:40:47	3.36
10/23/07	03:40:47	3.36
10/23/07	04:40:47	3.06
10/23/07	05:40:47	2.77
10/23/07	06:40:47	2.47
10/23/07	07:40:47	3.36
10/23/07	08:40:47	3.65
10/23/07	09:40:47	3.36
10/23/07	10:40:47	4.52
10/23/07	11:40:47	4.82
10/23/07	12:40:47	4.52
10/23/07	13:40:47	5.39
10/23/07	14:40:47	4.82
10/23/07	15:40:47	4.82
10/23/07	16:40:47	4.82
10/23/07	17:40:47	4.82
10/23/07	18:40:47	4.52
10/23/07	19:40:47	4.82
10/23/07	20:40:47	4.82
10/23/07	21:40:47	4.82
10/23/07	22:40:47	4.52
10/23/07	23:40:47	4.52
10/24/07	00:40:47	4.82
10/24/07	01:40:47	4.82
10/24/07	02:40:47	4.82
10/24/07	03:40:47	4.52
10/24/07	04:40:47	4.82
10/24/07	05:40:47	4.52
10/24/07	06:40:47	4.82
10/24/07	07:40:47	4.52
10/24/07	08:40:47	4.82
10/24/07	09:40:47	5.11
10/24/07	10:40:47	5.39
10/24/07	11:40:47	5.39
10/24/07	12:40:47	5.39
10/24/07	13:40:47	5.68
10/24/07	14:40:47	6.54
10/24/07	15:40:47	6.26
10/24/07	16:40:47	5.68
10/24/07	17:40:47	5.68
10/24/07	18:40:47	5.68
10/24/07	19:40:47	5.68
10/24/07	20:40:47	5.68
10/24/07	21:40:47	5.68
10/24/07	22:40:47	5.68
10/24/07	23:40:47	5.68
10/25/07	00:40:47	5.68
10/25/07	01:40:47	5.68
10/25/07	02:40:47	5.68
10/25/07	03:40:47	5.68
10/25/07	04:40:47	5.68
10/25/07	05:40:47	5.68
10/25/07	06:40:47	5.68
10/25/07	07:40:47	5.68
10/25/07	08:40:47	5.68
10/25/07	09:40:47	5.68
10/25/07	10:40:47	5.68
10/25/07	11:40:47	5.11
10/25/07	12:40:47	4.82
10/25/07	13:40:47	5.39
10/25/07	14:40:47	5.97
10/25/07	15:40:47	6.26
10/25/07	16:40:47	6.26
10/25/07	17:40:47	6.26
10/25/07	18:40:47	6.26
10/25/07	19:40:47	5.97
10/25/07	20:40:47	5.97
10/25/07	21:40:47	5.97
10/25/07	22:40:47	5.97
10/25/07	23:40:47	6.26
10/26/07	00:40:47	5.97
10/26/07	01:40:47	5.97
10/26/07	02:40:47	5.97
10/26/07	03:40:47	5.97
10/26/07	04:40:47	5.97
10/26/07	05:40:47	5.97
10/26/07	06:40:47	5.97
10/26/07	07:40:47	5.97
