date	time	temp
06/05/08	14:21:31.0	23.23
06/05/08	15:21:31.0	3.98
06/05/08	16:21:31.0	3.98
06/05/08	17:21:31.0	3.98
06/05/08	18:21:31.0	3.98
06/05/08	19:21:31.0	3.98
06/05/08	20:21:31.0	3.98
06/05/08	21:21:31.0	3.98
06/05/08	22:21:31.0	3.98
06/05/08	23:21:31.0	3.98
06/06/08	00:21:31.0	3.98
06/06/08	01:21:31.0	3.98
06/06/08	02:21:31.0	3.98
06/06/08	03:21:31.0	3.98
06/06/08	04:21:31.0	3.98
06/06/08	05:21:31.0	3.98
06/06/08	06:21:31.0	3.98
06/06/08	07:21:31.0	3.98
06/06/08	08:21:31.0	3.98
06/06/08	09:21:31.0	9.6
06/06/08	10:21:31.0	8.67
06/06/08	11:21:31.0	9.29
06/06/08	12:21:31.0	9.76
06/06/08	13:21:31.0	10.07
06/06/08	14:21:31.0	10.23
06/06/08	15:21:31.0	10.69
06/06/08	16:21:31.0	4.45
06/06/08	17:21:31.0	4.76
06/06/08	18:21:31.0	4.61
06/06/08	19:21:31.0	4.45
06/06/08	20:21:31.0	4.29
06/06/08	21:21:31.0	4.29
06/06/08	22:21:31.0	4.29
06/06/08	23:21:31.0	4.45
06/07/08	00:21:31.0	4.29
06/07/08	01:21:31.0	4.29
06/07/08	02:21:31.0	4.45
06/07/08	03:21:31.0	4.45
06/07/08	04:21:31.0	4.45
06/07/08	05:21:31.0	4.45
06/07/08	06:21:31.0	4.61
06/07/08	07:21:31.0	4.61
06/07/08	08:21:31.0	4.61
06/07/08	09:21:31.0	4.29
06/07/08	10:21:31.0	4.29
06/07/08	11:21:31.0	4.29
06/07/08	12:21:31.0	11.63
06/07/08	13:21:31.0	10.86
06/07/08	14:21:31.0	11.01
06/07/08	15:21:31.0	4.29
06/07/08	16:21:31.0	4.29
06/07/08	17:21:31.0	4.45
06/07/08	18:21:31.0	4.45
06/07/08	19:21:31.0	4.29
06/07/08	20:21:31.0	4.29
06/07/08	21:21:31.0	4.29
06/07/08	22:21:31.0	4.29
06/07/08	23:21:31.0	4.29
06/08/08	00:21:31.0	4.45
06/08/08	01:21:31.0	4.45
06/08/08	02:21:31.0	4.61
06/08/08	03:21:31.0	4.45
06/08/08	04:21:31.0	4.29
06/08/08	05:21:31.0	4.45
06/08/08	06:21:31.0	4.45
06/08/08	07:21:31.0	4.45
06/08/08	08:21:31.0	4.45
06/08/08	09:21:31.0	8.52
06/08/08	10:21:31.0	7.43
06/08/08	11:21:31.0	8.21
06/08/08	12:21:31.0	8.82
06/08/08	13:21:31.0	8.82
06/08/08	14:21:31.0	8.98
06/08/08	15:21:31.0	10.69
06/08/08	16:21:31.0	13.35
06/08/08	17:21:31.0	4.61
06/08/08	18:21:31.0	4.29
06/08/08	19:21:31.0	4.61
06/08/08	20:21:31.0	4.45
06/08/08	21:21:31.0	4.45
06/08/08	22:21:31.0	4.45
06/08/08	23:21:31.0	4.61
06/09/08	00:21:31.0	4.45
06/09/08	01:21:31.0	4.61
06/09/08	02:21:31.0	4.61
06/09/08	03:21:31.0	4.61
06/09/08	04:21:31.0	4.45
06/09/08	05:21:31.0	4.45
06/09/08	06:21:31.0	4.45
06/09/08	07:21:31.0	4.45
06/09/08	08:21:31.0	4.45
06/09/08	09:21:31.0	4.45
06/09/08	10:21:31.0	4.61
06/09/08	11:21:31.0	4.61
06/09/08	12:21:31.0	9.6
06/09/08	13:21:31.0	13.04
06/09/08	14:21:31.0	5.23
06/09/08	15:21:31.0	5.23
06/09/08	16:21:31.0	5.23
06/09/08	17:21:31.0	4.92
06/09/08	18:21:31.0	5.08
06/09/08	19:21:31.0	4.92
06/09/08	20:21:31.0	4.92
06/09/08	21:21:31.0	4.76
06/09/08	22:21:31.0	4.76
06/09/08	23:21:31.0	4.76
06/10/08	00:21:31.0	5.08
06/10/08	01:21:31.0	5.39
06/10/08	02:21:31.0	5.23
06/10/08	03:21:31.0	5.54
06/10/08	04:21:31.0	5.08
06/10/08	05:21:31.0	5.08
06/10/08	06:21:31.0	5.08
06/10/08	07:21:31.0	5.08
06/10/08	08:21:31.0	4.76
