Date 	Time 	Temp
10/02/08 	13:11:37.0	19.37
10/02/08 	14:11:37.0	11.75
10/02/08 	15:11:37.0	11.46
10/02/08 	16:11:37.0	6.57
10/02/08 	17:11:37.0	6.28
10/02/08 	18:11:37.0	5.99
10/02/08 	19:11:37.0	5.70
10/02/08 	20:11:37.0	5.99
10/02/08 	21:11:37.0	6.28
10/02/08 	22:11:37.0	6.28
10/02/08 	23:11:37.0	6.57
10/03/08 	00:11:37.0	6.86
10/03/08 	01:11:37.0	6.86
10/03/08 	02:11:37.0	6.86
10/03/08 	03:11:37.0	6.86
10/03/08 	04:11:37.0	6.57
10/03/08 	05:11:37.0	6.28
10/03/08 	06:11:37.0	5.99
10/03/08 	07:11:37.0	5.42
10/03/08 	08:11:37.0	5.70
10/03/08 	09:11:37.0	5.99
10/03/08 	10:11:37.0	6.28
10/03/08 	11:11:37.0	6.57
10/03/08 	12:11:37.0	6.57
10/03/08 	13:11:37.0	6.86
10/03/08 	14:11:37.0	7.43
10/03/08 	15:11:37.0	6.57
10/03/08 	16:11:37.0	6.86
10/03/08 	17:11:37.0	6.86
10/03/08 	18:11:37.0	6.57
10/03/08 	19:11:37.0	6.86
10/03/08 	20:11:37.0	6.57
10/03/08 	21:11:37.0	6.86
10/03/08 	22:11:37.0	6.57
10/03/08 	23:11:37.0	6.86
10/04/08 	00:11:37.0	6.57
10/04/08 	01:11:37.0	6.86
10/04/08 	02:11:37.0	6.86
10/04/08 	03:11:37.0	6.57
10/04/08 	04:11:37.0	6.57
10/04/08 	05:11:37.0	6.86
10/04/08 	06:11:37.0	6.86
10/04/08 	07:11:37.0	6.86
10/04/08 	08:11:37.0	5.13
10/04/08 	09:11:37.0	5.70
10/04/08 	10:11:37.0	4.54
10/04/08 	11:11:37.0	5.70
10/04/08 	12:11:37.0	6.57
10/04/08 	13:11:37.0	6.57
10/04/08 	14:11:37.0	6.57
10/04/08 	15:11:37.0	6.86
10/04/08 	16:11:37.0	6.86
10/04/08 	17:11:37.0	7.72
10/04/08 	18:11:37.0	7.43
10/04/08 	19:11:37.0	7.43
10/04/08 	20:11:37.0	7.43
10/04/08 	21:11:37.0	7.72
10/04/08 	22:11:37.0	8.01
10/04/08 	23:11:37.0	8.01
10/05/08 	00:11:37.0	8.30
10/05/08 	01:11:37.0	8.01
10/05/08 	02:11:37.0	7.72
10/05/08 	03:11:37.0	8.01
10/05/08 	04:11:37.0	7.72
10/05/08 	05:11:37.0	7.43
10/05/08 	06:11:37.0	7.43
10/05/08 	07:11:37.0	7.43
10/05/08 	08:11:37.0	7.43
10/05/08 	09:11:37.0	7.43
10/05/08 	10:11:37.0	7.72
10/05/08 	11:11:37.0	8.01
10/05/08 	12:11:37.0	8.88
10/05/08 	13:11:37.0	8.88
10/05/08 	14:11:37.0	8.30
10/05/08 	15:11:37.0	8.30
10/05/08 	16:11:37.0	8.30
10/05/08 	17:11:37.0	8.30
10/05/08 	18:11:37.0	8.30
10/05/08 	19:11:37.0	8.30
10/05/08 	20:11:37.0	8.30
10/05/08 	21:11:37.0	8.30
10/05/08 	22:11:37.0	8.30
10/05/08 	23:11:37.0	8.30
10/06/08 	00:11:37.0	8.30
10/06/08 	01:11:37.0	8.30
10/06/08 	02:11:37.0	8.30
10/06/08 	03:11:37.0	8.30
10/06/08 	04:11:37.0	8.30
10/06/08 	05:11:37.0	8.30
10/06/08 	06:11:37.0	8.30
10/06/08 	07:11:37.0	8.30
10/06/08 	08:11:37.0	8.30
10/06/08 	09:11:37.0	4.84
10/06/08 	10:11:37.0	5.99
10/06/08 	11:11:37.0	5.99
10/06/08 	12:11:37.0	6.86
10/06/08 	13:11:37.0	7.14
10/06/08 	14:11:37.0	7.14
10/06/08 	15:11:37.0	6.86
10/06/08 	16:11:37.0	6.57
10/06/08 	17:11:37.0	6.28
10/06/08 	18:11:37.0	5.99
10/06/08 	19:11:37.0	5.99
10/06/08 	20:11:37.0	4.84
10/06/08 	21:11:37.0	4.26
10/06/08 	22:11:37.0	3.67
10/06/08 	23:11:37.0	3.38
10/07/08 	00:11:37.0	2.79
10/07/08 	01:11:37.0	2.79
10/07/08 	02:11:37.0	2.49
10/07/08 	03:11:37.0	2.20
10/07/08 	04:11:37.0	1.91
10/07/08 	05:11:37.0	1.61
10/07/08 	06:11:37.0	1.31
10/07/08 	07:11:37.0	1.31
10/07/08 	08:11:37.0	1.31
10/07/08 	09:11:37.0	1.91
10/07/08 	10:11:37.0	2.79
