Date	Time	Temperature  (*C)
06/03/09	13:08:45	27.98
06/03/09	14:08:45	27.32
06/03/09	15:08:45	18.83
06/03/09	16:08:45	4.59
06/03/09	17:08:45	4.01
06/03/09	18:08:45	4.30
06/03/09	19:08:45	4.30
06/03/09	20:08:45	4.30
06/03/09	21:08:45	4.30
06/03/09	22:08:45	4.30
06/03/09	23:08:45	4.30
06/04/09	00:08:45	4.30
06/04/09	01:08:45	4.30
06/04/09	02:08:45	4.01
06/04/09	03:08:45	4.30
06/04/09	04:08:45	4.30
06/04/09	05:08:45	4.30
06/04/09	06:08:45	4.30
06/04/09	07:08:45	4.30
06/04/09	08:08:45	4.30
06/04/09	09:08:45	4.30
06/04/09	10:08:45	4.30
06/04/09	11:08:45	17.63
06/04/09	12:08:45	13.82
06/04/09	13:08:45	15.57
06/04/09	14:08:45	17.63
06/04/09	15:08:45	4.30
06/04/09	16:08:45	4.30
06/04/09	17:08:45	4.59
06/04/09	18:08:45	4.59
06/04/09	19:08:45	4.88
06/04/09	20:08:45	4.88
06/04/09	21:08:45	4.30
06/04/09	22:08:45	4.30
06/04/09	23:08:45	4.30
06/05/09	00:08:45	4.30
06/05/09	01:08:45	4.30
06/05/09	02:08:45	4.30
06/05/09	03:08:45	4.30
06/05/09	04:08:45	4.59
06/05/09	05:08:45	4.30
06/05/09	06:08:45	4.59
06/05/09	07:08:45	4.59
06/05/09	08:08:45	4.59
06/05/09	09:08:45	4.59
06/05/09	10:08:45	14.69
06/05/09	11:08:45	13.24
06/05/09	12:08:45	13.53
06/05/09	13:08:45	14.11
06/05/09	14:08:45	16.44
06/05/09	15:08:45	17.63
06/05/09	16:08:45	12.66
06/05/09	17:08:45	4.30
06/05/09	18:08:45	4.30
06/05/09	19:08:45	4.59
06/05/09	20:08:45	4.88
06/05/09	21:08:45	4.59
06/05/09	22:08:45	4.59
06/05/09	23:08:45	4.30
06/06/09	00:08:45	4.59
06/06/09	01:08:45	4.30
06/06/09	02:08:45	4.30
06/06/09	03:08:45	4.30
06/06/09	04:08:45	4.59
06/06/09	05:08:45	4.30
06/06/09	06:08:45	4.59
06/06/09	07:08:45	4.59
06/06/09	08:08:45	4.88
06/06/09	09:08:45	5.17
06/06/09	10:08:45	4.59
06/06/09	11:08:45	4.30
06/06/09	12:08:45	17.93
06/06/09	13:08:45	16.74
06/06/09	14:08:45	17.04
06/06/09	15:08:45	22.17
06/06/09	16:08:45	4.30
06/06/09	17:08:45	4.30
06/06/09	18:08:45	4.30
06/06/09	19:08:45	4.30
06/06/09	20:08:45	4.30
06/06/09	21:08:45	4.30
06/06/09	22:08:45	4.30
06/06/09	23:08:45	4.30
06/07/09	00:08:45	4.30
06/07/09	01:08:45	4.30
06/07/09	02:08:45	4.30
06/07/09	03:08:45	4.30
06/07/09	04:08:45	4.30
06/07/09	05:08:45	4.30
06/07/09	06:08:45	4.30
06/07/09	07:08:45	4.30
06/07/09	08:08:45	4.30
06/07/09	09:08:45	17.04
06/07/09	10:08:45	13.53
06/07/09	11:08:45	14.11
06/07/09	12:08:45	15.27
06/07/09	13:08:45	15.27
06/07/09	14:08:45	16.15
06/07/09	15:08:45	20.02
06/07/09	16:08:45	4.30
06/07/09	17:08:45	4.01
06/07/09	18:08:45	4.30
06/07/09	19:08:45	4.01
06/07/09	20:08:45	4.01
06/07/09	21:08:45	4.30
06/07/09	22:08:45	4.01
06/07/09	23:08:45	4.01
06/08/09	00:08:45	4.30
06/08/09	01:08:45	4.01
06/08/09	02:08:45	4.01
06/08/09	03:08:45	4.30
06/08/09	04:08:45	4.30
06/08/09	05:08:45	4.30
06/08/09	06:08:45	4.30
06/08/09	07:08:45	4.30
06/08/09	08:08:45	4.30
06/08/09	09:08:45	4.30
06/08/09	10:08:45	4.30
06/08/09	11:08:45	4.30
06/08/09	12:08:45	12.08
06/08/09	13:08:45	12.95
06/08/09	14:08:45	13.82
06/08/09	15:08:45	4.30
06/08/09	16:08:45	4.30
06/08/09	17:08:45	4.30
06/08/09	18:08:45	4.30
06/08/09	19:08:45	4.30
06/08/09	20:08:45	4.30
06/08/09	21:08:45	4.30
06/08/09	22:08:45	4.30
06/08/09	23:08:45	4.30
06/09/09	00:08:45	4.30
06/09/09	01:08:45	4.30
06/09/09	02:08:45	4.30
06/09/09	03:08:45	4.30
06/09/09	04:08:45	4.30
06/09/09	05:08:45	4.30
06/09/09	06:08:45	4.30
06/09/09	07:08:45	4.30
06/09/09	08:08:45	4.30
06/09/09	09:08:45	4.30
06/09/09	10:08:45	12.37
06/09/09	11:08:45	13.24
06/09/09	12:08:45	13.53
06/09/09	13:08:45	15.27
06/09/09	14:08:45	14.11
06/09/09	15:08:45	15.86
06/09/09	16:08:45	4.59
06/09/09	17:08:45	4.59
06/09/09	18:08:45	4.59
06/09/09	19:08:45	4.30
06/09/09	20:08:45	4.30
06/09/09	21:08:45	4.30
06/09/09	22:08:45	4.30
06/09/09	23:08:45	4.59
06/10/09	00:08:45	4.59
06/10/09	01:08:45	4.59
06/10/09	02:08:45	4.59
06/10/09	03:08:45	4.59
06/10/09	04:08:45	4.59
06/10/09	05:08:45	4.59
06/10/09	06:08:45	4.59
06/10/09	07:08:45	4.30
06/10/09	08:08:45	4.59
06/10/09	09:08:45	4.59
06/10/09	10:08:45	4.59
06/10/09	11:08:45	4.59
06/10/09	12:08:45	17.04
06/10/09	13:08:45	15.27
06/10/09	14:08:45	21.24
06/10/09	15:08:45	4.88
06/10/09	16:08:45	4.88
06/10/09	17:08:45	4.88
06/10/09	18:08:45	4.88
06/10/09	19:08:45	4.88
06/10/09	20:08:45	4.88
06/10/09	21:08:45	4.88
06/10/09	22:08:45	4.88
06/10/09	23:08:45	4.88
06/11/09	00:08:45	4.88
06/11/09	01:08:45	4.88
06/11/09	02:08:45	4.88
06/11/09	03:08:45	4.88
06/11/09	04:08:45	5.17
06/11/09	05:08:45	4.88
06/11/09	06:08:45	4.88
06/11/09	07:08:45	4.59
06/11/09	08:08:45	4.30
06/11/09	09:08:45	13.53
