"Date"	"Time"	"Temp"
"10/26/2009"	"08:08:04"	17.843
"10/26/2009"	"09:08:04"	6.712
"10/26/2009"	"10:08:04"	6.889
"10/26/2009"	"11:08:04"	7.142
"10/26/2009"	"12:08:04"	7.695
"10/26/2009"	"01:08:04"	8.99
"10/26/2009"	"02:08:04"	8.568
"10/26/2009"	"03:08:04"	8.319
"10/26/2009"	"04:08:04"	7.318
"10/26/2009"	"05:08:04"	7.444
"10/26/2009"	"06:08:04"	7.242
"10/26/2009"	"07:08:04"	6.585
"10/26/2009"	"08:08:04"	6.408
"10/26/2009"	"09:08:04"	6.357
"10/26/2009"	"10:08:04"	6.255
"10/26/2009"	"11:08:04"	6.051
"10/27/2009"	"12:08:04"	5.898
"10/27/2009"	"01:08:04"	5.975
"10/27/2009"	"02:08:04"	5.796
"10/27/2009"	"03:08:04"	5.024
"10/27/2009"	"04:08:04"	4.947
"10/27/2009"	"05:08:04"	5.128
"10/27/2009"	"06:08:04"	5.693
"10/27/2009"	"07:08:04"	6.23
"10/27/2009"	"08:08:04"	5.719
"10/27/2009"	"09:08:04"	6.153
"10/27/2009"	"10:08:04"	5.693
"10/27/2009"	"11:08:04"	5.488
"10/27/2009"	"12:08:04"	5.898
"10/27/2009"	"01:08:04"	6.408
"10/27/2009"	"02:08:04"	6.864
"10/27/2009"	"03:08:04"	6.331
"10/27/2009"	"04:08:04"	6.509
"10/27/2009"	"05:08:04"	6.102
"10/27/2009"	"06:08:04"	5.437
"10/27/2009"	"07:08:04"	4.973
"10/27/2009"	"08:08:04"	4.921
"10/27/2009"	"09:08:04"	5.076
"10/27/2009"	"10:08:04"	5.154
"10/27/2009"	"11:08:04"	5.128
"10/28/2009"	"12:08:04"	4.714
"10/28/2009"	"01:08:04"	4.376
"10/28/2009"	"02:08:04"	4.532
"10/28/2009"	"03:08:04"	4.298
"10/28/2009"	"04:08:04"	4.22
"10/28/2009"	"05:08:04"	4.168
"10/28/2009"	"06:08:04"	4.298
"10/28/2009"	"07:08:04"	4.246
"10/28/2009"	"08:08:04"	3.722
"10/28/2009"	"09:08:04"	4.089
"10/28/2009"	"10:08:04"	4.428
"10/28/2009"	"11:08:04"	4.454
"10/28/2009"	"12:08:04"	4.766
"10/28/2009"	"01:08:04"	4.792
"10/28/2009"	"02:08:04"	4.999
"10/28/2009"	"03:08:04"	4.844
"10/28/2009"	"04:08:04"	4.921
"10/28/2009"	"05:08:04"	5.076
"10/28/2009"	"06:08:04"	4.662
"10/28/2009"	"07:08:04"	4.428
"10/28/2009"	"08:08:04"	5.128
"10/28/2009"	"09:08:04"	5.128
"10/28/2009"	"10:08:04"	5.205
"10/28/2009"	"11:08:04"	5.024
"10/29/2009"	"12:08:04"	5.205
"10/29/2009"	"01:08:04"	5.05
"10/29/2009"	"02:08:04"	4.636
"10/29/2009"	"03:08:04"	4.168
"10/29/2009"	"04:08:04"	3.985
"10/29/2009"	"05:08:04"	3.591
"10/29/2009"	"06:08:04"	2.956
"10/29/2009"	"07:08:04"	2.983
"10/29/2009"	"08:08:04"	3.089
"10/29/2009"	"09:08:04"	3.274
"10/29/2009"	"10:08:04"	3.67
"10/29/2009"	"11:08:04"	3.932
"10/29/2009"	"12:08:04"	4.636
"10/29/2009"	"01:08:04"	4.558
"10/29/2009"	"02:08:04"	4.089
"10/29/2009"	"03:08:04"	3.512
"10/29/2009"	"04:08:04"	3.512
"10/29/2009"	"05:08:04"	5.514
