Date 	Time 	Temp
10/22/09	11:01:10.0 	26.573
10/22/09	12:01:10.0 	24.532
10/22/09	13:01:10.0 	13.738
10/22/09	14:01:10.0 	8.195
10/22/09	15:01:10.0 	7.167
10/22/09	16:01:10.0 	7.116
10/22/09	17:01:10.0 	7.142
10/22/09	18:01:10.0 	7.066
10/22/09	19:01:10.0 	7.041
10/22/09	20:01:10.0 	7.041
10/22/09	21:01:10.0 	7.066
10/22/09	22:01:10.0 	7.066
10/22/09	23:01:10.0 	7.091
10/23/09	00:01:10.0 	7.116
10/23/09	01:01:10.0 	7.217
10/23/09	02:01:10.0 	7.217
10/23/09	03:01:10.0 	7.217
10/23/09	04:01:10.0 	7.167
10/23/09	05:01:10.0 	7.192
10/23/09	06:01:10.0 	7.167
10/23/09	07:01:10.0 	6.990
10/23/09	08:01:10.0 	6.965
10/23/09	09:01:10.0 	6.990
10/23/09	10:01:10.0 	7.041
10/23/09	11:01:10.0 	7.066
10/23/09	12:01:10.0 	7.945
10/23/09	13:01:10.0 	7.594
10/23/09	14:01:10.0 	8.841
10/23/09	15:01:10.0 	6.585
10/23/09	16:01:10.0 	6.611
10/23/09	17:01:10.0 	6.611
10/23/09	18:01:10.0 	6.636
10/23/09	19:01:10.0 	6.661
10/23/09	20:01:10.0 	6.661
10/23/09	21:01:10.0 	6.712
10/23/09	22:01:10.0 	6.737
10/23/09	23:01:10.0 	6.636
10/24/09	00:01:10.0 	6.611
10/24/09	01:01:10.0 	6.636
10/24/09	02:01:10.0 	6.661
10/24/09	03:01:10.0 	6.636
10/24/09	04:01:10.0 	6.611
10/24/09	05:01:10.0 	6.611
10/24/09	06:01:10.0 	6.661
10/24/09	07:01:10.0 	6.636
10/24/09	08:01:10.0 	6.611
10/24/09	09:01:10.0 	5.514
10/24/09	10:01:10.0 	5.539
10/24/09	11:01:10.0 	6.331
10/24/09	12:01:10.0 	6.712
10/24/09	13:01:10.0 	6.788
10/24/09	14:01:10.0 	6.433
10/24/09	15:01:10.0 	6.788
10/24/09	16:01:10.0 	6.458
10/24/09	17:01:10.0 	7.619
10/24/09	18:01:10.0 	7.594
10/24/09	19:01:10.0 	7.594
10/24/09	20:01:10.0 	7.670
10/24/09	21:01:10.0 	7.695
10/24/09	22:01:10.0 	7.619
10/24/09	23:01:10.0 	7.670
10/25/09	00:01:10.0 	7.695
10/25/09	01:01:10.0 	7.720
10/25/09	02:01:10.0 	7.695
10/25/09	03:01:10.0 	7.519
10/25/09	04:01:10.0 	7.670
10/25/09	05:01:10.0 	7.695
10/25/09	06:01:10.0 	7.494
10/25/09	07:01:10.0 	7.444
10/25/09	08:01:10.0 	7.544
10/25/09	09:01:10.0 	7.469
10/25/09	10:01:10.0 	7.318
10/25/09	11:01:10.0 	7.419
10/25/09	12:01:10.0 	7.444
10/25/09	13:01:10.0 	7.444
10/25/09	14:01:10.0 	7.945
10/25/09	15:01:10.0 	7.945
10/25/09	16:01:10.0 	7.945
10/25/09	17:01:10.0 	7.920
10/25/09	18:01:10.0 	7.945
10/25/09	19:01:10.0 	7.945
10/25/09	20:01:10.0 	7.945
10/25/09	21:01:10.0 	7.970
10/25/09	22:01:10.0 	7.970
10/25/09	23:01:10.0 	7.995
10/26/09	00:01:10.0 	8.020
10/26/09	01:01:10.0 	8.020
10/26/09	02:01:10.0 	8.020
10/26/09	03:01:10.0 	7.945
10/26/09	04:01:10.0 	7.945
10/26/09	05:01:10.0 	7.970
10/26/09	06:01:10.0 	7.970
10/26/09	07:01:10.0 	7.970
10/26/09	08:01:10.0 	7.920
10/26/09	09:01:10.0 	7.920
10/26/09	10:01:10.0 	5.796
10/26/09	11:01:10.0 	6.128
10/26/09	12:01:10.0 	6.788
10/26/09	13:01:10.0 	7.720
10/26/09	14:01:10.0 	7.293
10/26/09	15:01:10.0 	7.091
10/26/09	16:01:10.0 	6.408
10/26/09	17:01:10.0 	6.813
10/26/09	18:01:10.0 	6.585
10/26/09	19:01:10.0 	6.255
10/26/09	20:01:10.0 	5.745
10/26/09	21:01:10.0 	5.462
10/26/09	22:01:10.0 	5.693
10/26/09	23:01:10.0 	5.437
10/27/09	00:01:10.0 	5.334
10/27/09	01:01:10.0 	5.282
10/27/09	02:01:10.0 	4.792
10/27/09	03:01:10.0 	4.168
10/27/09	04:01:10.0 	4.089
10/27/09	05:01:10.0 	4.350
10/27/09	06:01:10.0 	5.024
10/27/09	07:01:10.0 	5.102
10/27/09	08:01:10.0 	4.947
10/27/09	09:01:10.0 	4.947
10/27/09	10:01:10.0 	5.128
10/27/09	11:01:10.0 	4.947
10/27/09	12:01:10.0 	5.050
10/27/09	13:01:10.0 	5.693
10/27/09	14:01:10.0 	6.026
10/27/09	15:01:10.0 	5.642
10/27/09	16:01:10.0 	5.642
10/27/09	17:01:10.0 	5.642
10/27/09	18:01:10.0 	5.642
10/27/09	19:01:10.0 	5.642
10/27/09	20:01:10.0 	5.642
10/27/09	21:01:10.0 	5.642
10/27/09	22:01:10.0 	5.642
10/27/09	23:01:10.0 	5.642
10/28/09	00:01:10.0 	5.668
10/28/09	01:01:10.0 	5.668
10/28/09	02:01:10.0 	5.668
