Date	Time	Temp (°C) c:1
07/13/10	07:18:22.0 	20.388
07/13/10	08:18:22.0 	15.963
07/13/10	09:18:22.0 	14.218
07/13/10	10:18:22.0 	14.026
07/13/10	11:18:22.0 	15.366
07/13/10	12:18:22.0 	13.666
07/13/10	13:18:22.0 	6.661
07/13/10	14:18:22.0 	6.636
07/13/10	15:18:22.0 	6.611
07/13/10	16:18:22.0 	6.661
07/13/10	17:18:22.0 	6.636
07/13/10	18:18:22.0 	6.661
07/13/10	19:18:22.0 	6.661
07/13/10	20:18:22.0 	6.687
07/13/10	21:18:22.0 	6.687
07/13/10	22:18:22.0 	6.661
07/13/10	23:18:22.0 	6.687
07/14/10	00:18:22.0 	6.687
07/14/10	01:18:22.0 	6.661
07/14/10	02:18:22.0 	6.712
07/14/10	03:18:22.0 	6.712
07/14/10	04:18:22.0 	6.737
07/14/10	05:18:22.0 	6.661
07/14/10	06:18:22.0 	6.687
07/14/10	07:18:22.0 	6.712
07/14/10	08:18:22.0 	10.492
07/14/10	09:18:22.0 	10.100
07/14/10	10:18:22.0 	9.952
07/14/10	11:18:22.0 	9.460
07/14/10	12:18:22.0 	9.386
07/14/10	13:18:22.0 	9.534
07/14/10	14:18:22.0 	9.485
07/14/10	15:18:22.0 	9.854
07/14/10	16:18:22.0 	11.419
07/14/10	17:18:22.0 	10.785
07/14/10	18:18:22.0 	9.706
07/14/10	19:18:22.0 	9.460
07/14/10	20:18:22.0 	9.336
07/14/10	21:18:22.0 	9.213
07/14/10	22:18:22.0 	8.841
07/14/10	23:18:22.0 	8.817
07/15/10	00:18:22.0 	8.742
07/15/10	01:18:22.0 	8.792
07/15/10	02:18:22.0 	8.494
07/15/10	03:18:22.0 	8.270
07/15/10	04:18:22.0 	8.145
07/15/10	05:18:22.0 	8.245
07/15/10	06:18:22.0 	9.312
07/15/10	07:18:22.0 	11.029
07/15/10	08:18:22.0 	10.124
07/15/10	09:18:22.0 	10.051
07/15/10	10:18:22.0 	10.124
07/15/10	11:18:22.0 	9.952
07/15/10	12:18:22.0 	10.296
07/15/10	13:18:22.0 	10.663
07/15/10	14:18:22.0 	11.346
07/15/10	15:18:22.0 	11.224
07/15/10	16:18:22.0 	11.127
07/15/10	17:18:22.0 	12.195
07/15/10	18:18:22.0 	11.516
07/15/10	19:18:22.0 	11.565
07/15/10	20:18:22.0 	11.273
07/15/10	21:18:22.0 	10.932
07/15/10	22:18:22.0 	10.687
07/15/10	23:18:22.0 	10.467
07/16/10	00:18:22.0 	10.394
07/16/10	01:18:22.0 	10.320
07/16/10	02:18:22.0 	10.247
07/16/10	03:18:22.0 	10.075
07/16/10	04:18:22.0 	9.928
07/16/10	05:18:22.0 	9.854
07/16/10	06:18:22.0 	10.051
07/16/10	07:18:22.0 	10.369
07/16/10	08:18:22.0 	10.956
07/16/10	09:18:22.0 	10.932
07/16/10	10:18:22.0 	10.932
07/16/10	11:18:22.0 	11.467
07/16/10	12:18:22.0 	11.200
07/16/10	13:18:22.0 	11.516
07/16/10	14:18:22.0 	12.630
07/16/10	15:18:22.0 	12.461
07/16/10	16:18:22.0 	12.703
07/16/10	17:18:22.0 	12.268
07/16/10	18:18:22.0 	12.437
07/16/10	19:18:22.0 	12.292
07/16/10	20:18:22.0 	12.122
07/16/10	21:18:22.0 	12.243
07/16/10	22:18:22.0 	12.268
07/16/10	23:18:22.0 	11.832
07/17/10	00:18:22.0 	11.613
07/17/10	01:18:22.0 	11.370
07/17/10	02:18:22.0 	11.856
07/17/10	03:18:22.0 	11.953
07/17/10	04:18:22.0 	11.734
07/17/10	05:18:22.0 	11.613
07/17/10	06:18:22.0 	11.734
07/17/10	07:18:22.0 	12.074
07/17/10	08:18:22.0 	12.147
07/17/10	09:18:22.0 	13.137
07/17/10	10:18:22.0 	13.762
07/17/10	11:18:22.0 	13.978
07/17/10	12:18:22.0 	13.594
07/17/10	13:18:22.0 	14.457
07/17/10	14:18:22.0 	15.031
07/17/10	15:18:22.0 	16.082
07/17/10	16:18:22.0 	5.668
07/17/10	17:18:22.0 	5.693
07/17/10	18:18:22.0 	5.693
07/17/10	19:18:22.0 	5.693
07/17/10	20:18:22.0 	5.693
07/17/10	21:18:22.0 	5.693
07/17/10	22:18:22.0 	5.693
07/17/10	23:18:22.0 	5.693
07/18/10	00:18:22.0 	5.693
07/18/10	01:18:22.0 	5.693
07/18/10	02:18:22.0 	5.693
07/18/10	03:18:22.0 	5.693
07/18/10	04:18:22.0 	5.668
07/18/10	05:18:22.0 	5.668
07/18/10	06:18:22.0 	5.668
07/18/10	07:18:22.0 	5.693
07/18/10	08:18:22.0 	5.693
07/18/10	09:18:22.0 	5.693
07/18/10	10:18:22.0 	5.693
07/18/10	11:18:22.0 	5.693
07/18/10	12:18:22.0 	14.361
07/18/10	13:18:22.0 	17.296
07/18/10	14:18:22.0 	7.268
07/18/10	15:18:22.0 	7.217
07/18/10	16:18:22.0 	6.889
07/18/10	17:18:22.0 	6.864
07/18/10	18:18:22.0 	6.813
07/18/10	19:18:22.0 	6.813
07/18/10	20:18:22.0 	6.813
07/18/10	21:18:22.0 	6.864
07/18/10	22:18:22.0 	7.091
07/18/10	23:18:22.0 	7.142
07/19/10	00:18:22.0 	7.293
07/19/10	01:18:22.0 	7.619
07/19/10	02:18:22.0 	7.393
07/19/10	03:18:22.0 	7.217
07/19/10	04:18:22.0 	6.813
07/19/10	05:18:22.0 	6.737
07/19/10	06:18:22.0 	6.636
07/19/10	07:18:22.0 	6.611
07/19/10	08:18:22.0 	11.321
07/19/10	09:18:22.0 	11.419
07/19/10	10:18:22.0 	11.419
07/19/10	11:18:22.0 	11.710
07/19/10	12:18:22.0 	12.364
07/19/10	13:18:22.0 	13.329
07/19/10	14:18:22.0 	13.401
07/19/10	15:18:22.0 	15.605
07/19/10	16:18:22.0 	15.652
07/19/10	17:18:22.0 	16.439
07/19/10	18:18:22.0 	15.915
07/19/10	19:18:22.0 	15.031
07/19/10	20:18:22.0 	14.697
07/19/10	21:18:22.0 	14.314
07/19/10	22:18:22.0 	13.858
07/19/10	23:18:22.0 	13.425
07/20/10	00:18:22.0 	12.968
07/20/10	01:18:22.0 	12.534
07/20/10	02:18:22.0 	11.929
07/20/10	03:18:22.0 	11.904
