Date	Time	Temperature  (*C)
09/27/10	15:27:27	24.98
09/27/10	16:27:27	24.46
09/27/10	17:27:27	25.49
09/27/10	18:27:27	26.02
09/27/10	19:27:27	26.19
09/27/10	20:27:27	26.02
09/27/10	21:27:27	25.84
09/27/10	22:27:27	25.67
09/27/10	23:27:27	25.67
09/28/10	00:27:27	25.49
09/28/10	01:27:27	25.15
09/28/10	02:27:27	24.98
09/28/10	03:27:27	24.80
09/28/10	04:27:27	24.63
09/28/10	05:27:27	24.80
09/28/10	06:27:27	24.80
09/28/10	07:27:27	24.11
09/28/10	08:27:27	23.59
09/28/10	09:27:27	22.92
09/28/10	10:27:27	22.58
09/28/10	11:27:27	22.41
09/28/10	12:27:27	22.92
09/28/10	13:27:27	23.08
09/28/10	14:27:27	23.26
09/28/10	15:27:27	23.26
09/28/10	16:27:27	23.26
09/28/10	17:27:27	22.74
09/28/10	18:27:27	22.41
09/28/10	19:27:27	22.08
09/28/10	20:27:27	21.74
09/28/10	21:27:27	21.58
09/28/10	22:27:27	21.41
09/28/10	23:27:27	21.25
09/29/10	00:27:27	21.41
09/29/10	01:27:27	21.41
09/29/10	02:27:27	21.58
09/29/10	03:27:27	21.58
09/29/10	04:27:27	21.58
09/29/10	05:27:27	21.74
09/29/10	06:27:27	21.74
09/29/10	07:27:27	21.58
09/29/10	08:27:27	21.74
09/29/10	09:27:27	21.91
09/29/10	10:27:27	21.91
09/29/10	11:27:27	22.08
09/29/10	12:27:27	21.91
09/29/10	13:27:27	13.57
09/29/10	14:27:27	5.64
09/29/10	15:27:27	5.64
09/29/10	16:27:27	5.64
09/29/10	17:27:27	5.64
09/29/10	18:27:27	5.64
09/29/10	19:27:27	5.64
09/29/10	20:27:27	5.64
09/29/10	21:27:27	5.64
09/29/10	22:27:27	5.64
09/29/10	23:27:27	5.64
09/30/10	00:27:27	5.64
09/30/10	01:27:27	5.64
09/30/10	02:27:27	5.64
09/30/10	03:27:27	5.64
09/30/10	04:27:27	5.64
09/30/10	05:27:27	5.64
09/30/10	06:27:27	5.64
09/30/10	07:27:27	5.64
09/30/10	08:27:27	5.64
09/30/10	09:27:27	7.82
09/30/10	10:27:27	7.98
09/30/10	11:27:27	7.98
09/30/10	12:27:27	8.75
09/30/10	13:27:27	9.22
09/30/10	14:27:27	9.53
09/30/10	15:27:27	9.68
09/30/10	16:27:27	9.06
09/30/10	17:27:27	9.37
09/30/10	18:27:27	8.13
09/30/10	19:27:27	7.67
09/30/10	20:27:27	7.20
09/30/10	21:27:27	7.51
09/30/10	22:27:27	6.73
09/30/10	23:27:27	5.95
10/01/10	00:27:27	5.33
10/01/10	01:27:27	5.02
10/01/10	02:27:27	5.02
10/01/10	03:27:27	4.71
10/01/10	04:27:27	4.08
10/01/10	05:27:27	3.76
10/01/10	06:27:27	3.29
10/01/10	07:27:27	3.44
10/01/10	08:27:27	5.17
10/01/10	09:27:27	6.89
10/01/10	10:27:27	7.20
10/01/10	11:27:27	7.51
10/01/10	12:27:27	7.67
10/01/10	13:27:27	8.44
10/01/10	14:27:27	10.15
10/01/10	15:27:27	10.15
10/01/10	16:27:27	10.31
10/01/10	17:27:27	10.15
10/01/10	18:27:27	9.68
10/01/10	19:27:27	9.68
10/01/10	20:27:27	9.37
10/01/10	21:27:27	9.37
10/01/10	22:27:27	9.22
10/01/10	23:27:27	8.91
10/02/10	00:27:27	8.75
10/02/10	01:27:27	8.44
10/02/10	02:27:27	8.44
10/02/10	03:27:27	8.29
10/02/10	04:27:27	8.44
10/02/10	05:27:27	8.44
10/02/10	06:27:27	7.67
10/02/10	07:27:27	7.36
10/02/10	08:27:27	7.36
10/02/10	09:27:27	7.82
10/02/10	10:27:27	7.98
10/02/10	11:27:27	8.13
10/02/10	12:27:27	8.29
10/02/10	13:27:27	7.36
10/02/10	14:27:27	7.20
10/02/10	15:27:27	8.91
10/02/10	16:27:27	7.98
10/02/10	17:27:27	6.58
10/02/10	18:27:27	6.58
10/02/10	19:27:27	6.58
10/02/10	20:27:27	6.58
10/02/10	21:27:27	6.42
10/02/10	22:27:27	6.42
10/02/10	23:27:27	6.42
10/03/10	00:27:27	6.42
10/03/10	01:27:27	6.27
10/03/10	02:27:27	6.42
10/03/10	03:27:27	6.42
10/03/10	04:27:27	6.27
10/03/10	05:27:27	6.27
10/03/10	06:27:27	6.27
10/03/10	07:27:27	6.42
10/03/10	08:27:27	6.73
10/03/10	09:27:27	6.73
10/03/10	10:27:27	6.89
10/03/10	11:27:27	6.89
10/03/10	12:27:27	6.89
10/03/10	13:27:27	6.73
10/03/10	14:27:27	6.89
10/03/10	15:27:27	6.42
10/03/10	16:27:27	5.48
10/03/10	17:27:27	5.02
10/03/10	18:27:27	5.17
10/03/10	19:27:27	4.86
10/03/10	20:27:27	4.86
10/03/10	21:27:27	4.86
10/03/10	22:27:27	5.02
10/03/10	23:27:27	5.02
10/04/10	00:27:27	5.02
10/04/10	01:27:27	3.76
10/04/10	02:27:27	2.66
10/04/10	03:27:27	1.86
10/04/10	04:27:27	2.02
10/04/10	05:27:27	2.18
10/04/10	06:27:27	3.44
10/04/10	07:27:27	3.76
10/04/10	08:27:27	5.95
10/04/10	09:27:27	6.11
10/04/10	10:27:27	6.58
10/04/10	11:27:27	6.89
10/04/10	12:27:27	7.36
10/04/10	13:27:27	7.51
10/04/10	14:27:27	7.51
10/04/10	15:27:27	8.13
10/04/10	16:27:27	8.91
10/04/10	17:27:27	7.51
10/04/10	18:27:27	6.89
10/04/10	19:27:27	6.73
10/04/10	20:27:27	6.73
10/04/10	21:27:27	5.33
10/04/10	22:27:27	5.02
10/04/10	23:27:27	5.02
10/05/10	00:27:27	4.71
10/05/10	01:27:27	4.39
10/05/10	02:27:27	4.39
10/05/10	03:27:27	3.76
10/05/10	04:27:27	3.76
10/05/10	05:27:27	3.76
10/05/10	06:27:27	3.60
10/05/10	07:27:27	3.76
10/05/10	08:27:27	2.97
10/05/10	09:27:27	3.29
10/05/10	10:27:27	3.29
10/05/10	11:27:27	4.08
10/05/10	12:27:27	5.48
10/05/10	13:27:27	8.75
10/05/10	14:27:27	8.91
10/05/10	15:27:27	9.37
10/05/10	16:27:27	9.06
10/05/10	17:27:27	9.53
10/05/10	18:27:27	8.75
10/05/10	19:27:27	8.91
10/05/10	20:27:27	8.29
10/05/10	21:27:27	8.75
10/05/10	22:27:27	7.82
10/05/10	23:27:27	7.20
10/06/10	00:27:27	7.20
10/06/10	01:27:27	7.20
10/06/10	02:27:27	7.20
10/06/10	03:27:27	7.04
10/06/10	04:27:27	6.89
10/06/10	05:27:27	6.73
10/06/10	06:27:27	6.58
10/06/10	07:27:27	6.58
10/06/10	08:27:27	6.89
10/06/10	09:27:27	7.20
10/06/10	10:27:27	7.36
10/06/10	11:27:27	7.51
10/06/10	12:27:27	7.98
10/06/10	13:27:27	8.13
10/06/10	14:27:27	8.59
10/06/10	15:27:27	9.22
10/06/10	16:27:27	11.54
10/06/10	17:27:27	10.62
10/06/10	18:27:27	8.59
10/06/10	19:27:27	8.13
10/06/10	20:27:27	7.67
10/06/10	21:27:27	7.67
10/06/10	22:27:27	7.67
10/06/10	23:27:27	7.51
10/07/10	00:27:27	7.67
10/07/10	01:27:27	6.89
10/07/10	02:27:27	6.42
10/07/10	03:27:27	5.79
10/07/10	04:27:27	5.33
10/07/10	05:27:27	5.02
10/07/10	06:27:27	4.71
10/07/10	07:27:27	5.79
10/07/10	08:27:27	5.95
10/07/10	09:27:27	5.79
10/07/10	10:27:27	6.11
10/07/10	11:27:27	6.27
10/07/10	12:27:27	6.89
10/07/10	13:27:27	7.51
10/07/10	14:27:27	8.29
10/07/10	15:27:27	7.98
10/07/10	16:27:27	8.13
10/07/10	17:27:27	7.98
10/07/10	18:27:27	7.51
10/07/10	19:27:27	7.51
10/07/10	20:27:27	7.36
10/07/10	21:27:27	7.04
10/07/10	22:27:27	6.58
10/07/10	23:27:27	5.95
10/08/10	00:27:27	5.17
10/08/10	01:27:27	4.71
10/08/10	02:27:27	4.71
10/08/10	03:27:27	5.17
10/08/10	04:27:27	5.33
10/08/10	05:27:27	5.64
10/08/10	06:27:27	5.95
10/08/10	07:27:27	6.73
10/08/10	08:27:27	6.89
10/08/10	09:27:27	6.89
10/08/10	10:27:27	7.36
10/08/10	11:27:27	7.67
10/08/10	12:27:27	7.98
10/08/10	13:27:27	8.13
10/08/10	14:27:27	8.59
10/08/10	15:27:27	9.84
10/08/10	16:27:27	9.99
10/08/10	17:27:27	9.22
10/08/10	18:27:27	8.44
10/08/10	19:27:27	7.51
10/08/10	20:27:27	7.20
10/08/10	21:27:27	7.36
10/08/10	22:27:27	8.44
10/08/10	23:27:27	11.08
10/09/10	00:27:27	9.22
10/09/10	01:27:27	8.75
10/09/10	02:27:27	8.44
10/09/10	03:27:27	8.91
10/09/10	04:27:27	9.68
10/09/10	05:27:27	9.06
10/09/10	06:27:27	8.75
10/09/10	07:27:27	7.98
10/09/10	08:27:27	7.36
