Date Time	Temperature  (*C)
07/07/11 	09:13:05.0	21.92
07/07/11 	10:13:05.0	18.33
07/07/11 	11:13:05.0	16.88
07/07/11 	12:13:05.0	16.09
07/07/11 	13:13:05.0	15.94
07/07/11 	14:13:05.0	14.83
07/07/11 	15:13:05.0	5.36
07/07/11 	16:13:05.0	5.36
07/07/11 	17:13:05.0	5.36
07/07/11 	18:13:05.0	5.52
07/07/11 	19:13:05.0	5.52
07/07/11 	20:13:05.0	5.52
07/07/11 	21:13:05.0	5.52
07/07/11 	22:13:05.0	5.67
07/07/11 	23:13:05.0	5.52
07/08/11 	00:13:05.0	5.36
07/08/11 	01:13:05.0	5.36
07/08/11 	02:13:05.0	5.36
07/08/11 	03:13:05.0	5.36
07/08/11 	04:13:05.0	5.36
07/08/11 	05:13:05.0	5.36
07/08/11 	06:13:05.0	5.36
07/08/11 	07:13:05.0	5.36
07/08/11 	08:13:05.0	5.52
07/08/11 	09:13:05.0	5.67
07/08/11 	10:13:05.0	5.36
07/08/11 	11:13:05.0	12.18
07/08/11 	12:13:05.0	11.88
07/08/11 	13:13:05.0	12.49
07/08/11 	14:13:05.0	5.98
07/08/11 	15:13:05.0	5.52
07/08/11 	16:13:05.0	5.36
07/08/11 	17:13:05.0	5.36
07/08/11 	18:13:05.0	5.36
07/08/11 	19:13:05.0	5.36
07/08/11 	20:13:05.0	5.36
07/08/11 	21:13:05.0	5.52
07/08/11 	22:13:05.0	5.36
07/08/11 	23:13:05.0	5.21
07/09/11 	00:13:05.0	5.21
07/09/11 	01:13:05.0	5.21
07/09/11 	02:13:05.0	5.67
07/09/11 	03:13:05.0	5.67
07/09/11 	04:13:05.0	5.36
07/09/11 	05:13:05.0	5.36
07/09/11 	06:13:05.0	5.52
07/09/11 	07:13:05.0	5.52
07/09/11 	08:13:05.0	5.52
07/09/11 	09:13:05.0	12.03
07/09/11 	10:13:05.0	12.18
07/09/11 	11:13:05.0	12.18
07/09/11 	12:13:05.0	13.27
07/09/11 	13:13:05.0	12.65
07/09/11 	14:13:05.0	5.36
07/09/11 	15:13:05.0	5.36
07/09/11 	16:13:05.0	5.36
07/09/11 	17:13:05.0	5.36
07/09/11 	18:13:05.0	5.36
07/09/11 	19:13:05.0	5.36
07/09/11 	20:13:05.0	5.36
07/09/11 	21:13:05.0	5.36
07/09/11 	22:13:05.0	5.36
07/09/11 	23:13:05.0	5.36
07/10/11 	00:13:05.0	5.36
07/10/11 	01:13:05.0	5.36
07/10/11 	02:13:05.0	5.36
07/10/11 	03:13:05.0	5.36
07/10/11 	04:13:05.0	5.36
07/10/11 	05:13:05.0	5.36
07/10/11 	06:13:05.0	5.36
07/10/11 	07:13:05.0	5.36
07/10/11 	08:13:05.0	5.36
07/10/11 	09:13:05.0	5.36
07/10/11 	10:13:05.0	16.41
07/10/11 	11:13:05.0	12.81
07/10/11 	12:13:05.0	12.65
07/10/11 	13:13:05.0	13.73
07/10/11 	14:13:05.0	13.58
07/10/11 	15:13:05.0	14.99
07/10/11 	16:13:05.0	15.31
07/10/11 	17:13:05.0	14.36
07/10/11 	18:13:05.0	14.04
07/10/11 	19:13:05.0	14.20
07/10/11 	20:13:05.0	13.89
07/10/11 	21:13:05.0	13.58
07/10/11 	22:13:05.0	12.81
07/10/11 	23:13:05.0	12.34
07/11/11 	00:13:05.0	12.18
07/11/11 	01:13:05.0	11.72
07/11/11 	02:13:05.0	11.57
07/11/11 	03:13:05.0	10.64
07/11/11 	04:13:05.0	9.70
07/11/11 	05:13:05.0	9.08
07/11/11 	06:13:05.0	8.93
07/11/11 	07:13:05.0	10.33
07/11/11 	08:13:05.0	12.03
07/11/11 	09:13:05.0	13.27
07/11/11 	10:13:05.0	13.58
07/11/11 	11:13:05.0	13.58
07/11/11 	12:13:05.0	13.89
07/11/11 	13:13:05.0	16.09
07/11/11 	14:13:05.0	18.82
07/11/11 	15:13:05.0	5.21
07/11/11 	16:13:05.0	5.21
07/11/11 	17:13:05.0	5.21
07/11/11 	18:13:05.0	5.21
07/11/11 	19:13:05.0	5.21
07/11/11 	20:13:05.0	5.21
07/11/11 	21:13:05.0	5.21
07/11/11 	22:13:05.0	5.21
07/11/11 	23:13:05.0	5.21
07/12/11 	00:13:05.0	5.21
07/12/11 	01:13:05.0	5.21
07/12/11 	02:13:05.0	5.21
07/12/11 	03:13:05.0	5.21
07/12/11 	04:13:05.0	5.21
07/12/11 	05:13:05.0	5.21
