Date	Time	Temperature  (*C)
10/17/11	11:32:14.0	18.75
10/17/11	12:32:14.0	8.20
10/17/11	13:32:14.0	7.73
10/17/11	14:32:14.0	7.73
10/17/11	15:32:14.0	7.73
10/17/11	16:32:14.0	7.58
10/17/11	17:32:14.0	7.58
10/17/11	18:32:14.0	7.58
10/17/11	19:32:14.0	7.58
10/17/11	20:32:14.0	7.73
10/17/11	21:32:14.0	7.73
10/17/11	22:32:14.0	7.89
10/17/11	23:32:14.0	7.89
10/18/11	00:32:14.0	7.89
10/18/11	01:32:14.0	7.89
10/18/11	02:32:14.0	7.89
10/18/11	03:32:14.0	7.89
10/18/11	04:32:14.0	7.89
10/18/11	05:32:14.0	7.89
10/18/11	06:32:14.0	7.89
10/18/11	07:32:14.0	7.89
10/18/11	08:32:14.0	20.06
10/18/11	09:32:14.0	14.58
10/18/11	10:32:14.0	12.87
10/18/11	11:32:14.0	13.96
10/18/11	12:32:14.0	14.27
10/18/11	13:32:14.0	15.86
10/18/11	14:32:14.0	17.77
10/18/11	15:32:14.0	16.33
10/18/11	16:32:14.0	16.02
10/18/11	17:32:14.0	14.90
10/18/11	18:32:14.0	12.41
10/18/11	19:32:14.0	11.16
10/18/11	20:32:14.0	10.22
10/18/11	21:32:14.0	9.59
10/18/11	22:32:14.0	8.97
10/18/11	23:32:14.0	8.66
10/19/11	00:32:14.0	8.51
10/19/11	01:32:14.0	8.36
10/19/11	02:32:14.0	8.20
10/19/11	03:32:14.0	7.73
10/19/11	04:32:14.0	7.27
10/19/11	05:32:14.0	7.58
10/19/11	06:32:14.0	7.89
10/19/11	07:32:14.0	12.24
10/19/11	08:32:14.0	18.26
10/19/11	09:32:14.0	21.87
10/19/11	10:32:14.0	18.42
10/19/11	11:32:14.0	13.18
10/19/11	12:32:14.0	11.78
10/19/11	13:32:14.0	9.59
10/19/11	14:32:14.0	8.36
10/19/11	15:32:14.0	8.04
10/19/11	16:32:14.0	7.58
