Date	Time	Temp (°C) c:1
10/18/12	07:44:30.0 AM	19.627
10/18/12	08:44:30.0 AM	10.810
10/18/12	09:44:30.0 AM	7.091
10/18/12	10:44:30.0 AM	5.591
10/18/12	11:44:30.0 AM	4.844
10/18/12	12:44:30.0 PM	4.869
10/18/12	01:44:30.0 PM	6.661
10/18/12	02:44:30.0 PM	6.153
10/18/12	03:44:30.0 PM	6.026
10/18/12	04:44:30.0 PM	6.000
10/18/12	05:44:30.0 PM	5.898
10/18/12	06:44:30.0 PM	5.898
10/18/12	07:44:30.0 PM	5.949
10/18/12	08:44:30.0 PM	6.000
10/18/12	09:44:30.0 PM	6.026
10/18/12	10:44:30.0 PM	6.000
10/18/12	11:44:30.0 PM	6.128
10/19/12	12:44:30.0 AM	6.306
10/19/12	01:44:30.0 AM	6.458
10/19/12	02:44:30.0 AM	6.408
10/19/12	03:44:30.0 AM	6.000
10/19/12	04:44:30.0 AM	6.000
10/19/12	05:44:30.0 AM	5.924
10/19/12	06:44:30.0 AM	5.898
10/19/12	07:44:30.0 AM	5.924
10/19/12	08:44:30.0 AM	0.880
10/19/12	09:44:30.0 AM	1.126
10/19/12	10:44:30.0 AM	1.778
10/19/12	11:44:30.0 AM	1.805
10/19/12	12:44:30.0 PM	2.530
10/19/12	01:44:30.0 PM	2.503
10/19/12	02:44:30.0 PM	3.248
10/19/12	03:44:30.0 PM	4.272
10/19/12	04:44:30.0 PM	3.696
10/19/12	05:44:30.0 PM	2.823
10/19/12	06:44:30.0 PM	2.262
10/19/12	07:44:30.0 PM	1.751
10/19/12	08:44:30.0 PM	0.660
10/19/12	09:44:30.0 PM	-0.255
10/19/12	10:44:30.0 PM	-0.789
10/19/12	11:44:30.0 PM	-0.873
10/20/12	12:44:30.0 AM	-1.441
10/20/12	01:44:30.0 AM	-1.699
10/20/12	02:44:30.0 AM	-2.160
10/20/12	03:44:30.0 AM	-2.102
10/20/12	04:44:30.0 AM	-1.842
10/20/12	05:44:30.0 AM	-1.584
10/20/12	06:44:30.0 AM	-1.356
10/20/12	07:44:30.0 AM	-0.171
10/20/12	08:44:30.0 AM	-0.032
10/20/12	09:44:30.0 AM	0.880
10/20/12	10:44:30.0 AM	1.886
10/20/12	11:44:30.0 AM	2.316
10/20/12	12:44:30.0 PM	2.983
10/20/12	01:44:30.0 PM	3.643
10/20/12	02:44:30.0 PM	3.880
10/20/12	03:44:30.0 PM	4.141
10/20/12	04:44:30.0 PM	4.688
10/20/12	05:44:30.0 PM	4.246
10/20/12	06:44:30.0 PM	3.985
10/20/12	07:44:30.0 PM	4.011
10/20/12	08:44:30.0 PM	3.880
10/20/12	09:44:30.0 PM	3.775
10/20/12	10:44:30.0 PM	3.827
10/20/12	11:44:30.0 PM	3.512
10/21/12	12:44:30.0 AM	3.617
10/21/12	01:44:30.0 AM	3.036
10/21/12	02:44:30.0 AM	3.036
10/21/12	03:44:30.0 AM	2.797
10/21/12	04:44:30.0 AM	3.327
10/21/12	05:44:30.0 AM	3.248
10/21/12	06:44:30.0 AM	3.274
10/21/12	07:44:30.0 AM	3.564
10/21/12	08:44:30.0 AM	3.009
10/21/12	09:44:30.0 AM	2.823
10/21/12	10:44:30.0 AM	3.142
10/21/12	11:44:30.0 AM	3.880
10/21/12	12:44:30.0 PM	4.714
10/21/12	01:44:30.0 PM	5.437
10/21/12	02:44:30.0 PM	6.382
10/21/12	03:44:30.0 PM	7.594
10/21/12	04:44:30.0 PM	7.619
10/21/12	05:44:30.0 PM	7.645
10/21/12	06:44:30.0 PM	7.670
10/21/12	07:44:30.0 PM	7.670
10/21/12	08:44:30.0 PM	7.670
10/21/12	09:44:30.0 PM	7.670
10/21/12	10:44:30.0 PM	7.670
10/21/12	11:44:30.0 PM	7.695
10/22/12	12:44:30.0 AM	7.670
10/22/12	01:44:30.0 AM	7.695
10/22/12	02:44:30.0 AM	7.645
10/22/12	03:44:30.0 AM	7.569
10/22/12	04:44:30.0 AM	7.594
10/22/12	05:44:30.0 AM	7.645
10/22/12	06:44:30.0 AM	7.670
10/22/12	07:44:30.0 AM	7.670
10/22/12	08:44:30.0 AM	7.670
10/22/12	09:44:30.0 AM	7.670
10/22/12	10:44:30.0 AM	7.619
10/22/12	11:44:30.0 AM	4.895
10/22/12	12:44:30.0 PM	5.385
10/22/12	01:44:30.0 PM	6.204
10/22/12	02:44:30.0 PM	9.780
10/22/12	03:44:30.0 PM	8.245
10/22/12	04:44:30.0 PM	6.914
10/22/12	05:44:30.0 PM	5.282
10/22/12	06:44:30.0 PM	5.128
10/22/12	07:44:30.0 PM	4.584
10/22/12	08:44:30.0 PM	3.985
10/22/12	09:44:30.0 PM	4.636
10/22/12	10:44:30.0 PM	4.895
10/22/12	11:44:30.0 PM	4.818
10/23/12	12:44:30.0 AM	4.636
10/23/12	01:44:30.0 AM	4.584
10/23/12	02:44:30.0 AM	4.246
10/23/12	03:44:30.0 AM	4.324
10/23/12	04:44:30.0 AM	4.115
10/23/12	05:44:30.0 AM	4.220
10/23/12	06:44:30.0 AM	4.220
10/23/12	07:44:30.0 AM	2.770
10/23/12	08:44:30.0 AM	2.450
10/23/12	09:44:30.0 AM	6.839
10/23/12	10:44:30.0 AM	9.952
10/23/12	11:44:30.0 AM	14.314
10/23/12	12:44:30.0 PM	5.872
10/23/12	01:44:30.0 PM	5.898
10/23/12	02:44:30.0 PM	5.898
10/23/12	03:44:30.0 PM	5.898
10/23/12	04:44:30.0 PM	5.821
10/23/12	05:44:30.0 PM	5.847
10/23/12	06:44:30.0 PM	5.847
10/23/12	07:44:30.0 PM	5.898
10/23/12	08:44:30.0 PM	5.975
10/23/12	09:44:30.0 PM	6.102
10/23/12	10:44:30.0 PM	6.153
10/23/12	11:44:30.0 PM	6.102
10/24/12	12:44:30.0 AM	6.153
10/24/12	01:44:30.0 AM	6.051
10/24/12	02:44:30.0 AM	5.949
10/24/12	03:44:30.0 AM	5.924
10/24/12	04:44:30.0 AM	5.924
10/24/12	05:44:30.0 AM	5.949
10/24/12	06:44:30.0 AM	5.898
10/24/12	07:44:30.0 AM	5.872
10/24/12	08:44:30.0 AM	0.797
10/24/12	09:44:30.0 AM	0.989
10/24/12	10:44:30.0 AM	0.962
10/24/12	11:44:30.0 AM	1.751
10/24/12	12:44:30.0 PM	2.503
10/24/12	01:44:30.0 PM	2.903
10/24/12	02:44:30.0 PM	3.643
10/24/12	03:44:30.0 PM	4.558
10/24/12	04:44:30.0 PM	6.077
10/24/12	05:44:30.0 PM	6.077
10/24/12	06:44:30.0 PM	6.077
10/24/12	07:44:30.0 PM	6.077
10/24/12	08:44:30.0 PM	6.077
10/24/12	09:44:30.0 PM	6.051
10/24/12	10:44:30.0 PM	6.077
10/24/12	11:44:30.0 PM	6.051
10/25/12	12:44:30.0 AM	6.051
10/25/12	01:44:30.0 AM	6.051
10/25/12	02:44:30.0 AM	6.026
10/25/12	03:44:30.0 AM	6.051
10/25/12	04:44:30.0 AM	6.051
10/25/12	05:44:30.0 AM	6.051
10/25/12	06:44:30.0 AM	6.051
10/25/12	07:44:30.0 AM	6.051
10/25/12	08:44:30.0 AM	6.051
10/25/12	09:44:30.0 AM	6.077
10/25/12	10:44:30.0 AM	6.077
10/25/12	11:44:30.0 AM	6.077
10/25/12	12:44:30.0 PM	3.406
10/25/12	01:44:30.0 PM	6.026
10/25/12	02:44:30.0 PM	6.051
10/25/12	03:44:30.0 PM	6.077
10/25/12	04:44:30.0 PM	6.128
10/25/12	05:44:30.0 PM	6.128
10/25/12	06:44:30.0 PM	6.102
10/25/12	07:44:30.0 PM	5.975
10/25/12	08:44:30.0 PM	6.102
10/25/12	09:44:30.0 PM	6.102
10/25/12	10:44:30.0 PM	6.000
10/25/12	11:44:30.0 PM	6.077
10/26/12	12:44:30.0 AM	6.077
10/26/12	01:44:30.0 AM	6.102
10/26/12	02:44:30.0 AM	6.128
10/26/12	03:44:30.0 AM	6.153
10/26/12	04:44:30.0 AM	6.153
10/26/12	05:44:30.0 AM	6.128
10/26/12	06:44:30.0 AM	6.128
10/26/12	07:44:30.0 AM	-1.699
10/26/12	08:44:30.0 AM	-1.470
10/26/12	09:44:30.0 AM	-0.367
10/26/12	10:44:30.0 AM	0.852
10/26/12	11:44:30.0 AM	1.751
10/26/12	12:44:30.0 PM	4.506
