"Date"	"Time"	"Temperature....C."
"07/10/13"	"10:34:18.0"	22.24
"07/10/13"	"11:34:18.0"	16.53
"07/10/13"	"12:34:18.0"	16.85
"07/10/13"	"13:34:18.0"	17.17
"07/10/13"	"14:34:18.0"	18.29
"07/10/13"	"15:34:18.0"	5.28
"07/10/13"	"16:34:18.0"	5.28
"07/10/13"	"17:34:18.0"	5.13
"07/10/13"	"18:34:18.0"	5.28
"07/10/13"	"19:34:18.0"	5.13
"07/10/13"	"20:34:18.0"	5.28
"07/10/13"	"21:34:18.0"	5.28
"07/10/13"	"22:34:18.0"	5.44
"07/10/13"	"23:34:18.0"	5.44
"07/11/13"	"00:34:18.0"	5.59
"07/11/13"	"01:34:18.0"	5.44
"07/11/13"	"02:34:18.0"	5.28
"07/11/13"	"03:34:18.0"	5.13
"07/11/13"	"04:34:18.0"	5.28
"07/11/13"	"05:34:18.0"	5.28
"07/11/13"	"06:34:18.0"	5.44
"07/11/13"	"07:34:18.0"	5.28
"07/11/13"	"08:34:18.0"	5.28
"07/11/13"	"09:34:18.0"	5.28
"07/11/13"	"10:34:18.0"	5.44
"07/11/13"	"11:34:18.0"	12.76
"07/11/13"	"12:34:18.0"	13.53
"07/11/13"	"13:34:18.0"	5.13
"07/11/13"	"14:34:18.0"	5.13
"07/11/13"	"15:34:18.0"	5.13
"07/11/13"	"16:34:18.0"	5.13
"07/11/13"	"17:34:18.0"	5.13
"07/11/13"	"18:34:18.0"	5.13
"07/11/13"	"19:34:18.0"	5.13
"07/11/13"	"20:34:18.0"	5.13
"07/11/13"	"21:34:18.0"	5.13
"07/11/13"	"22:34:18.0"	5.13
"07/11/13"	"23:34:18.0"	5.13
"07/12/13"	"00:34:18.0"	5.13
"07/12/13"	"01:34:18.0"	5.13
"07/12/13"	"02:34:18.0"	5.13
"07/12/13"	"03:34:18.0"	5.13
"07/12/13"	"04:34:18.0"	5.13
"07/12/13"	"05:34:18.0"	5.13
"07/12/13"	"06:34:18.0"	5.13
"07/12/13"	"07:34:18.0"	10.27
"07/12/13"	"08:34:18.0"	11.97
"07/12/13"	"09:34:18.0"	11.97
"07/12/13"	"10:34:18.0"	12.28
"07/12/13"	"11:34:18.0"	12.6
"07/12/13"	"12:34:18.0"	12.76
"07/12/13"	"13:34:18.0"	12.76
"07/12/13"	"14:34:18.0"	12.76
"07/12/13"	"15:34:18.0"	12.28
"07/12/13"	"16:34:18.0"	12.44
"07/12/13"	"17:34:18.0"	12.91
"07/12/13"	"18:34:18.0"	12.91
"07/12/13"	"19:34:18.0"	12.76
"07/12/13"	"20:34:18.0"	12.76
"07/12/13"	"21:34:18.0"	12.91
"07/12/13"	"22:34:18.0"	12.76
"07/12/13"	"23:34:18.0"	12.6
"07/13/13"	"00:34:18.0"	12.44
"07/13/13"	"01:34:18.0"	12.44
"07/13/13"	"02:34:18.0"	12.28
"07/13/13"	"03:34:18.0"	12.13
"07/13/13"	"04:34:18.0"	12.13
"07/13/13"	"05:34:18.0"	11.97
"07/13/13"	"06:34:18.0"	11.97
"07/13/13"	"07:34:18.0"	12.28
"07/13/13"	"08:34:18.0"	12.44
"07/13/13"	"09:34:18.0"	12.6
"07/13/13"	"10:34:18.0"	12.91
"07/13/13"	"11:34:18.0"	13.38
"07/13/13"	"12:34:18.0"	14.47
"07/13/13"	"13:34:18.0"	14.63
"07/13/13"	"14:34:18.0"	14.94
"07/13/13"	"15:34:18.0"	16.53
"07/13/13"	"16:34:18.0"	5.44
"07/13/13"	"17:34:18.0"	5.44
"07/13/13"	"18:34:18.0"	5.28
"07/13/13"	"19:34:18.0"	5.28
"07/13/13"	"20:34:18.0"	5.44
"07/13/13"	"21:34:18.0"	5.59
"07/13/13"	"22:34:18.0"	5.44
"07/13/13"	"23:34:18.0"	5.59
"07/14/13"	"00:34:18.0"	5.59
"07/14/13"	"01:34:18.0"	5.44
"07/14/13"	"02:34:18.0"	5.28
"07/14/13"	"03:34:18.0"	5.59
"07/14/13"	"04:34:18.0"	5.44
"07/14/13"	"05:34:18.0"	5.28
"07/14/13"	"06:34:18.0"	5.44
"07/14/13"	"07:34:18.0"	5.28
"07/14/13"	"08:34:18.0"	5.28
"07/14/13"	"09:34:18.0"	5.44
"07/14/13"	"10:34:18.0"	5.59
"07/14/13"	"11:34:18.0"	5.59
"07/14/13"	"12:34:18.0"	15.73
"07/14/13"	"13:34:18.0"	15.89
"07/14/13"	"14:34:18.0"	5.28
"07/14/13"	"15:34:18.0"	5.28
"07/14/13"	"16:34:18.0"	5.28
"07/14/13"	"17:34:18.0"	5.28
"07/14/13"	"18:34:18.0"	5.28
"07/14/13"	"19:34:18.0"	5.28
"07/14/13"	"20:34:18.0"	5.28
"07/14/13"	"21:34:18.0"	5.28
"07/14/13"	"22:34:18.0"	5.28
"07/14/13"	"23:34:18.0"	5.44
"07/15/13"	"00:34:18.0"	5.44
"07/15/13"	"01:34:18.0"	5.28
"07/15/13"	"02:34:18.0"	5.28
"07/15/13"	"03:34:18.0"	5.28
"07/15/13"	"04:34:18.0"	5.28
"07/15/13"	"05:34:18.0"	5.28
"07/15/13"	"06:34:18.0"	5.28
"07/15/13"	"07:34:18.0"	5.28
"07/15/13"	"08:34:18.0"	10.73
"07/15/13"	"09:34:18.0"	10.58
"07/15/13"	"10:34:18.0"	10.89
"07/15/13"	"11:34:18.0"	11.97
"07/15/13"	"12:34:18.0"	12.28
"07/15/13"	"13:34:18.0"	12.44
"07/15/13"	"14:34:18.0"	13.07
"07/15/13"	"15:34:18.0"	13.38
"07/15/13"	"16:34:18.0"	13.84
"07/15/13"	"17:34:18.0"	5.13
"07/15/13"	"18:34:18.0"	5.13
"07/15/13"	"19:34:18.0"	5.13
"07/15/13"	"20:34:18.0"	5.13
"07/15/13"	"21:34:18.0"	5.13
"07/15/13"	"22:34:18.0"	5.13
"07/15/13"	"23:34:18.0"	5.13
"07/16/13"	"00:34:18.0"	5.13
"07/16/13"	"01:34:18.0"	5.13
"07/16/13"	"02:34:18.0"	5.13
"07/16/13"	"03:34:18.0"	5.13
"07/16/13"	"04:34:18.0"	5.13
"07/16/13"	"05:34:18.0"	5.13
"07/16/13"	"06:34:18.0"	5.13
"07/16/13"	"07:34:18.0"	5.13
"07/16/13"	"08:34:18.0"	5.13
"07/16/13"	"09:34:18.0"	5.13
"07/16/13"	"10:34:18.0"	5.13
"07/16/13"	"11:34:18.0"	5.13
"07/16/13"	"12:34:18.0"	16.85
"07/16/13"	"13:34:18.0"	18.78
"07/16/13"	"14:34:18.0"	5.13
"07/16/13"	"15:34:18.0"	5.13
"07/16/13"	"16:34:18.0"	5.13
"07/16/13"	"17:34:18.0"	5.13
"07/16/13"	"18:34:18.0"	5.13
"07/16/13"	"19:34:18.0"	5.13
"07/16/13"	"20:34:18.0"	5.13
"07/16/13"	"21:34:18.0"	5.13
"07/16/13"	"22:34:18.0"	5.13
"07/16/13"	"23:34:18.0"	5.13
"07/17/13"	"00:34:18.0"	5.13
"07/17/13"	"01:34:18.0"	5.13
"07/17/13"	"02:34:18.0"	5.13
"07/17/13"	"03:34:18.0"	5.13
"07/17/13"	"04:34:18.0"	5.13
"07/17/13"	"05:34:18.0"	5.13
"07/17/13"	"06:34:18.0"	11.04
"07/17/13"	"07:34:18.0"	12.76
"07/17/13"	"08:34:18.0"	12.91
"07/17/13"	"09:34:18.0"	13.22
"07/17/13"	"10:34:18.0"	13.69
"07/17/13"	"11:34:18.0"	15.42
