Date	Time	Temp (°C) c:1
10/02/13	11:34:31.0 AM	16.773
10/02/13	12:34:31.0 PM	10.565
10/02/13	01:34:31.0 PM	10.149
10/02/13	02:34:31.0 PM	10.173
10/02/13	03:34:31.0 PM	11.419
10/02/13	04:34:31.0 PM	6.585
10/02/13	05:34:31.0 PM	6.636
10/02/13	06:34:31.0 PM	6.255
10/02/13	07:34:31.0 PM	6.408
10/02/13	08:34:31.0 PM	6.382
10/02/13	09:34:31.0 PM	6.204
10/02/13	10:34:31.0 PM	6.179
10/02/13	11:34:31.0 PM	6.026
10/03/13	12:34:31.0 AM	6.230
10/03/13	01:34:31.0 AM	6.204
10/03/13	02:34:31.0 AM	6.128
10/03/13	03:34:31.0 AM	6.255
10/03/13	04:34:31.0 AM	6.509
10/03/13	05:34:31.0 AM	6.408
10/03/13	06:34:31.0 AM	6.179
10/03/13	07:34:31.0 AM	6.864
10/03/13	08:34:31.0 AM	6.535
10/03/13	09:34:31.0 AM	6.306
10/03/13	10:34:31.0 AM	5.949
10/03/13	11:34:31.0 AM	6.026
10/03/13	12:34:31.0 PM	8.693
10/03/13	01:34:31.0 PM	5.975
10/03/13	02:34:31.0 PM	5.847
10/03/13	03:34:31.0 PM	5.847
10/03/13	04:34:31.0 PM	5.847
10/03/13	05:34:31.0 PM	5.821
10/03/13	06:34:31.0 PM	5.745
10/03/13	07:34:31.0 PM	5.719
10/03/13	08:34:31.0 PM	5.745
10/03/13	09:34:31.0 PM	5.796
10/03/13	10:34:31.0 PM	5.872
10/03/13	11:34:31.0 PM	5.745
10/04/13	12:34:31.0 AM	5.693
10/04/13	01:34:31.0 AM	5.719
10/04/13	02:34:31.0 AM	5.745
10/04/13	03:34:31.0 AM	5.821
10/04/13	04:34:31.0 AM	5.847
10/04/13	05:34:31.0 AM	5.898
10/04/13	06:34:31.0 AM	5.949
10/04/13	07:34:31.0 AM	5.949
10/04/13	08:34:31.0 AM	8.344
10/04/13	09:34:31.0 AM	8.643
10/04/13	10:34:31.0 AM	8.618
10/04/13	11:34:31.0 AM	8.668
10/04/13	12:34:31.0 PM	8.519
10/04/13	01:34:31.0 PM	8.469
10/04/13	02:34:31.0 PM	8.494
10/04/13	03:34:31.0 PM	8.643
10/04/13	04:34:31.0 PM	9.188
10/04/13	05:34:31.0 PM	8.916
10/04/13	06:34:31.0 PM	8.866
10/04/13	07:34:31.0 PM	8.767
10/04/13	08:34:31.0 PM	8.519
10/04/13	09:34:31.0 PM	8.195
10/04/13	10:34:31.0 PM	7.945
10/04/13	11:34:31.0 PM	7.845
10/05/13	12:34:31.0 AM	7.845
10/05/13	01:34:31.0 AM	7.544
10/05/13	02:34:31.0 AM	7.419
10/05/13	03:34:31.0 AM	7.293
10/05/13	04:34:31.0 AM	7.116
10/05/13	05:34:31.0 AM	7.091
10/05/13	06:34:31.0 AM	7.116
10/05/13	07:34:31.0 AM	7.041
10/05/13	08:34:31.0 AM	7.217
10/05/13	09:34:31.0 AM	7.695
10/05/13	10:34:31.0 AM	8.220
10/05/13	11:34:31.0 AM	8.444
10/05/13	12:34:31.0 PM	8.866
10/05/13	01:34:31.0 PM	8.841
10/05/13	02:34:31.0 PM	9.064
10/05/13	03:34:31.0 PM	6.026
10/05/13	04:34:31.0 PM	6.000
10/05/13	05:34:31.0 PM	6.102
10/05/13	06:34:31.0 PM	6.026
10/05/13	07:34:31.0 PM	6.026
10/05/13	08:34:31.0 PM	6.204
10/05/13	09:34:31.0 PM	6.382
10/05/13	10:34:31.0 PM	6.382
10/05/13	11:34:31.0 PM	6.585
10/06/13	12:34:31.0 AM	6.687
10/06/13	01:34:31.0 AM	6.204
10/06/13	02:34:31.0 AM	6.026
10/06/13	03:34:31.0 AM	5.949
10/06/13	04:34:31.0 AM	6.051
10/06/13	05:34:31.0 AM	6.153
10/06/13	06:34:31.0 AM	6.153
10/06/13	07:34:31.0 AM	6.128
10/06/13	08:34:31.0 AM	6.128
10/06/13	09:34:31.0 AM	6.306
10/06/13	10:34:31.0 AM	6.331
10/06/13	11:34:31.0 AM	8.245
10/06/13	12:34:31.0 PM	9.854
10/06/13	01:34:31.0 PM	11.151
10/06/13	02:34:31.0 PM	8.494
10/06/13	03:34:31.0 PM	8.419
10/06/13	04:34:31.0 PM	6.000
10/06/13	05:34:31.0 PM	6.179
10/06/13	06:34:31.0 PM	6.281
10/06/13	07:34:31.0 PM	6.408
10/06/13	08:34:31.0 PM	6.509
10/06/13	09:34:31.0 PM	6.560
10/06/13	10:34:31.0 PM	6.611
10/06/13	11:34:31.0 PM	6.636
10/07/13	12:34:31.0 AM	6.535
10/07/13	01:34:31.0 AM	6.611
10/07/13	02:34:31.0 AM	6.255
10/07/13	03:34:31.0 AM	6.306
10/07/13	04:34:31.0 AM	6.102
10/07/13	05:34:31.0 AM	6.153
10/07/13	06:34:31.0 AM	6.331
10/07/13	07:34:31.0 AM	6.357
10/07/13	08:34:31.0 AM	6.331
10/07/13	09:34:31.0 AM	6.636
10/07/13	10:34:31.0 AM	7.419
10/07/13	11:34:31.0 AM	8.394
10/07/13	12:34:31.0 PM	8.916
10/07/13	01:34:31.0 PM	8.295
10/07/13	02:34:31.0 PM	8.270
10/07/13	03:34:31.0 PM	8.145
10/07/13	04:34:31.0 PM	7.770
10/07/13	05:34:31.0 PM	5.128
10/07/13	06:34:31.0 PM	5.154
10/07/13	07:34:31.0 PM	5.231
10/07/13	08:34:31.0 PM	5.076
10/07/13	09:34:31.0 PM	5.076
10/07/13	10:34:31.0 PM	4.999
10/07/13	11:34:31.0 PM	5.050
10/08/13	12:34:31.0 AM	5.257
10/08/13	01:34:31.0 AM	5.231
10/08/13	02:34:31.0 AM	5.488
10/08/13	03:34:31.0 AM	5.745
10/08/13	04:34:31.0 AM	5.872
10/08/13	05:34:31.0 AM	5.539
10/08/13	06:34:31.0 AM	5.231
10/08/13	07:34:31.0 AM	5.282
10/08/13	08:34:31.0 AM	5.334
10/08/13	09:34:31.0 AM	5.179
10/08/13	10:34:31.0 AM	5.128
10/08/13	11:34:31.0 AM	5.128
10/08/13	12:34:31.0 PM	7.544
10/08/13	01:34:31.0 PM	7.594
10/08/13	02:34:31.0 PM	7.720
10/08/13	03:34:31.0 PM	7.670
10/08/13	04:34:31.0 PM	6.839
10/08/13	05:34:31.0 PM	6.102
10/08/13	06:34:31.0 PM	5.591
10/08/13	07:34:31.0 PM	5.488
10/08/13	08:34:31.0 PM	5.411
10/08/13	09:34:31.0 PM	5.462
10/08/13	10:34:31.0 PM	5.411
10/08/13	11:34:31.0 PM	5.385
10/09/13	12:34:31.0 AM	5.693
10/09/13	01:34:31.0 AM	6.179
10/09/13	02:34:31.0 AM	6.357
10/09/13	03:34:31.0 AM	6.306
10/09/13	04:34:31.0 AM	6.585
10/09/13	05:34:31.0 AM	6.737
10/09/13	06:34:31.0 AM	5.719
10/09/13	07:34:31.0 AM	5.565
10/09/13	08:34:31.0 AM	5.462
10/09/13	09:34:31.0 AM	6.914
10/09/13	10:34:31.0 AM	6.661
10/09/13	11:34:31.0 AM	7.645
10/09/13	12:34:31.0 PM	7.544
10/09/13	01:34:31.0 PM	7.770
10/09/13	02:34:31.0 PM	8.145
10/09/13	03:34:31.0 PM	8.220
10/09/13	04:34:31.0 PM	8.494
10/09/13	05:34:31.0 PM	6.255
10/09/13	06:34:31.0 PM	6.255
10/09/13	07:34:31.0 PM	6.255
10/09/13	08:34:31.0 PM	6.255
10/09/13	09:34:31.0 PM	6.255
10/09/13	10:34:31.0 PM	6.255
10/09/13	11:34:31.0 PM	6.255
10/10/13	12:34:31.0 AM	6.255
10/10/13	01:34:31.0 AM	6.255
10/10/13	02:34:31.0 AM	6.255
10/10/13	03:34:31.0 AM	6.281
10/10/13	04:34:31.0 AM	6.281
10/10/13	05:34:31.0 AM	6.255
10/10/13	06:34:31.0 AM	6.255
10/10/13	07:34:31.0 AM	6.255
10/10/13	08:34:31.0 AM	6.255
10/10/13	09:34:31.0 AM	6.281
10/10/13	10:34:31.0 AM	6.281
10/10/13	11:34:31.0 AM	8.792
10/10/13	12:34:31.0 PM	8.841
10/10/13	01:34:31.0 PM	8.543
10/10/13	02:34:31.0 PM	8.220
10/10/13	03:34:31.0 PM	9.238
10/10/13	04:34:31.0 PM	8.866
10/10/13	05:34:31.0 PM	9.879
10/10/13	06:34:31.0 PM	9.213
10/10/13	07:34:31.0 PM	9.114
10/10/13	08:34:31.0 PM	9.015
10/10/13	09:34:31.0 PM	9.336
10/10/13	10:34:31.0 PM	9.188
10/10/13	11:34:31.0 PM	8.891
10/11/13	12:34:31.0 AM	8.568
10/11/13	01:34:31.0 AM	8.519
10/11/13	02:34:31.0 AM	8.519
10/11/13	03:34:31.0 AM	8.494
10/11/13	04:34:31.0 AM	8.419
10/11/13	05:34:31.0 AM	8.618
10/11/13	06:34:31.0 AM	8.792
10/11/13	07:34:31.0 AM	8.295
10/11/13	08:34:31.0 AM	8.668
10/11/13	09:34:31.0 AM	8.643
10/11/13	10:34:31.0 AM	8.543
10/11/13	11:34:31.0 AM	8.717
10/11/13	12:34:31.0 PM	8.543
10/11/13	01:34:31.0 PM	8.469
10/11/13	02:34:31.0 PM	8.494
10/11/13	03:34:31.0 PM	8.568
10/11/13	04:34:31.0 PM	8.593
10/11/13	05:34:31.0 PM	8.593
10/11/13	06:34:31.0 PM	8.693
10/11/13	07:34:31.0 PM	8.668
10/11/13	08:34:31.0 PM	8.543
