"Plot Title: 12"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10137836, SEN S/N: 10137836)","Coupler Detached (LGR S/N: 10137836)","Coupler Attached (LGR S/N: 10137836)","Host Connected (LGR S/N: 10137836)","Stopped (LGR S/N: 10137836)","End Of File (LGR S/N: 10137836)"
1,07/08/16 09:41:59 AM,23.569,,,,,
2,07/08/16 09:42:03 AM,,Logged,,,,
3,07/08/16 10:42:04 AM,24.243,,,,,
4,07/08/16 11:42:09 AM,20.793,,,,,
5,07/08/16 12:42:14 PM,31.382,,,,,
6,07/08/16 01:42:19 PM,22.944,,,,,
7,07/08/16 02:42:24 PM,10.051,,,,,
8,07/08/16 03:42:29 PM,6.737,,,,,
9,07/08/16 04:42:34 PM,6.788,,,,,
10,07/08/16 05:42:39 PM,6.763,,,,,
11,07/08/16 06:42:44 PM,6.763,,,,,
12,07/08/16 07:42:49 PM,6.737,,,,,
13,07/08/16 08:42:54 PM,6.737,,,,,
14,07/08/16 09:42:59 PM,6.763,,,,,
15,07/08/16 10:43:04 PM,6.788,,,,,
16,07/08/16 11:43:09 PM,6.788,,,,,
17,07/09/16 12:43:14 AM,6.813,,,,,
18,07/09/16 01:43:19 AM,6.788,,,,,
19,07/09/16 02:43:24 AM,6.763,,,,,
20,07/09/16 03:43:29 AM,6.763,,,,,
21,07/09/16 04:43:34 AM,6.788,,,,,
22,07/09/16 05:43:39 AM,6.813,,,,,
23,07/09/16 06:43:44 AM,6.788,,,,,
24,07/09/16 07:43:49 AM,6.763,,,,,
25,07/09/16 08:43:54 AM,6.763,,,,,
26,07/09/16 09:43:59 AM,6.788,,,,,
27,07/09/16 10:44:04 AM,6.813,,,,,
28,07/09/16 11:44:09 AM,15.748,,,,,
29,07/09/16 12:44:14 PM,17.439,,,,,
30,07/09/16 01:44:19 PM,6.788,,,,,
31,07/09/16 02:44:24 PM,6.788,,,,,
32,07/09/16 03:44:29 PM,6.763,,,,,
33,07/09/16 04:44:34 PM,6.763,,,,,
34,07/09/16 05:44:39 PM,6.763,,,,,
35,07/09/16 06:44:44 PM,6.763,,,,,
36,07/09/16 07:44:49 PM,6.788,,,,,
37,07/09/16 08:44:54 PM,6.763,,,,,
38,07/09/16 09:44:59 PM,6.763,,,,,
39,07/09/16 10:45:04 PM,6.788,,,,,
40,07/09/16 11:45:09 PM,6.788,,,,,
41,07/10/16 12:45:14 AM,6.788,,,,,
42,07/10/16 01:45:19 AM,6.813,,,,,
43,07/10/16 02:45:24 AM,6.788,,,,,
44,07/10/16 03:45:29 AM,6.788,,,,,
45,07/10/16 04:45:34 AM,6.788,,,,,
46,07/10/16 05:45:39 AM,6.788,,,,,
47,07/10/16 06:45:44 AM,6.788,,,,,
48,07/10/16 07:45:49 AM,6.813,,,,,
49,07/10/16 08:45:54 AM,13.497,,,,,
50,07/10/16 09:45:59 AM,13.281,,,,,
51,07/10/16 10:46:04 AM,13.497,,,,,
52,07/10/16 11:46:09 AM,13.978,,,,,
53,07/10/16 12:46:14 PM,13.497,,,,,
54,07/10/16 01:46:19 PM,13.112,,,,,
55,07/10/16 02:46:24 PM,12.799,,,,,
56,07/10/16 03:46:29 PM,13.546,,,,,
57,07/10/16 04:46:34 PM,14.026,,,,,
58,07/10/16 05:46:39 PM,14.074,,,,,
59,07/10/16 06:46:44 PM,14.194,,,,,
60,07/10/16 07:46:49 PM,14.673,,,,,
61,07/10/16 08:46:54 PM,14.673,,,,,
62,07/10/16 09:46:59 PM,14.625,,,,,
63,07/10/16 10:47:04 PM,14.505,,,,,
64,07/10/16 11:47:09 PM,14.194,,,,,
65,07/11/16 12:47:14 AM,13.882,,,,,
66,07/11/16 01:47:19 AM,13.594,,,,,
67,07/11/16 02:47:24 AM,13.425,,,,,
68,07/11/16 03:47:29 AM,13.329,,,,,
69,07/11/16 04:47:34 AM,13.064,,,,,
70,07/11/16 05:47:39 AM,13.088,,,,,
71,07/11/16 06:47:44 AM,13.618,,,,,
72,07/11/16 07:47:49 AM,13.882,,,,,
73,07/11/16 08:47:54 AM,13.978,,,,,
74,07/11/16 09:47:59 AM,13.882,,,,,
75,07/11/16 10:48:04 AM,14.337,,,,,
76,07/11/16 11:48:09 AM,14.218,,,,,
77,07/11/16 12:48:14 PM,14.242,,,,,
78,07/11/16 01:48:19 PM,15.270,,,,,
79,07/11/16 02:48:24 PM,16.296,,,,,
80,07/11/16 03:48:29 PM,6.382,,,,,
81,07/11/16 04:48:34 PM,6.382,,,,,
82,07/11/16 05:48:39 PM,6.458,,,,,
83,07/11/16 06:48:44 PM,6.382,,,,,
84,07/11/16 07:48:49 PM,6.382,,,,,
85,07/11/16 08:48:54 PM,6.408,,,,,
86,07/11/16 09:48:59 PM,6.408,,,,,
87,07/11/16 10:49:04 PM,6.408,,,,,
88,07/11/16 11:49:09 PM,6.408,,,,,
89,07/12/16 12:49:14 AM,6.408,,,,,
90,07/12/16 01:49:19 AM,6.408,,,,,
91,07/12/16 02:49:24 AM,6.408,,,,,
92,07/12/16 03:49:29 AM,6.408,,,,,
93,07/12/16 04:49:34 AM,6.408,,,,,
94,07/12/16 05:49:39 AM,6.408,,,,,
95,07/12/16 06:49:44 AM,6.408,,,,,
96,07/12/16 07:49:49 AM,6.408,,,,,
97,07/12/16 08:49:54 AM,6.408,,,,,
98,07/12/16 09:49:59 AM,6.408,,,,,
99,07/12/16 10:50:04 AM,6.408,,,,,
100,07/12/16 11:50:09 AM,14.601,,,,,
101,07/12/16 12:50:14 PM,15.175,,,,,
102,07/12/16 01:50:19 PM,6.408,,,,,
103,07/12/16 02:50:24 PM,6.230,,,,,
104,07/12/16 03:50:29 PM,6.204,,,,,
105,07/12/16 04:50:34 PM,6.255,,,,,
106,07/12/16 05:50:39 PM,6.382,,,,,
107,07/12/16 06:50:44 PM,6.458,,,,,
108,07/12/16 07:50:49 PM,6.357,,,,,
109,07/12/16 08:50:54 PM,6.458,,,,,
110,07/12/16 09:50:59 PM,6.382,,,,,
111,07/12/16 10:51:04 PM,6.458,,,,,
112,07/12/16 11:51:09 PM,6.357,,,,,
113,07/13/16 12:51:14 AM,6.128,,,,,
114,07/13/16 01:51:19 AM,6.230,,,,,
115,07/13/16 02:51:24 AM,6.255,,,,,
116,07/13/16 03:51:29 AM,6.230,,,,,
117,07/13/16 04:51:34 AM,6.255,,,,,
118,07/13/16 05:51:39 AM,6.408,,,,,
119,07/13/16 06:51:44 AM,6.408,,,,,
120,07/13/16 07:51:49 AM,6.458,,,,,
121,07/13/16 08:51:54 AM,15.127,,,,,
122,07/13/16 09:51:59 AM,15.294,,,,,
123,07/13/16 10:52:04 AM,15.557,,,,,
124,07/13/16 11:52:09 AM,15.772,,,,,
125,07/13/16 12:52:14 PM,15.461,,,,,
126,07/13/16 01:52:19 PM,15.008,,,,,
127,07/13/16 02:52:24 PM,14.792,,,,,
128,07/13/16 03:52:29 PM,15.199,,,,,
129,07/13/16 04:52:34 PM,15.485,,,,,
130,07/13/16 05:52:39 PM,15.390,,,,,
131,07/13/16 06:52:44 PM,15.318,,,,,
132,07/13/16 07:52:49 PM,15.223,,,,,
133,07/13/16 08:52:54 PM,15.151,,,,,
134,07/13/16 09:52:59 PM,15.127,,,,,
135,07/13/16 10:53:04 PM,14.984,,,,,
136,07/13/16 11:53:09 PM,14.960,,,,,
137,07/14/16 12:53:14 AM,14.912,,,,,
138,07/14/16 01:53:19 AM,14.792,,,,,
139,07/14/16 02:53:24 AM,14.649,,,,,
140,07/14/16 03:53:29 AM,14.697,,,,,
141,07/14/16 04:53:34 AM,14.673,,,,,
142,07/14/16 05:53:39 AM,14.625,,,,,
143,07/14/16 06:53:44 AM,14.385,,,,,
144,07/14/16 07:53:49 AM,14.409,,,,,
145,07/14/16 08:53:54 AM,14.912,,,,,
146,07/14/16 09:53:59 AM,15.247,,,,,
147,07/14/16 10:54:04 AM,15.629,,,,,
148,07/14/16 11:54:09 AM,15.366,,,,,
149,07/14/16 12:54:14 PM,8.618,,,,,
150,07/14/16 01:54:19 PM,5.462,,,,,
151,07/14/16 02:54:24 PM,5.488,,,,,
152,07/14/16 03:54:29 PM,5.591,,,,,
153,07/14/16 04:54:34 PM,5.642,,,,,
154,07/14/16 05:54:39 PM,5.462,,,,,
