date	time	temp
10/04/16	07:33:03 AM	16.344
10/04/16	08:33:03 AM	15.748
10/04/16	09:33:03 AM	15.342
10/04/16	10:33:03 AM	14.098
10/04/16	11:33:03 AM	9.583
10/04/16	12:33:03 PM	21.963
10/04/16	01:33:03 PM	12.558
10/04/16	02:33:03 PM	13.449
10/04/16	03:33:03 PM	7.343
10/04/16	04:33:03 PM	7.318
10/04/16	05:33:03 PM	7.142
10/04/16	06:33:03 PM	7.142
10/04/16	07:33:03 PM	7.167
10/04/16	08:33:03 PM	7.167
10/04/16	09:33:03 PM	7.167
10/04/16	10:33:03 PM	7.167
10/04/16	11:33:03 PM	7.217
10/05/16	12:33:03 AM	7.217
10/05/16	01:33:03 AM	7.217
10/05/16	02:33:03 AM	7.268
10/05/16	03:33:03 AM	7.293
10/05/16	04:33:03 AM	7.318
10/05/16	05:33:03 AM	7.318
10/05/16	06:33:03 AM	7.293
10/05/16	07:33:03 AM	7.192
10/05/16	08:33:03 AM	7.217
10/05/16	09:33:03 AM	7.142
10/05/16	10:33:03 AM	7.242
10/05/16	11:33:03 AM	7.066
10/05/16	12:33:03 PM	7.192
10/05/16	01:33:03 PM	7.469
10/05/16	02:33:03 PM	7.444
10/05/16	03:33:03 PM	7.368
10/05/16	04:33:03 PM	7.393
10/05/16	05:33:03 PM	7.393
10/05/16	06:33:03 PM	7.494
10/05/16	07:33:03 PM	7.469
10/05/16	08:33:03 PM	7.444
10/05/16	09:33:03 PM	7.419
10/05/16	10:33:03 PM	7.419
10/05/16	11:33:03 PM	7.444
10/06/16	12:33:03 AM	7.469
10/06/16	01:33:03 AM	7.469
10/06/16	02:33:03 AM	7.469
10/06/16	03:33:03 AM	7.469
10/06/16	04:33:03 AM	7.444
10/06/16	05:33:03 AM	7.469
10/06/16	06:33:03 AM	7.494
10/06/16	07:33:03 AM	7.469
10/06/16	08:33:03 AM	5.102
10/06/16	09:33:03 AM	4.947
10/06/16	10:33:03 AM	5.024
10/06/16	11:33:03 AM	5.36
10/06/16	12:33:03 PM	5.488
10/06/16	01:33:03 PM	5.05
10/06/16	02:33:03 PM	6.712
10/06/16	03:33:03 PM	7.82
10/06/16	04:33:03 PM	8.095
10/06/16	05:33:03 PM	9.04
10/06/16	06:33:03 PM	8.22
10/06/16	07:33:03 PM	7.343
10/06/16	08:33:03 PM	6.484
10/06/16	09:33:03 PM	6.382
10/06/16	10:33:03 PM	6.357
10/06/16	11:33:03 PM	6.509
10/07/16	12:33:03 AM	6.458
10/07/16	01:33:03 AM	6.585
10/07/16	02:33:03 AM	6.255
10/07/16	03:33:03 AM	6.179
10/07/16	04:33:03 AM	6.737
10/07/16	05:33:03 AM	6.357
10/07/16	06:33:03 AM	8.344
10/07/16	07:33:03 AM	9.238
10/07/16	08:33:03 AM	9.608
10/07/16	09:33:03 AM	9.731
10/07/16	10:33:03 AM	10.858
10/07/16	11:33:03 AM	11.54
10/07/16	12:33:03 PM	11.637
10/07/16	01:33:03 PM	11.88
10/07/16	02:33:03 PM	12.05
10/07/16	03:33:03 PM	17.225
10/07/16	04:33:03 PM	6.661
10/07/16	05:33:03 PM	6.661
10/07/16	06:33:03 PM	6.661
10/07/16	07:33:03 PM	6.661
10/07/16	08:33:03 PM	6.661
10/07/16	09:33:03 PM	6.636
10/07/16	10:33:03 PM	6.661
10/07/16	11:33:03 PM	6.661
10/08/16	12:33:03 AM	6.661
10/08/16	01:33:03 AM	6.661
10/08/16	02:33:03 AM	6.661
10/08/16	03:33:03 AM	6.661
10/08/16	04:33:03 AM	6.661
10/08/16	05:33:03 AM	6.661
10/08/16	06:33:03 AM	6.661
10/08/16	07:33:03 AM	6.661
10/08/16	08:33:03 AM	6.661
10/08/16	09:33:03 AM	6.661
