"date"	"time"	"temp"
"08/08/18"	"02:48:12 PM"	19.77
"08/08/18"	"03:48:12 PM"	13.81
"08/08/18"	"04:48:12 PM"	13.786
"08/08/18"	"05:48:12 PM"	6.408
"08/08/18"	"06:48:12 PM"	6.382
"08/08/18"	"07:48:12 PM"	6.382
"08/08/18"	"08:48:12 PM"	6.433
"08/08/18"	"09:48:12 PM"	6.306
"08/08/18"	"10:48:12 PM"	6.382
"08/08/18"	"11:48:12 PM"	6.458
"08/09/18"	"12:48:12 AM"	6.535
"08/09/18"	"01:48:12 AM"	6.382
"08/09/18"	"02:48:12 AM"	6.535
"08/09/18"	"03:48:12 AM"	6.433
"08/09/18"	"04:48:12 AM"	6.56
"08/09/18"	"05:48:12 AM"	6.509
"08/09/18"	"06:48:12 AM"	6.458
"08/09/18"	"07:48:12 AM"	6.382
"08/09/18"	"08:48:12 AM"	6.408
"08/09/18"	"09:48:12 AM"	6.611
"08/09/18"	"10:48:12 AM"	6.509
"08/09/18"	"11:48:12 AM"	6.661
"08/09/18"	"01:48:12 PM"	6.737
"08/09/18"	"02:48:12 PM"	6.813
"08/09/18"	"03:48:12 PM"	6.788
"08/09/18"	"04:48:12 PM"	6.864
"08/09/18"	"05:48:12 PM"	6.889
"08/09/18"	"06:48:12 PM"	6.94
"08/09/18"	"07:48:12 PM"	6.94
"08/09/18"	"08:48:12 PM"	6.864
"08/09/18"	"09:48:12 PM"	6.839
"08/09/18"	"10:48:12 PM"	6.788
"08/09/18"	"11:48:12 PM"	6.763
"08/10/18"	"12:48:12 AM"	6.788
"08/10/18"	"01:48:12 AM"	6.763
"08/10/18"	"02:48:12 AM"	6.788
"08/10/18"	"03:48:12 AM"	6.813
"08/10/18"	"04:48:12 AM"	6.788
"08/10/18"	"05:48:12 AM"	6.914
"08/10/18"	"06:48:12 AM"	7.015
"08/10/18"	"07:48:12 AM"	12.389
"08/10/18"	"08:48:12 AM"	12.461
"08/10/18"	"09:48:12 AM"	12.703
"08/10/18"	"10:48:12 AM"	12.171
"08/10/18"	"11:48:12 AM"	12.871
"08/10/18"	"12:48:12 PM"	13.209
"08/10/18"	"01:48:12 PM"	14.122
"08/10/18"	"02:48:12 PM"	14.122
"08/10/18"	"03:48:12 PM"	6.281
