DateTime 	Temp 	Junk 	Junk 	Junk 	Junk 	Junk
08/08/18	01:41:29 PM	19.365					
08/08/18	02:41:29 PM	19.793					
08/08/18	03:41:29 PM	14.122					
08/08/18	04:41:29 PM	5.949					
08/08/18	05:41:29 PM	5.949					
08/08/18	06:41:29 PM	5.949					
08/08/18	07:41:29 PM	5.949					
08/08/18	08:41:29 PM	5.924					
08/08/18	09:41:29 PM	5.949					
08/08/18	10:41:29 PM	5.975					
08/08/18	11:41:29 PM	5.975					
08/09/18	12:41:29 AM	5.975					
08/09/18	01:41:29 AM	5.975					
08/09/18	02:41:29 AM	5.975					
08/09/18	03:41:29 AM	5.975					
08/09/18	04:41:29 AM	5.975					
08/09/18	05:41:29 AM	5.975					
08/09/18	06:41:29 AM	6.000					
08/09/18	07:41:29 AM	6.000					
08/09/18	08:41:29 AM	6.026					
08/09/18	09:41:29 AM	6.026					
08/09/18	10:41:29 AM	12.751					
08/09/18	11:41:29 AM	13.112					
08/09/18	12:41:29 PM	14.457					
08/09/18	01:41:29 PM	15.676					
08/09/18	02:41:29 PM	6.560					
08/09/18	03:41:29 PM	6.560					
08/09/18	04:41:29 PM	6.585					
08/09/18	05:41:29 PM	6.585					
08/09/18	06:41:29 PM	6.611					
08/09/18	07:41:29 PM	6.611					
08/09/18	08:41:29 PM	6.585					
08/09/18	09:41:29 PM	6.560					
08/09/18	10:41:29 PM	6.535					
08/09/18	11:41:29 PM	6.509					
08/10/18	12:41:29 AM	6.535					
08/10/18	01:41:29 AM	6.560					
08/10/18	02:41:29 AM	6.560					
08/10/18	03:41:29 AM	6.585					
08/10/18	04:41:29 AM	6.611					
08/10/18	05:41:29 AM	6.636					
08/10/18	06:41:29 AM	6.636					
08/10/18	07:41:29 AM	6.636					
08/10/18	08:41:29 AM	6.636					
08/10/18	09:41:29 AM	12.944					
08/10/18	10:41:29 AM	12.437					
08/10/18	11:41:29 AM	13.064					
08/10/18	12:41:29 PM	13.088					
08/10/18	01:41:29 PM	14.314					
08/10/18	02:41:29 PM	6.382					
08/10/18	03:41:29 PM	6.408					
08/10/18	04:41:29 PM	6.382					
08/10/18	05:41:29 PM	6.357					
08/10/18	06:41:29 PM	6.357					
08/10/18	07:41:29 PM	6.357					
08/10/18	08:41:29 PM	6.382					
08/10/18	09:41:29 PM	6.433					
08/10/18	10:41:29 PM	6.484					
08/10/18	11:41:29 PM	6.357					
08/11/18	12:41:29 AM	6.357					
08/11/18	01:41:29 AM	6.357					
08/11/18	02:41:29 AM	6.357					
08/11/18	03:41:29 AM	6.408					
08/11/18	04:41:29 AM	6.382					
08/11/18	05:41:29 AM	6.357					
08/11/18	06:41:29 AM	6.357					
08/11/18	07:41:29 AM	6.357					
08/11/18	08:41:29 AM	6.408					
08/11/18	09:41:29 AM	14.553					
08/11/18	10:41:29 AM	14.912					
08/11/18	11:41:29 AM	14.792					
08/11/18	12:41:29 PM	14.960					
08/11/18	01:41:29 PM	15.414					
08/11/18	02:41:29 PM	5.847					
08/11/18	03:41:29 PM	5.872					
08/11/18	04:41:29 PM	5.693					
08/11/18	05:41:29 PM	5.693					
08/11/18	06:41:29 PM	5.693					
08/11/18	07:41:29 PM	5.693					
08/11/18	08:41:29 PM	5.693					
08/11/18	09:41:29 PM	5.719					
08/11/18	10:41:29 PM	5.719					
08/11/18	11:41:29 PM	5.719					
08/12/18	12:41:29 AM	5.719					
08/12/18	01:41:29 AM	5.719					
08/12/18	02:41:29 AM	5.847					
08/12/18	03:41:29 AM	6.179					
08/12/18	04:41:29 AM	5.745					
08/12/18	05:41:29 AM	5.693					
08/12/18	06:41:29 AM	5.693					
08/12/18	07:41:29 AM	5.693					
08/12/18	08:41:29 AM	5.693					
08/12/18	09:41:29 AM	13.425					
08/12/18	10:41:29 AM	12.509					
08/12/18	11:41:29 AM	12.340					
08/12/18	12:41:29 PM	12.606					
08/12/18	01:41:29 PM	13.305					
08/12/18	02:41:29 PM	5.488					
08/12/18	03:41:29 PM	5.488					
08/12/18	04:41:29 PM	5.488					
08/12/18	05:41:29 PM	5.488					
08/12/18	06:41:29 PM	5.488					
08/12/18	07:41:29 PM	5.488					
08/12/18	08:41:29 PM	5.488					
08/12/18	09:41:29 PM	5.488					
08/12/18	10:41:29 PM	5.488					
08/12/18	11:41:29 PM	5.488					
08/13/18	12:41:29 AM	5.488					
08/13/18	01:41:29 AM	5.488					
08/13/18	02:41:29 AM	5.488					
08/13/18	03:41:29 AM	5.488					
08/13/18	04:41:29 AM	5.488					
08/13/18	05:41:29 AM	5.488					
08/13/18	06:41:29 AM	5.488					
08/13/18	07:41:29 AM	5.488					
08/13/18	08:41:29 AM	5.488					
08/13/18	09:41:29 AM	13.329					
08/13/18	10:41:29 AM	13.473					
08/13/18	11:41:29 AM	13.353					
08/13/18	12:41:29 PM	13.642					
08/13/18	01:41:29 PM	13.522					
08/13/18	02:41:29 PM	8.095					
08/13/18	03:41:29 PM	8.120					
08/13/18	04:41:29 PM	8.170					
08/13/18	05:41:29 PM	8.245					
08/13/18	06:41:29 PM	8.295					
08/13/18	07:41:29 PM	8.319					
08/13/18	08:41:29 PM	8.419					
08/13/18	09:41:29 PM	8.369					
08/13/18	10:41:29 PM	8.519					
08/13/18	11:41:29 PM	8.344					
08/14/18	12:41:29 AM	8.045					
08/14/18	01:41:29 AM	8.070					
08/14/18	02:41:29 AM	8.295					
08/14/18	03:41:29 AM	8.444					
08/14/18	04:41:29 AM	8.295					
08/14/18	05:41:29 AM	8.195					
08/14/18	06:41:29 AM	8.195					
08/14/18	07:41:29 AM	8.369					
08/14/18	08:41:29 AM	8.319					
08/14/18	09:41:29 AM	15.031					
08/14/18	10:41:29 AM	14.074					
08/14/18	11:41:29 AM	14.577					
08/14/18	12:41:29 PM	16.225					
