DateTime 	Temp 	Junk 	Junk 	Junk 	Junk 	Junk
10/19/18	09:20:24 AM	17.891					
10/19/18	10:20:24 AM	17.677					
10/19/18	11:20:24 AM	17.843					
10/19/18	12:20:24 PM	17.915					
10/19/18	01:20:24 PM	10.736					
10/19/18	02:20:24 PM	10.271					
10/19/18	03:20:24 PM	6.204					
10/19/18	04:20:24 PM	6.255					
10/19/18	05:20:24 PM	6.382					
10/19/18	06:20:24 PM	6.611					
10/19/18	07:20:24 PM	6.687					
10/19/18	08:20:24 PM	6.737					
10/19/18	09:20:24 PM	6.712					
10/19/18	10:20:24 PM	6.737					
10/19/18	11:20:24 PM	6.636					
10/20/18	12:20:24 AM	6.408					
10/20/18	01:20:24 AM	6.204					
10/20/18	02:20:24 AM	6.128					
10/20/18	03:20:24 AM	6.128					
10/20/18	04:20:24 AM	6.153					
10/20/18	05:20:24 AM	6.230					
10/20/18	06:20:24 AM	6.408					
10/20/18	07:20:24 AM	6.661					
10/20/18	08:20:24 AM	6.535					
10/20/18	09:20:24 AM	6.636					
10/20/18	10:20:24 AM	6.382					
10/20/18	11:20:24 AM	6.357					
10/20/18	12:20:24 PM	9.977					
10/20/18	01:20:24 PM	6.382					
10/20/18	02:20:24 PM	6.357					
10/20/18	03:20:24 PM	6.433					
10/20/18	04:20:24 PM	6.458					
10/20/18	05:20:24 PM	6.509					
10/20/18	06:20:24 PM	6.535					
10/20/18	07:20:24 PM	6.484					
10/20/18	08:20:24 PM	6.535					
10/20/18	09:20:24 PM	6.763					
10/20/18	10:20:24 PM	6.788					
10/20/18	11:20:24 PM	6.535					
10/21/18	12:20:24 AM	5.924					
10/21/18	01:20:24 AM	5.975					
10/21/18	02:20:24 AM	6.000					
10/21/18	03:20:24 AM	6.128					
10/21/18	04:20:24 AM	6.357					
10/21/18	05:20:24 AM	6.433					
10/21/18	06:20:24 AM	6.230					
10/21/18	07:20:24 AM	6.255					
10/21/18	08:20:24 AM	9.089					
10/21/18	09:20:24 AM	9.114					
10/21/18	10:20:24 AM	9.015					
10/21/18	11:20:24 AM	8.916					
10/21/18	12:20:24 PM	8.916					
10/21/18	01:20:24 PM	8.817					
10/21/18	02:20:24 PM	8.469					
10/21/18	03:20:24 PM	8.344					
10/21/18	04:20:24 PM	8.145					
10/21/18	05:20:24 PM	6.306					
10/21/18	06:20:24 PM	6.230					
10/21/18	07:20:24 PM	6.204					
10/21/18	08:20:24 PM	6.408					
10/21/18	09:20:24 PM	6.458					
10/21/18	10:20:24 PM	6.458					
10/21/18	11:20:24 PM	6.585					
10/22/18	12:20:24 AM	6.636					
10/22/18	01:20:24 AM	6.712					
10/22/18	02:20:24 AM	6.839					
10/22/18	03:20:24 AM	6.636					
10/22/18	04:20:24 AM	6.509					
10/22/18	05:20:24 AM	6.382					
10/22/18	06:20:24 AM	6.331					
10/22/18	07:20:24 AM	6.204					
10/22/18	08:20:24 AM	6.281					
10/22/18	09:20:24 AM	6.357					
10/22/18	10:20:24 AM	6.306					
10/22/18	11:20:24 AM	6.763					
10/22/18	12:20:24 PM	6.484					
10/22/18	01:20:24 PM	5.898					
10/22/18	02:20:24 PM	6.230					
10/22/18	03:20:24 PM	6.255					
10/22/18	04:20:24 PM	6.230					
10/22/18	05:20:24 PM	6.230					
10/22/18	06:20:24 PM	6.102					
10/22/18	07:20:24 PM	5.847					
10/22/18	08:20:24 PM	5.847					
10/22/18	09:20:24 PM	5.770					
10/22/18	10:20:24 PM	5.770					
10/22/18	11:20:24 PM	5.924					
10/23/18	12:20:24 AM	6.000					
10/23/18	01:20:24 AM	6.077					
10/23/18	02:20:24 AM	6.281					
10/23/18	03:20:24 AM	6.331					
10/23/18	04:20:24 AM	6.230					
10/23/18	05:20:24 AM	6.179					
10/23/18	06:20:24 AM	5.796					
10/23/18	07:20:24 AM	5.745					
10/23/18	08:20:24 AM	7.142					
10/23/18	09:20:24 AM	7.242					
10/23/18	10:20:24 AM	8.195					
10/23/18	11:20:24 AM	7.795					
10/23/18	12:20:24 PM	9.262					
10/23/18	01:20:24 PM	9.534					
10/23/18	02:20:24 PM	9.139					
