"Species","Sex","Carapace_Width","Shell_Condition","Clutch_Fullness","PCR_Result","Year","Latitude","Longitude","Depth","Bottom_Temp","Julian_Day","Location"
"Chionoecetes bairdi",2,83,3,"1",0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,78,3,"1",0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,75,3,"1",0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,82,3,"1",1,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,73,3,"1",0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,81,3,"1",0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,84,3,"1",0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,80,3,"1",0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,76,3,"1",0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,65,3,"1",0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,77,3,"1",0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,80,3,"1",0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,74,3,"1",0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,79,3,"1",0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,81,3,"1",0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,74,3,"1",0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,85,3,"1",0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,70,3,"1",0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,79,3,"1",0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,82,3,"1",0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,82,3,"1",0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,70,3,"1",0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,75,3,"1",0,2014,56.64976,-168.91079,101,3.2,187,"PI"
"Chionoecetes bairdi",2,75,2,"0",0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",2,57,2,"0",0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",2,31,2,"0",0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",2,32,2,"0",0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",2,37,2,"0",0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",2,31,2,"0",0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",2,32,2,"0",0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",2,32,2,"0",0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",2,35,2,"0",0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",2,32,2,"0",0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",2,50,2,"0",0,2014,56.84016,-169.28849,81,3.8,189,"PI"
"Chionoecetes bairdi",2,81,3,"1",0,2014,56.67659,-169.48468,80,5,190,"PI"
"Chionoecetes bairdi",2,25,2,"0",0,2014,56.67659,-169.48468,80,5,190,"PI"
"Chionoecetes bairdi",2,30,2,"0",0,2014,56.33218,-170.67951,121,4.2,190,"PI"
"Chionoecetes bairdi",2,60,3,"0",1,2014,56.33218,-170.67951,121,4.2,190,"PI"
"Chionoecetes bairdi",2,57,3,"0",1,2014,56.33218,-170.67951,121,4.2,190,"PI"
"Chionoecetes bairdi",2,44,2,"0",1,2014,56.33218,-170.67951,121,4.2,190,"PI"
"Chionoecetes bairdi",2,34,2,"0",0,2014,56.33218,-170.67951,121,4.2,190,"PI"
"Chionoecetes bairdi",2,46,2,"0",1,2014,56.33218,-170.67951,121,4.2,190,"PI"
"Chionoecetes bairdi",2,35,2,"0",0,2014,56.33218,-170.67951,121,4.2,190,"PI"
"Chionoecetes bairdi",2,42,2,"0",0,2014,56.66425,-170.73395,114,4.1,190,"PI"
"Chionoecetes bairdi",2,49,3,"0",0,2014,56.66425,-170.73395,114,4.1,190,"PI"
"Chionoecetes bairdi",2,43,2,"0",0,2014,56.66425,-170.73395,114,4.1,190,"PI"
"Chionoecetes bairdi",2,38,2,"0",1,2014,56.66425,-170.73395,114,4.1,190,"PI"
