"Species","Sex","Carapace_Width","Chela_Height","Shell_Condition","PCR_Result","Year","Latitude","Longitude","Depth","Bottom_Temp","Julian_Day","Location"
"Chionoecetes opilio",1,69,15,2,0,2015,59.96427,-171.94498,67,-0.7,196,"SMI"
"Chionoecetes opilio",1,41,7,2,0,2015,60.65415,-171.43029,63,-1.3,197,"SMI"
"Chionoecetes opilio",1,43,7,2,0,2015,60.65415,-171.43029,63,-1.3,197,"SMI"
"Chionoecetes opilio",1,53,9,2,0,2015,60.65415,-171.43029,63,-1.3,197,"SMI"
"Chionoecetes opilio",1,49,8,2,0,2015,60.65415,-171.43029,63,-1.3,197,"SMI"
"Chionoecetes opilio",1,52,9,2,0,2015,60.65415,-171.43029,63,-1.3,197,"SMI"
"Chionoecetes opilio",1,47,7,2,0,2015,60.65415,-171.43029,63,-1.3,197,"SMI"
"Chionoecetes opilio",1,68,14,4,0,2015,59.99509,-172.61625,66,-0.8,196,"SMI"
"Chionoecetes opilio",1,74,17,3,0,2015,59.99509,-172.61625,66,-0.8,196,"SMI"
"Chionoecetes opilio",1,67,16,3,0,2015,59.99509,-172.61625,66,-0.8,196,"SMI"
"Chionoecetes opilio",1,81,19,3,0,2015,59.99509,-172.61625,66,-0.8,196,"SMI"
"Chionoecetes opilio",1,42,6,2,0,2015,59.99509,-172.61625,66,-0.8,196,"SMI"
"Chionoecetes opilio",1,42,7,2,0,2015,59.99509,-172.61625,66,-0.8,196,"SMI"
"Chionoecetes opilio",1,40,6,2,0,2015,59.99509,-172.61625,66,-0.8,196,"SMI"
"Chionoecetes opilio",1,77,17,3,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,63,13,3,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,56,9,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,62,11,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,49,9,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,65,14,3,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,63,11,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,58,12,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,58,8,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,49,8,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,49,8,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,65,11,2,1,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,40,6,2,1,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,52,8,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,47,7,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,48,8,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,57,10,3,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,60,10,2,1,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,45,7,2,1,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,43,6,2,1,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,57,10,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,60,12,3,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,47,8,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,49,8,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,62,11,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,62,12,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,61,11,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,54,10,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,50,7,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,46,7,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,52,8,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,51,7,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,51,8,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,52,8,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,50,7,2,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,76,15,3,0,2015,59.82878,-172.2748,75,-1.1,196,"SMI"
"Chionoecetes opilio",1,75,16,2,0,2015,59.96427,-171.94498,67,-0.7,196,"SMI"
"Chionoecetes opilio",1,56,12,2,0,2015,59.96427,-171.94498,67,-0.7,196,"SMI"
"Chionoecetes opilio",1,61,11,2,0,2015,59.96427,-171.94498,67,-0.7,196,"SMI"
"Chionoecetes opilio",1,70,13,2,0,2015,59.96427,-171.94498,67,-0.7,196,"SMI"
"Chionoecetes opilio",1,62,12,2,0,2015,59.96427,-171.94498,67,-0.7,196,"SMI"
"Chionoecetes opilio",1,53,11,3,0,2015,59.96427,-171.94498,67,-0.7,196,"SMI"
"Chionoecetes opilio",1,55,11,2,0,2015,59.96427,-171.94498,67,-0.7,196,"SMI"
"Chionoecetes opilio",1,66,14,3,0,2015,59.96427,-171.94498,67,-0.7,196,"SMI"
"Chionoecetes opilio",1,68,14,3,0,2015,59.96427,-171.94498,67,-0.7,196,"SMI"
"Chionoecetes opilio",1,76,16,2,0,2015,60.31381,-172.06343,59,-0.6,197,"SMI"
"Chionoecetes opilio",1,62,13,3,0,2015,60.31381,-172.06343,59,-0.6,197,"SMI"
"Chionoecetes opilio",1,79,14,2,0,2015,60.31381,-172.06343,59,-0.6,197,"SMI"
"Chionoecetes opilio",1,60,12,3,0,2015,60.31381,-172.06343,59,-0.6,197,"SMI"
"Chionoecetes opilio",1,62,11,2,1,2015,60.31381,-172.06343,59,-0.6,197,"SMI"
"Chionoecetes opilio",1,50,9,2,1,2015,60.31381,-172.06343,59,-0.6,197,"SMI"
"Chionoecetes opilio",1,55,8,3,0,2015,60.31381,-172.06343,59,-0.6,197,"SMI"
"Chionoecetes opilio",1,47,10,2,0,2015,60.31381,-172.06343,59,-0.6,197,"SMI"
"Chionoecetes opilio",1,82,18,2,0,2015,60.64289,-172.1182,61,-1.2,197,"SMI"
"Chionoecetes opilio",1,63,11,3,0,2015,60.64289,-172.1182,61,-1.2,197,"SMI"
"Chionoecetes opilio",1,52,8,2,0,2015,60.64289,-172.1182,61,-1.2,197,"SMI"
"Chionoecetes opilio",1,66,12,2,1,2015,60.64289,-172.1182,61,-1.2,197,"SMI"
"Chionoecetes opilio",1,57,10,2,1,2015,60.64289,-172.1182,61,-1.2,197,"SMI"
"Chionoecetes opilio",1,60,10,2,1,2015,60.64289,-172.1182,61,-1.2,197,"SMI"
"Chionoecetes opilio",1,59,10,2,0,2015,60.64289,-172.1182,61,-1.2,197,"SMI"
"Chionoecetes opilio",1,46,7,2,1,2015,60.64289,-172.1182,61,-1.2,197,"SMI"
"Chionoecetes opilio",1,60,10,2,0,2015,60.64289,-172.1182,61,-1.2,197,"SMI"
"Chionoecetes opilio",1,48,8,2,1,2015,60.64289,-172.1182,61,-1.2,197,"SMI"
"Chionoecetes opilio",1,50,8,2,0,2015,60.64289,-172.1182,61,-1.2,197,"SMI"
"Chionoecetes opilio",1,50,8,2,0,2015,60.64289,-172.1182,61,-1.2,197,"SMI"
"Chionoecetes opilio",1,55,9,2,0,2015,60.64289,-172.1182,61,-1.2,197,"SMI"
"Chionoecetes opilio",1,53,10,2,0,2015,60.64289,-172.1182,61,-1.2,197,"SMI"
"Chionoecetes opilio",1,76,14,2,0,2015,60.64289,-172.1182,61,-1.2,197,"SMI"
"Chionoecetes opilio",1,48,8,2,0,2015,60.64289,-172.1182,61,-1.2,197,"SMI"
"Chionoecetes opilio",1,43,8,2,0,2015,60.65415,-171.43029,63,-1.3,197,"SMI"
"Chionoecetes opilio",1,55,10,2,0,2015,60.65415,-171.43029,63,-1.3,197,"SMI"
"Chionoecetes opilio",1,48,7,2,1,2015,60.65415,-171.43029,63,-1.3,197,"SMI"
"Chionoecetes opilio",1,45,7,2,0,2015,60.65415,-171.43029,63,-1.3,197,"SMI"
"Chionoecetes opilio",1,56,11,2,0,2015,60.98241,-171.42441,60,-1,198,"SMI"
"Chionoecetes opilio",1,45,7,2,0,2015,60.98241,-171.42441,60,-1,198,"SMI"
"Chionoecetes opilio",1,45,8,2,0,2015,60.98241,-171.42441,60,-1,198,"SMI"
"Chionoecetes opilio",1,41,7,2,0,2015,60.98241,-171.42441,60,-1,198,"SMI"
"Chionoecetes opilio",1,38,6,2,0,2015,60.98241,-171.42441,60,-1,198,"SMI"
"Chionoecetes opilio",1,37,6,2,0,2015,60.98241,-171.42441,60,-1,198,"SMI"
"Chionoecetes opilio",1,37,6,2,0,2015,60.98241,-171.42441,60,-1,198,"SMI"
"Chionoecetes opilio",1,35,5,2,0,2015,60.98241,-171.42441,60,-1,198,"SMI"
"Chionoecetes opilio",1,36,6,2,1,2015,60.98241,-171.42441,60,-1,198,"SMI"
"Chionoecetes opilio",1,36,6,2,0,2015,60.98241,-171.42441,60,-1,198,"SMI"
