"Species","Sex","Carapace_Width","Shell_Condition","PCR_Result","Year","Latitude","Longitude","Depth","Bottom_Temp","Julian_Day","Location"
"Chionoecetes opilio",1,82,3,0,2014,57.49609,-170.57357,73,3.6,191,"PI"
"Chionoecetes opilio",1,71,2,0,2014,57.49609,-170.57357,73,3.6,191,"PI"
"Chionoecetes opilio",1,83,3,0,2014,57.49609,-170.57357,73,3.6,191,"PI"
"Chionoecetes opilio",1,76,3,0,2014,57.49609,-170.57357,73,3.6,191,"PI"
"Chionoecetes opilio",1,59,2,0,2014,57.49609,-170.57357,73,3.6,191,"PI"
"Chionoecetes opilio",2,53,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,51,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,49,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,54,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,53,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,57,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,56,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,56,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,46,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,48,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,55,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,55,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,50,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,53,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,55,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,55,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,57,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,57,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,58,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,51,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,55,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,55,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,67,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,58,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,60,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",1,53,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",1,50,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,56,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,55,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,52,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,55,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,44,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,51,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,55,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,55,2,0,2014,57.66988,-170.27477,73,2.8,191,"PI"
"Chionoecetes opilio",2,57,2,0,2014,57.84801,-170.59999,79,3.3,191,"PI"
"Chionoecetes opilio",1,82,2,0,2014,57.84801,-170.59999,79,3.3,191,"PI"
"Chionoecetes opilio",1,70,2,0,2014,57.84801,-170.59999,79,3.3,191,"PI"
"Chionoecetes opilio",2,59,2,0,2014,57.84801,-170.59999,79,3.3,191,"PI"
"Chionoecetes opilio",2,75,2,0,2014,57.84801,-170.59999,79,3.3,191,"PI"
"Chionoecetes opilio",1,78,3,0,2014,57.84801,-170.59999,79,3.3,191,"PI"
"Chionoecetes opilio",1,75,2,0,2014,57.84801,-170.59999,79,3.3,191,"PI"
"Chionoecetes opilio",1,87,3,0,2014,57.84801,-170.59999,79,3.3,191,"PI"
"Chionoecetes opilio",1,81,2,0,2014,57.84801,-170.59999,79,3.3,191,"PI"
"Chionoecetes opilio",1,85,2,0,2014,57.84801,-170.59999,79,3.3,191,"PI"
"Chionoecetes opilio",1,84,2,0,2014,57.84801,-170.59999,79,3.3,191,"PI"
"Chionoecetes opilio",2,67,2,0,2014,57.67303,-170.89892,86,3.4,192,"PI"
"Chionoecetes opilio",2,74,3,0,2014,57.67303,-170.89892,86,3.4,192,"PI"
"Chionoecetes opilio",2,41,2,1,2014,57.67303,-170.89892,86,3.4,192,"PI"
"Chionoecetes opilio",2,68,2,0,2014,57.67303,-170.89892,86,3.4,192,"PI"
"Chionoecetes opilio",2,64,2,0,2014,57.67303,-170.89892,86,3.4,192,"PI"
"Chionoecetes opilio",1,92,2,0,2014,57.67303,-170.89892,86,3.4,192,"PI"
"Chionoecetes opilio",1,50,2,0,2014,57.67303,-170.89892,86,3.4,192,"PI"
"Chionoecetes opilio",2,72,3,0,2014,57.67303,-170.89892,86,3.4,192,"PI"
"Chionoecetes opilio",1,99,3,0,2014,57.67303,-170.89892,86,3.4,192,"PI"
"Chionoecetes opilio",1,83,3,0,2014,57.67303,-170.89892,86,3.4,192,"PI"
"Chionoecetes opilio",2,50,2,0,2014,57.67303,-170.89892,86,3.4,192,"PI"
"Chionoecetes opilio",2,68,3,0,2014,57.67303,-170.89892,86,3.4,192,"PI"
"Chionoecetes opilio",2,40,2,0,2014,62.00034,-174.46578,74,-1.5,204,"NS"
"Chionoecetes opilio",2,40,3,0,2014,62.00034,-174.46578,74,-1.5,204,"NS"
"Chionoecetes opilio",2,43,3,0,2014,62.00034,-174.46578,74,-1.5,204,"NS"
"Chionoecetes opilio",2,52,2,0,2014,62.00034,-174.46578,74,-1.5,204,"NS"
"Chionoecetes opilio",2,43,3,0,2014,62.00034,-174.46578,74,-1.5,204,"NS"
"Chionoecetes opilio",2,54,2,0,2014,62.00034,-174.46578,74,-1.5,204,"NS"
"Chionoecetes opilio",2,52,2,0,2014,62.00034,-174.46578,74,-1.5,204,"NS"
"Chionoecetes opilio",2,40,3,0,2014,62.00034,-174.46578,74,-1.5,204,"NS"
"Chionoecetes opilio",2,45,2,0,2014,62.00034,-174.46578,74,-1.5,204,"NS"
"Chionoecetes opilio",2,55,2,0,2014,62.00034,-174.46578,74,-1.5,204,"NS"
"Chionoecetes opilio",2,50,2,0,2014,62.00034,-174.46578,74,-1.5,204,"NS"
"Chionoecetes opilio",2,50,2,0,2014,62.00034,-174.46578,74,-1.5,204,"NS"
"Chionoecetes opilio",2,59,2,0,2014,62.00034,-174.46578,74,-1.5,204,"NS"
"Chionoecetes opilio",2,45,2,0,2014,62.00034,-174.46578,74,-1.5,204,"NS"
"Chionoecetes opilio",2,53,2,0,2014,62.00034,-174.46578,74,-1.5,204,"NS"
"Chionoecetes opilio",2,56,2,0,2014,62.00034,-174.46578,74,-1.5,204,"NS"
"Chionoecetes opilio",2,42,2,0,2014,62.00034,-174.46578,74,-1.5,204,"NS"
"Chionoecetes opilio",2,55,2,0,2014,62.00034,-174.46578,74,-1.5,204,"NS"
"Chionoecetes opilio",2,59,2,0,2014,62.00034,-174.46578,74,-1.5,204,"NS"
"Chionoecetes opilio",2,48,2,0,2014,62.00034,-174.46578,74,-1.5,204,"NS"
"Chionoecetes opilio",1,55,2,0,2014,61.65626,-175.08224,85,-1.2,205,"NS"
"Chionoecetes opilio",1,46,2,0,2014,61.65626,-175.08224,85,-1.2,205,"NS"
"Chionoecetes opilio",2,43,3,0,2014,61.65626,-175.08224,85,-1.2,205,"NS"
"Chionoecetes opilio",2,44,3,0,2014,61.65626,-175.08224,85,-1.2,205,"NS"
"Chionoecetes opilio",1,49,2,0,2014,61.65626,-175.08224,85,-1.2,205,"NS"
"Chionoecetes opilio",1,57,2,0,2014,61.65626,-175.08224,85,-1.2,205,"NS"
"Chionoecetes opilio",2,46,2,0,2014,61.65626,-175.08224,85,-1.2,205,"NS"
"Chionoecetes opilio",2,45,2,0,2014,61.65626,-175.08224,85,-1.2,205,"NS"
"Chionoecetes opilio",2,50,2,0,2014,61.65626,-175.08224,85,-1.2,205,"NS"
"Chionoecetes opilio",2,40,3,0,2014,61.65626,-175.08224,85,-1.2,205,"NS"
"Chionoecetes opilio",1,54,2,0,2014,61.65626,-175.08224,85,-1.2,205,"NS"
"Chionoecetes opilio",1,64,2,0,2014,61.65626,-175.08224,85,-1.2,205,"NS"
"Chionoecetes opilio",1,54,2,0,2014,61.65626,-175.08224,85,-1.2,205,"NS"
"Chionoecetes opilio",1,49,2,0,2014,61.65626,-175.08224,85,-1.2,205,"NS"
"Chionoecetes opilio",2,47,2,0,2014,61.65626,-175.08224,85,-1.2,205,"NS"
"Chionoecetes opilio",1,47,2,0,2014,61.65626,-175.08224,85,-1.2,205,"NS"
"Chionoecetes opilio",2,48,2,0,2014,61.65626,-175.08224,85,-1.2,205,"NS"
"Chionoecetes opilio",2,57,2,0,2014,61.65626,-175.08224,85,-1.2,205,"NS"
"Chionoecetes opilio",2,40,3,0,2014,61.98899,-175.14447,80,-1.6,205,"NS"
"Chionoecetes opilio",2,55,2,0,2014,61.98899,-175.14447,80,-1.6,205,"NS"
"Chionoecetes opilio",2,51,2,0,2014,61.98899,-175.14447,80,-1.6,205,"NS"
"Chionoecetes opilio",2,49,2,0,2014,61.98899,-175.14447,80,-1.6,205,"NS"
"Chionoecetes opilio",2,55,2,0,2014,61.98899,-175.14447,80,-1.6,205,"NS"
"Chionoecetes opilio",2,51,2,0,2014,61.98899,-175.14447,80,-1.6,205,"NS"
"Chionoecetes opilio",2,50,2,0,2014,61.98899,-175.14447,80,-1.6,205,"NS"
"Chionoecetes opilio",2,51,3,0,2014,61.98899,-175.14447,80,-1.6,205,"NS"
"Chionoecetes opilio",2,46,2,0,2014,61.98899,-175.14447,80,-1.6,205,"NS"
"Chionoecetes opilio",2,48,2,0,2014,61.98899,-175.14447,80,-1.6,205,"NS"
"Chionoecetes opilio",1,64,2,0,2014,61.98899,-175.14447,80,-1.6,205,"NS"
"Chionoecetes opilio",1,61,2,0,2014,61.98899,-175.14447,80,-1.6,205,"NS"
"Chionoecetes opilio",1,56,2,0,2014,61.98899,-175.14447,80,-1.6,205,"NS"
"Chionoecetes opilio",1,51,2,0,2014,61.98899,-175.14447,80,-1.6,205,"NS"
"Chionoecetes opilio",1,72,2,0,2014,61.98899,-175.14447,80,-1.6,205,"NS"
"Chionoecetes opilio",1,55,2,0,2014,61.98899,-175.14447,80,-1.6,205,"NS"
"Chionoecetes opilio",1,59,2,0,2014,61.98899,-175.14447,80,-1.6,205,"NS"
"Chionoecetes opilio",1,60,2,0,2014,61.98899,-175.14447,80,-1.6,205,"NS"
"Chionoecetes opilio",1,51,2,0,2014,61.98899,-175.14447,80,-1.6,205,"NS"
"Chionoecetes opilio",1,51,2,0,2014,61.98899,-175.14447,80,-1.6,205,"NS"
"Chionoecetes opilio",2,47,2,0,2014,62.00545,-175.81741,92,-0.7,205,"NS"
"Chionoecetes opilio",2,42,2,0,2014,62.00545,-175.81741,92,-0.7,205,"NS"
"Chionoecetes opilio",2,43,3,0,2014,62.00545,-175.81741,92,-0.7,205,"NS"
"Chionoecetes opilio",2,49,2,0,2014,62.00545,-175.81741,92,-0.7,205,"NS"
"Chionoecetes opilio",2,41,3,0,2014,62.00545,-175.81741,92,-0.7,205,"NS"
"Chionoecetes opilio",2,53,2,0,2014,62.00545,-175.81741,92,-0.7,205,"NS"
"Chionoecetes opilio",2,51,3,0,2014,62.00545,-175.81741,92,-0.7,205,"NS"
"Chionoecetes opilio",2,52,3,0,2014,62.00545,-175.81741,92,-0.7,205,"NS"
"Chionoecetes opilio",2,51,2,0,2014,62.00545,-175.81741,92,-0.7,205,"NS"
"Chionoecetes opilio",1,67,2,1,2014,62.00545,-175.81741,92,-0.7,205,"NS"
"Chionoecetes opilio",1,74,2,0,2014,62.00545,-175.81741,92,-0.7,205,"NS"
"Chionoecetes opilio",1,44,3,1,2014,62.00545,-175.81741,92,-0.7,205,"NS"
"Chionoecetes opilio",1,54,2,0,2014,62.00545,-175.81741,92,-0.7,205,"NS"
"Chionoecetes opilio",1,65,2,0,2014,62.00545,-175.81741,92,-0.7,205,"NS"
"Chionoecetes opilio",1,71,3,0,2014,62.00545,-175.81741,92,-0.7,205,"NS"
"Chionoecetes opilio",1,62,2,0,2014,62.00545,-175.81741,92,-0.7,205,"NS"
"Chionoecetes opilio",1,63,2,0,2014,62.00545,-175.81741,92,-0.7,205,"NS"
"Chionoecetes opilio",1,56,2,0,2014,62.00545,-175.81741,92,-0.7,205,"NS"
"Chionoecetes opilio",1,66,2,0,2014,62.00545,-175.81741,92,-0.7,205,"NS"
"Chionoecetes opilio",2,50,3,0,2014,62.00545,-175.81741,92,-0.7,205,"NS"
"Chionoecetes opilio",1,51,2,0,2014,61.68069,-175.78652,96,0,205,"NS"
"Chionoecetes opilio",1,46,2,0,2014,61.68069,-175.78652,96,0,205,"NS"
"Chionoecetes opilio",1,47,2,1,2014,61.68069,-175.78652,96,0,205,"NS"
"Chionoecetes opilio",1,48,2,1,2014,61.68069,-175.78652,96,0,205,"NS"
"Chionoecetes opilio",1,46,4,0,2014,61.68069,-175.78652,96,0,205,"NS"
"Chionoecetes opilio",1,52,2,0,2014,61.68069,-175.78652,96,0,205,"NS"
"Chionoecetes opilio",1,47,2,0,2014,61.68069,-175.78652,96,0,205,"NS"
"Chionoecetes opilio",1,46,2,0,2014,61.68069,-175.78652,96,0,205,"NS"
"Chionoecetes opilio",2,48,2,0,2014,61.68069,-175.78652,96,0,205,"NS"
"Chionoecetes opilio",2,47,2,0,2014,61.68069,-175.78652,96,0,205,"NS"
"Chionoecetes opilio",2,48,2,0,2014,61.68069,-175.78652,96,0,205,"NS"
"Chionoecetes opilio",2,47,2,1,2014,61.68069,-175.78652,96,0,205,"NS"
"Chionoecetes opilio",2,44,2,0,2014,61.68069,-175.78652,96,0,205,"NS"
"Chionoecetes opilio",2,55,2,0,2014,61.68069,-175.78652,96,0,205,"NS"
